Name,TourneyNames,Wins,Top 5,Top 10,Top 15,Top 20,Top 30,Top 30 Percentage,Entered,Missed Cuts,Cut Percentage,Notes,Score Index,Top 5 Percentage,Top 10 Percentage,Top 15 Percentage,Top 20 Percentage,Weighted Index
"Thorbjørn Olesen",World Golf Championships-Mexico Championship,0,0,0,0,0,0,0.0,1,0,0.0,"World Golf Championships-Mexico Championship(2019 - Pos 45)",0.35,0.0,0.0,0.0,0.0,0.35
"Peter Malnati",AT&T Pebble Beach Pro-Am;Valero Texas Open;Genesis Open;The Honda Classic;Valspar Championship;Desert Classic;Sony Open in Hawaii,0,0,0,0,1,1,0.2857143,7,2,0.2857143,"Valero Texas Open(2019 - Top 30) Valspar Championship(2019 - Pos 60) The Honda Classic(2019 - Pos 36) Genesis Open(2019 - Pos 44) AT&T Pebble Beach Pro-Am(2019 - CUT) Desert Classic(2019 - Top 20) Sony Open in Hawaii(2019 - CUT)",1.25,0.0,0.0,0.0,0.14285715,1.25
"Cody Gribble",AT&T Pebble Beach Pro-Am;Waste Management Phoenix Open;Valero Texas Open;Farmers Insurance Open;Genesis Open;The Honda Classic;Valspar Championship;Desert Classic,0,0,0,0,0,0,0.0,8,5,0.625,"Valero Texas Open(2019 - CUT) Valspar Championship(2019 - CUT) The Honda Classic(2019 - CUT) Genesis Open(2019 - Pos 76) AT&T Pebble Beach Pro-Am(2019 - Pos 59) Waste Management Phoenix Open(2019 - CUT) Farmers Insurance Open(2019 - CUT) Desert Classic(2019 - Pos 40)",-3.9499999999999997,0.0,0.0,0.0,0.0,-3.9499999999999997
"K.J. Choi",Waste Management Phoenix Open;Valero Texas Open;Genesis Open;Valspar Championship,0,0,0,0,0,0,0.0,4,3,0.75,"Valero Texas Open(2019 - Pos 69) Valspar Championship(2019 - CUT) Genesis Open(2019 - CUT) Waste Management Phoenix Open(2019 - CUT)",-2.65,0.0,0.0,0.0,0.0,-2.65
"Sangmoon Bae",AT&T Pebble Beach Pro-Am;Farmers Insurance Open;Genesis Open;Puerto Rico Open;Valspar Championship;Desert Classic;Sony Open in Hawaii,0,0,0,0,0,0,0.0,7,6,0.85714287,"Valspar Championship(2019 - CUT) Puerto Rico Open(2019 - CUT) Genesis Open(2019 - CUT) AT&T Pebble Beach Pro-Am(2019 - CUT) Farmers Insurance Open(2019 - Pos 35) Desert Classic(2019 - CUT) Sony Open in Hawaii(2019 - CUT)",-5.65,0.0,0.0,0.0,0.0,-5.65
"Ken Duke",Puerto Rico Open,0,0,0,0,0,0,0.0,1,0,0.0,"Puerto Rico Open(2019 - Pos 62)",0.35,0.0,0.0,0.0,0.0,0.35
"Grayson Murray",AT&T Pebble Beach Pro-Am;THE PLAYERS Championship;Waste Management Phoenix Open;Valero Texas Open;Farmers Insurance Open;Genesis Open;The Honda Classic;Valspar Championship;Desert Classic,0,0,0,0,0,0,0.0,9,6,0.6666667,"Valero Texas Open(2019 - CUT) Valspar Championship(2019 - CUT) THE PLAYERS Championship(2019 - CUT) The Honda Classic(2019 - Pos 68) Genesis Open(2019 - CUT) AT&T Pebble Beach Pro-Am(2019 - CUT) Waste Management Phoenix Open(2019 - Pos 59) Farmers Insurance Open(2019 - Pos 62) Desert Classic(2019 - CUT)",-4.949999999999999,0.0,0.0,0.0,0.0,-4.949999999999999
"Andrew Putnam",AT&T Pebble Beach Pro-Am;THE PLAYERS Championship;Waste Management Phoenix Open;Valero Texas Open;Genesis Open;Sentry Tournament of Champions;Desert Classic;Sony Open in Hawaii,0,1,0,1,0,0,0.25,8,3,0.375,"Valero Texas Open(2019 - Pos 36) THE PLAYERS Championship(2019 - CUT) Genesis Open(2019 - CUT) AT&T Pebble Beach Pro-Am(2019 - Pos 38) Waste Management Phoenix Open(2019 - CUT) Desert Classic(2019 - Pos 34) Sony Open in Hawaii(2019 - Top 5) Sentry Tournament of Champions(2019 - Top 15)",2.7499999999999996,0.125,0.125,0.25,0.125,2.7499999999999996
"Bryson DeChambeau",THE PLAYERS Championship;World Golf Championships-Mexico Championship;Genesis Open;Arnold Palmer Invitational presented by Mastercard;Sentry Tournament of Champions;Sony Open in Hawaii,0,0,2,1,1,0,0.6666667,6,0,0.0,"THE PLAYERS Championship(2019 - Top 20) Arnold Palmer Invitational presented by Mastercard(2019 - Pos 46) World Golf Championships-Mexico Championship(2019 - Pos 56) Genesis Open(2019 - Top 15) Sony Open in Hawaii(2019 - Top 10) Sentry Tournament of Champions(2019 - Top 10)",8.599999999999998,0.0,0.33333334,0.5,0.5,8.599999999999998
"Aaron Wise",THE PLAYERS Championship;World Golf Championships-Mexico Championship;Farmers Insurance Open;Genesis Open;Arnold Palmer Invitational presented by Mastercard;Sentry Tournament of Champions;Desert Classic,0,0,0,0,1,1,0.2857143,7,4,0.5714286,"THE PLAYERS Championship(2019 - CUT) Arnold Palmer Invitational presented by Mastercard(2019 - Pos 40) World Golf Championships-Mexico Championship(2019 - Top 20) Genesis Open(2019 - CUT) Farmers Insurance Open(2019 - CUT) Desert Classic(2019 - CUT) Sentry Tournament of Champions(2019 - Top 30)",-1.4499999999999997,0.0,0.0,0.0,0.14285715,-1.4499999999999997
"Jake McLeod",World Golf Championships-Mexico Championship,0,0,0,0,0,0,0.0,1,0,0.0,"World Golf Championships-Mexico Championship(2019 - Pos 45)",0.35,0.0,0.0,0.0,0.0,0.35
"Kyle Sanders",Puerto Rico Open,0,0,0,0,0,0,0.0,1,1,1.0,"Puerto Rico Open(2019 - CUT)",-1.0,0.0,0.0,0.0,0.0,-1.0
"Lucas Bjerregaard",THE PLAYERS Championship;Valero Texas Open;World Golf Championships-Mexico Championship;The Honda Classic,0,0,0,1,0,1,0.5,4,1,0.25,"Valero Texas Open(2019 - CUT) THE PLAYERS Championship(2019 - Top 30) The Honda Classic(2019 - Top 15) World Golf Championships-Mexico Championship(2019 - Pos 69)",2.0500000000000003,0.0,0.0,0.25,0.0,2.383333343267441
"Matt Jones",AT&T Pebble Beach Pro-Am;Valero Texas Open;Farmers Insurance Open;Puerto Rico Open;The Honda Classic;Valspar Championship;Desert Classic;Sony Open in Hawaii,0,0,0,2,0,2,0.5,8,1,0.125,"Valero Texas Open(2019 - Top 30) Valspar Championship(2019 - Top 15) The Honda Classic(2019 - Pos 36) Puerto Rico Open(2019 - Pos 55) AT&T Pebble Beach Pro-Am(2019 - Pos 53) Farmers Insurance Open(2019 - Top 15) Desert Classic(2019 - CUT) Sony Open in Hawaii(2019 - Top 30)",5.449999999999999,0.0,0.0,0.25,0.0,5.78333334326744
"Sam Ryder",THE PLAYERS Championship;Waste Management Phoenix Open;Valero Texas Open;Farmers Insurance Open;Genesis Open;Valspar Championship;Arnold Palmer Invitational presented by Mastercard;Desert Classic;Sony Open in Hawaii,0,0,0,0,0,0,0.0,9,3,0.33333334,"Valero Texas Open(2019 - Pos 42) Valspar Championship(2019 - CUT) THE PLAYERS Championship(2019 - CUT) Arnold Palmer Invitational presented by Mastercard(2019 - Pos 33) Genesis Open(2019 - Pos 56) Waste Management Phoenix Open(2019 - Pos 60) Farmers Insurance Open(2019 - Pos 43) Desert Classic(2019 - Pos 40) Sony Open in Hawaii(2019 - CUT)",-0.9,0.0,0.0,0.0,0.0,-0.9
