POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,-,"Leishman, Marc",-23,F,-4,62,64,68,67,261
T2,-,"Fowler, Rickie",-18,F,-4,65,64,70,67,266
T2,2,"Rose, Justin",-18,F,-6,67,68,66,65,266
4,2,"Day, Jason",-16,F,-2,64,65,70,69,268
T5,-,"Kuchar, Matt",-15,F,-4,67,68,67,67,269
T5,-,"Rahm, Jon",-15,F,-4,69,68,65,67,269
T7,27,"Finau, Tony",-13,F,-7,65,72,70,64,271
T7,20,"Spieth, Jordan",-13,F,-6,65,70,71,65,271
T9,4,"Cantlay, Patrick",-12,F,-1,67,65,70,70,272
T9,18,"Lahiri, Anirban",-12,F,-5,67,71,68,66,272

T9,6,"Simpson, Webb",-12,F,-3,66,73,65,68,272
T12,15,"Chappell, Kevin",-11,F,-4,69,67,70,67,273
T12,3,"Garcia, Sergio",-11,F,-2,68,68,68,69,273
T12,-,"Glover, Lucas",-11,F,-1,68,70,65,70,273
T12,37,"Koepka, Brooks",-11,F,-8,71,70,69,63,273
T12,8,"Molinari, Francesco",-11,F,-3,68,65,72,68,273
T12,3,"Perez, Pat",-11,F,-2,70,67,67,69,273
T12,7,"Reavie, Chez",-11,F,E,68,67,67,71,273
T12,-,"Smith, Cameron",-11,F,-1,66,68,69,70,273
T20,15,"Brown, Scott",-10,F,1,69,66,67,72,274
T20,29,"Johnson, Zach",-10,F,-7,67,71,72,64,274
T20,-,"List, Luke",-10,F,-2,68,70,67,69,274
T20,5,"Mickelson, Phil",-10,F,-1,66,69,69,70,274
T20,15,"Moore, Ryan",-10,F,1,69,66,67,72,274
T20,-,"O'Hair, Sean",-10,F,-2,70,69,66,69,274
T20,14,"Schauffele, Xander",-10,F,-4,72,70,65,67,274
T27,7,"Bradley, Keegan",-9,F,-1,65,72,68,70,275
T27,-,"Cauley, Bud",-9,F,-2,69,66,71,69,275
T27,15,"Cink, Stewart",-9,F,1,67,66,70,72,275
T27,22,"Hoffman, Charley",-9,F,2,64,71,67,73,275
T27,14,"Schwartzel, Charl",-9,F,-4,69,73,66,67,275
T27,-,"Woodland, Gary",-9,F,-2,67,67,72,69,275
T33,13,"Berger, Daniel",-8,F,E,68,68,69,71,276
T33,6,"Cabrera Bello, Rafa",-8,F,-1,65,71,70,70,276
T33,1,"Casey, Paul",-8,F,-2,69,67,71,69,276
T33,1,"DeChambeau, Bryson",-8,F,-2,68,70,69,69,276
T33,13,"Hahn, James",-8,F,E,68,68,69,71,276
T33,22,"Johnson, Dustin",-8,F,-7,71,72,69,64,276
T33,13,"Lovemark, Jamie",-8,F,E,64,70,71,71,276
T40,15,"Hadwin, Adam",-7,F,-6,71,71,70,65,277
T40,1,"Harman, Brian",-7,F,-2,69,69,70,69,277
T40,1,"Poulter, Ian",-7,F,-2,69,69,70,69,277
T40,6,"Swafford, Hudson",-7,F,-1,68,66,73,70,277
T44,29,"Hughes, Mackenzie",-6,F,3,67,68,69,74,278
T44,11,"Laird, Martin",-6,F,-5,73,69,70,66,278
T44,17,"Steele, Brendan",-6,F,1,68,66,72,72,278
T47,13,"Henley, Russell",-5,F,1,66,71,70,72,279
T47,2,"Matsuyama, Hideki",-5,F,-2,72,68,70,69,279
T47,2,"Stanley, Kyle",-5,F,-1,70,68,71,70,279
T47,6,"Thomas, Justin",-5,F,E,67,70,71,71,279

T51,4,"Murray, Grayson",-4,F,-3,71,70,71,68,280
T51,17,"Stenson, Henrik",-4,F,2,72,66,69,73,280
T53,1,"Haas, Bill",-3,F,-1,71,69,71,70,281
T53,8,"Kang, Sunghoon",-3,F,1,73,68,68,72,281
T53,15,"Na, Kevin",-3,F,-8,73,73,72,63,281
T53,1,"Streb, Robert",-3,F,-1,67,69,75,70,281
T53,8,"Tway, Kevin",-3,F,1,73,70,66,72,281
T58,3,"Dufner, Jason",-2,F,-1,74,66,72,70,282
T58,5,"Grillo, Emiliano",-2,F,-3,70,72,72,68,282
T58,6,"Kim, Si-Woo",-2,F,-4,72,71,72,67,282
T58,6,"McIlroy, Rory",-2,F,E,72,69,70,71,282
62,2,"Horschel, Billy",-1,F,-1,68,74,71,70,283
T63,3,"Oosthuizen, Louis",E,F,-4,77,74,66,67,284
T63,3,"Vegas, Jhonattan",E,F,E,71,68,74,71,284
65,1,"Reed, Patrick",1,F,-1,72,72,71,70,285
66,21,"Schniederjans, Ollie",2,F,6,73,70,66,77,286
T67,7,"Howell III, Charles",3,F,3,68,76,69,74,287
T67,1,"Kisner, Kevin",3,F,-1,71,71,75,70,287
69,-,"Bryan, Wesley",4,F,-2,76,71,72,69,288
WD,-,"Lee, Danny",E,,,7,,,,7
