,POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
,1,-,"Stenson, Henrik",-20,F,-8,68,65,68,63,264
,2,-,"Mickelson, Phil",-17,F,-6,63,69,70,65,267
,3,2,"Holmes, J.B.",-6,F,-2,70,70,69,69,278
,4,2,"Stricker, Steve",-5,F,-2,67,75,68,69,279
,T5,4,"Garcia, Sergio",-4,F,-2,68,70,73,69,280
,T5,8,"Hatton, Tyrrell",-4,F,-3,70,71,71,68,280
,T5,13,"McIlroy, Rory",-4,F,-4,69,71,73,67,280
,8,4,"Johnston, Andrew",-3,F,+2,69,69,70,73,281
,T9,6,"Haas, Bill",-2,F,+4,68,70,69,75,282
,T9,4,"Johnson, Dustin",-2,F,-1,71,69,72,70,282
"typeof(mps)=='object' && typeof(mps.getAd)=='function' && document.write(mps.getAd('midbanner1'));mps._execAd(""midbanner1"");",,,,,,,,,,,
,T9,3,"Kjeldsen, Soren",-2,F,+1,67,68,75,72,282
,T12,6,"Grillo, Emiliano",-1,F,-1,69,72,72,70,283
,T12,1,"Johnson, Zach",-1,F,E,67,70,75,71,283
,T12,3,"Reed, Patrick",-1,F,+1,66,74,71,72,283
,T12,13,"Southgate, Matthew",-1,F,-2,71,71,72,69,283
,T12,13,"Sullivan, Andy",-1,F,-2,67,76,71,69,283
,T12,6,"Woodland, Gary",-1,F,-1,69,73,71,70,283
,T18,9,"Bradley, Keegan",E,F,+2,67,68,76,73,284
,T18,12,"Finau, Tony",E,F,+3,67,71,72,74,284
,T18,-,"Jimenez, Miguel Angel",E,F,E,71,72,70,71,284
,T18,9,"Schwartzel, Charl",E,F,+2,72,66,73,73,284
,T22,3,"Day, Jason",+1,F,E,73,70,71,71,285
,T22,17,"Dufner, Jason",+1,F,-2,71,71,74,69,285
,T22,12,"Howell, David",+1,F,-1,74,70,71,70,285
,T22,3,"Jaidee, Thongchai",+1,F,E,71,74,69,71,285
,T22,9,"Na, Kevin",+1,F,+2,70,69,73,73,285
,T22,12,"Rose, Justin",+1,F,-1,68,77,70,70,285
,T22,3,"Snedeker, Brandt",+1,F,E,73,73,68,71,285
,T22,21,"Westwood, Lee",+1,F,-3,71,73,73,68,285
,T30,9,"Clarke, Darren",+2,F,-1,71,72,73,70,286
,T30,13,"Knox, Russell",+2,F,-2,72,70,75,69,286
,T30,9,"Palmer, Ryan",+2,F,-1,72,73,71,70,286
,T30,5,"Pieters, Thomas",+2,F,+1,68,76,70,72,286
,T30,5,"Porteous, Haydn",+2,F,+1,70,76,68,72,286
,T30,20,"Spieth, Jordan",+2,F,-3,71,75,72,68,286
,T36,2,"Harrington, Padraig",+3,F,+1,70,72,73,72,287
,T36,18,"Kaymer, Martin",+3,F,+3,66,73,74,74,287
,T36,18,"Molinari, Francesco",+3,F,+3,69,71,73,74,287
,T39,14,"Cabrera Bello, Rafa",+4,F,+3,68,71,75,74,288
,T39,4,"Jones, Matt",+4,F,E,69,73,75,71,288
,T39,21,"Simpson, Webb",+4,F,+4,70,72,71,75,288
,T39,11,"Watson, Bubba",+4,F,-1,70,76,72,70,288
,T43,-,"Donald, Luke",+5,F,+1,73,72,72,72,289
,T43,30,"Herman, Jim",+5,F,+6,70,70,72,77,289
,T43,7,"Scott, Adam",+5,F,E,69,73,76,71,289
,T46,12,"Colsaerts, Nicolas",+6,F,+4,72,73,70,75,290
,T46,16,"English, Harris",+6,F,E,73,73,73,71,290
,T46,3,"Fowler, Rickie",+6,F,+2,69,72,76,73,290
,T46,21,"Kuchar, Matt",+6,F,+5,71,68,75,76,290
,T46,3,"Moore, Ryan",+6,F,+2,70,73,74,73,290
"typeof(mps)=='object' && typeof(mps.getAd)=='function' && document.write(mps.getAd('midbanner2'));mps._execAd(""midbanner2"");",,,,,,,,,,,
,T46,12,"Noren, Alexander",+6,F,+4,70,72,73,75,290
,T46,4,"Sterne, Richard",+6,F,+1,68,74,76,72,290
,T53,9,"Chappell, Kevin",+7,F,+1,71,75,73,72,291
,T53,3,"Kim, Kyung-Tae",+7,F,+2,70,71,77,73,291
,T53,3,"Leishman, Marc",+7,F,+2,74,69,75,73,291
,T53,3,"Thomas, Justin",+7,F,+2,67,77,74,73,291
,T53,12,"Willett, Danny",+7,F,E,71,75,74,71,291
,58,7,"Evans, Ryan",+8,F,+1,71,75,74,72,292
,T59,20,"An, Byeong-Hun",+9,F,+6,70,70,76,77,293
,T59,9,"Furyk, Jim",+9,F,+4,74,72,72,75,293
,T59,9,"Rahm, Jon",+9,F,+4,74,71,73,75,293
,T59,14,"Summerhays, Daniel",+9,F,+1,71,73,77,72,293
,T63,2,"Lawrie, Paul",+10,F,+3,72,74,74,74,294
,T63,13,"McDowell, Graeme",+10,F,+5,75,71,72,76,294
,T63,10,"O'Meara, Mark",+10,F,+2,71,72,78,73,294
,T66,4,"Lombard, Zander",+11,F,+5,69,76,74,76,295
,T66,16,"Varner III, Harold",+11,F,+6,71,72,75,77,295
,T68,9,"Dawson, Marco",+12,F,+3,72,73,77,74,296
,T68,3,"Hahn, James",+12,F,+5,74,72,74,76,296
,T68,5,"Kizzire, Patton",+12,F,+4,76,70,75,75,296
,T68,25,"Lahiri, Anirban",+12,F,+8,69,72,76,79,296
,T72,22,"Donaldson, Jamie",+13,F,+8,69,73,76,79,297
,T72,7,"Grace, Branden",+13,F,+6,70,74,76,77,297
,T72,1,"Hend, Scott",+13,F,+5,71,73,77,76,297
,T72,7,"Ikeda, Yuta",+13,F,+6,68,74,78,77,297
,76,1,"Kisner, Kevin",+14,F,+5,70,72,80,76,298
,77,-,"Hoffman, Charley",+15,F,+6,71,73,78,77,299
,78,3,"Montgomerie, Colin",+17,F,+5,71,75,79,76,301
,T79,1,"Ichihara, Kodai",+18,F,+7,69,77,78,78,302
,T79,14,"Lee, Soomin",+18,F,+11,68,77,75,82,302
,81,16,"Chalmers, Greg",+21,F,+14,72,71,77,85,305
The following players failed to make the cut,,,,,,,,,,,
,CUT,-,"Coetzee, George",+5,,,75,72,,,147
,CUT,-,"Els, Ernie",+5,,,71,76,,,147
,CUT,-,"Fraser, Marcus",+5,,,72,75,,,147
,CUT,-,"McGirt, William",+5,,,75,72,,,147
,CUT,-,"Pampling, Rod",+5,,,72,75,,,147
,CUT,-,"Ramsay, Richie",+5,,,73,74,,,147
