POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,-,"Spieth, Jordan",-12,F,-1,65,69,65,69,268
2,-,"Kuchar, Matt",-9,F,-1,65,71,66,69,271
3,26,"Li, Hao-Tong",-6,F,-7,69,73,69,63,274
T4,3,"Cabrera Bello, Rafa",-5,F,-2,67,73,67,68,275
T4,7,"McIlroy, Rory",-5,F,-3,71,68,69,67,275
T6,1,"Grace, Branden",-4,F,E,70,74,62,70,276
T6,3,"Koepka, Brooks",-4,F,1,65,72,68,71,276
T6,23,"Leishman, Marc",-4,F,-5,69,76,66,65,276
T6,9,"Noren, Alexander",-4,F,-3,68,72,69,67,276
T6,23,"Southgate, Matthew",-4,F,-5,72,72,67,65,276

T11,7,"Casey, Paul",-3,F,-3,66,77,67,67,277
T11,4,"Kim, Chan",-3,F,E,72,68,67,70,277
T11,4,"Stenson, Henrik",-3,F,E,69,73,65,70,277
T14,11,"Connelly, Austin",-2,F,3,67,72,66,73,278
T14,4,"Dufner, Jason",-2,F,-2,73,71,66,68,278
T14,26,"Johnson, Zach",-2,F,-4,75,66,71,66,278
T14,9,"Matsuyama, Hideki",-2,F,2,68,72,66,72,278
T14,3,"Poulter, Ian",-2,F,E,67,70,71,70,278
T14,15,"Wood, Chris",-2,F,-3,71,72,68,67,278
T20,20,"Hoffman, Charley",-1,F,-3,67,73,72,67,279
T20,32,"Schauffele, Xander",-1,F,-5,69,75,70,65,279
T22,7,"Bland, Richard",E,F,1,67,72,70,71,280
T22,7,"Fowler, Rickie",E,F,1,71,71,67,71,280
T22,4,"Lovemark, Jamie",E,F,E,71,69,70,70,280
T22,11,"Ramsay, Richie",E,F,2,68,70,70,72,280
T22,21,"Scott, Adam",E,F,-3,69,74,70,67,280
T27,48,"Baddeley, Aaron",1,F,-6,69,76,72,64,281
T27,25,"Berger, Daniel",1,F,-3,68,76,70,67,281
T27,9,"Day, Jason",1,F,1,69,76,65,71,281
T27,2,"Drysdale, David",1,F,E,72,73,66,70,281
T27,9,"Finau, Tony",1,F,1,70,73,67,71,281
T27,2,"Fleetwood, Tommy",1,F,E,76,69,66,70,281
T27,2,"Jaidee, Thongchai",1,F,E,70,73,68,70,281
T27,9,"Johnston, Andrew",1,F,1,69,74,67,71,281
T27,2,"Watson, Bubba",1,F,E,68,72,71,70,281
T27,25,"Westwood, Lee",1,F,-3,71,74,69,67,281
T37,15,"Canter, Laurie",2,F,-2,70,72,72,68,282
T37,19,"Garcia, Sergio",2,F,2,73,69,68,72,282
T37,30,"Henley, Russell",2,F,-3,70,70,75,67,282
T37,15,"Kaymer, Martin",2,F,-2,72,72,70,68,282
T37,15,"Kjeldsen, Soren",2,F,-2,71,71,72,68,282
T37,30,"Simpson, Webb",2,F,-3,71,74,70,67,282
T37,8,"Stricker, Steve",2,F,1,70,72,69,71,282
T44,1,"Chang, Yikeun",3,F,E,71,71,71,70,283
T44,1,"Dodt, Andrew",3,F,E,69,75,69,70,283
T44,33,"Fisher, Ross",3,F,5,70,72,66,75,283
T44,26,"Fitzpatrick, Matthew",3,F,3,69,73,68,73,283
T44,31,"Kang, Sunghoon",3,F,-4,68,73,76,66,283
T44,26,"Luiten, Joost",3,F,3,68,72,70,73,283
T44,15,"Na, Kevin",3,F,2,68,75,68,72,283

T44,4,"Pieters, Thomas",3,F,1,69,75,68,71,283
T44,1,"Rahm, Jon",3,F,E,69,74,70,70,283
T44,1,"Uihlein, Peter",3,F,E,72,72,69,70,283
T54,36,"Hend, Scott",4,F,4,71,74,65,74,284
T54,2,"Holmes, J.B.",4,F,E,71,72,71,70,284
T54,47,"Johnson, Dustin",4,F,7,71,72,64,77,284
T54,13,"Kisner, Kevin",4,F,-1,70,71,74,69,284
T54,2,"Rose, Justin",4,F,E,71,74,69,70,284
T54,2,"Tree, Toby",4,F,E,70,75,69,70,284
T54,2,"Walker, Jimmy",4,F,E,72,72,70,70,284
61,32,"Els, Ernie",5,F,4,68,73,70,74,285
T62,19,"Kim, Kyung-Tae",6,F,3,73,71,69,73,286
T62,5,"Lorenzo-Vera, Michael",6,F,1,75,70,70,71,286
T62,44,"Norris, Shaun",6,F,6,71,74,65,76,286
T62,11,"O'Hair, Sean",6,F,E,72,73,71,70,286
T62,11,"Olesen, Thorbjorn",6,F,E,70,72,74,70,286
T62,19,"Plant, Alfie (a)",6,F,3,71,73,69,73,286
T62,5,"Schwartzel, Charl",6,F,1,66,78,71,71,286
T62,10,"Song, Young-Han",6,F,2,71,74,69,72,286
T70,18,"Dean, Joe",7,F,3,72,72,70,73,287
T70,27,"Stone, Brandon",7,F,4,73,72,68,74,287
T70,18,"Sullivan, Andy",7,F,3,70,75,69,73,287
T70,27,"Woodland, Gary",7,F,4,70,69,74,74,287
T74,22,"Hahn, James",8,F,4,68,76,70,74,288
T74,7,"Wiesberger, Bernd",8,F,3,69,75,71,73,288
76,1,"Willett, Danny",9,F,1,71,74,73,71,289
77,25,"Bulle, Kent",10,F,6,68,72,74,76,290

CUT,-,"Castro, Roberto",6,,,76,70,,,146
CUT,-,"Foster, Mark",6,,,75,71,,,146
CUT,-,"Fox, Ryan",6,,,74,72,,,146
CUT,-,"Harrington, Padraig",6,,,73,73,,,146
CUT,-,"Kapur, Shiv",6,,,73,73,,,146
CUT,-,"Kim, Si-Woo",6,,,70,76,,,146
CUT,-,"Lahiri, Anirban",6,,,73,73,,,146
CUT,-,"Larrazabal, Pablo",6,,,72,74,,,146
CUT,-,"Levy, Alexander",6,,,71,75,,,146
