POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,1,"Bae, Sang-Moon",-13,F,-1,66,66,66,69,267
2,1,"Bradley, Keegan",-11,F,2,60,69,68,72,269
3,2,"Schwartzel, Charl",-10,F,-2,63,70,69,68,270
4,15,"Bolli, Justin",-9,F,-5,69,69,68,65,271
T5,14,"Hoffmann, Morgan",-8,F,-4,69,71,66,66,272
T5,5,"Kaymer, Martin",-8,F,-2,68,67,69,68,272
T5,1,"Piercy, Scott",-8,F,2,66,68,66,72,272
T8,11,"Hoffman, Charley",-7,F,-3,68,68,70,67,273
T8,3,"Huh, John",-7,F,1,69,64,69,71,273
T10,-,"Delaet, Graham",-6,F,E,67,67,70,70,274
T10,22,"Ishikawa, Ryo",-6,F,-3,71,68,68,67,274
T12,41,"Barnes, Ricky",-5,F,-4,68,71,70,66,275
T12,2,"Cabrera, Angel",-5,F,1,65,69,70,71,275
T12,9,"Gillis, Tom",-5,F,6,69,63,67,76,275
T12,4,"Leishman, Marc",-5,F,E,66,70,69,70,275
T12,2,"Points, D.A.",-5,F,1,69,68,67,71,275
T17,12,"English, Harris",-4,F,4,64,70,68,74,276
T17,2,"Howell III, Charles",-4,F,E,67,69,70,70,276
T17,15,"Jacobson, Freddie",-4,F,-1,68,69,70,69,276
T17,36,"Todd, Brendon",-4,F,-3,69,68,72,67,276
T21,23,"Bohn, Jason",-3,F,-1,71,68,69,69,277
T21,11,"Hicks, Justin",-3,F,E,69,70,68,70,277
T21,5,"Kelly, Jerry",-3,F,2,69,70,66,72,277
T21,32,"Knost, Colt",-3,F,-2,68,70,71,68,277
T21,11,"Reavie, Chez",-3,F,E,69,67,71,70,277
T21,23,"Rollins, John",-3,F,-1,74,64,70,69,277
WD,-,"Oosthuizen, Louis",-3,,,67,70,70,,207
T27,17,"Claxton, Will",-2,F,E,66,73,69,70,278
T27,8,"Day, Jason",-2,F,2,72,68,66,72,278
