POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,2,"Swafford, Hudson",-20,F,-5,65,65,71,67,268
2,1,"Hadwin, Adam",-19,F,-2,71,69,59,70,269
T3,-,"Cauley, Bud",-18,F,-3,69,67,65,69,270
T3,-,"Harman, Brian",-18,F,-3,67,65,69,69,270
5,3,"Bozzelli, Dominic",-17,F,-1,64,67,69,71,271
T6,3,"Campbell, Chad",-16,F,-1,66,69,66,71,272
T6,1,"Steele, Brendan",-16,F,-2,68,64,70,70,272
8,13,"Stallings, Scott",-15,F,-6,67,71,69,66,273
T9,4,"Laird, Martin",-14,F,-3,68,66,71,69,274
T9,4,"O'Hair, Sean",-14,F,-3,67,69,69,69,274
T9,1,"Werenski, Richy",-14,F,-2,69,67,68,70,274
T12,1,"Howell III, Charles",-13,F,-2,67,68,70,70,275
T12,20,"Molinari, Francesco",-13,F,-5,69,73,66,67,275
T12,2,"Murray, Grayson",-13,F,-1,68,69,67,71,275
T12,1,"Reavie, Chez",-13,F,-2,68,70,67,70,275
T12,41,"Reed, Patrick *",-13,F,-7,69,71,70,65,275
T17,9,"Garrigus, Robert",-12,F,1,68,69,66,73,276
T17,15,"Haas, Bill",-12,F,-4,68,72,68,68,276
T17,1,"Kim, Meen-Whee",-12,F,-2,70,73,63,70,276
T17,1,"Owen, Greg",-12,F,-2,67,67,72,70,276
T21,22,"Kim, Michael *",-11,F,-4,66,72,71,68,277
T21,13,"Kirk, Chris",-11,F,2,69,66,68,74,277
T21,-,"Mickelson, Phil",-11,F,-2,68,66,73,70,277
T21,11,"Power, Seamus",-11,F,-3,67,70,71,69,277
T25,4,"Alker, Steven",-10,F,-1,69,70,68,71,278
T25,7,"Blaum, Ryan",-10,F,-2,66,71,71,70,278
T25,18,"Bradley, Keegan *",-10,F,-3,69,72,68,69,278
T25,28,"Campbell, Brian *",-10,F,-4,71,69,70,68,278
T25,28,"Dufner, Jason *",-10,F,-4,71,66,73,68,278
T25,28,"Kisner, Kevin *",-10,F,-4,70,69,71,68,278
T25,12,"Lahiri, Anirban",-10,F,1,69,72,64,73,278
T25,15,"Ogilvy, Geoff",-10,F,2,67,69,68,74,278
T25,18,"Wilkinson, Tim *",-10,F,-3,71,68,70,69,278
T34,13,"Blair, Zac",-9,F,E,67,69,71,72,279
T34,2,"Lingmerth, David",-9,F,-1,69,68,71,71,279
T34,2,"Poston, J.T.",-9,F,-1,69,68,71,71,279
T34,13,"Rahm, Jon",-9,F,E,71,66,70,72,279
T34,19,"Taylor, Nick *",-9,F,-3,72,68,70,69,279
T34,2,"Vegas, Jhonattan",-9,F,-1,65,75,68,71,279
T34,13,"Wise, Aaron",-9,F,E,68,68,71,72,279
T41,27,"Curran, Jon *",-8,F,-3,71,69,71,69,280
T41,12,"Duke, Ken *",-8,F,-2,69,72,69,70,280
T41,9,"Glover, Lucas",-8,F,E,72,67,69,72,280
T41,23,"Gonzales, Andres",-8,F,2,69,72,65,74,280
T41,20,"Lee, Danny",-8,F,1,67,64,76,73,280
T41,20,"List, Luke",-8,F,1,67,70,70,73,280
T41,2,"Piercy, Scott *",-8,F,-1,69,69,71,71,280
T41,12,"Stefani, Shawn *",-8,F,-2,74,69,67,70,280
T41,20,"Taylor, Vaughn",-8,F,1,68,72,67,73,280
T50,18,"Castro, Roberto",-7,F,1,70,68,70,73,281
T50,3,"Ishikawa, Ryo *",-7,F,-1,69,69,72,71,281
T50,7,"Kizzire, Patton *",-7,F,E,65,71,73,72,281
T50,7,"Lindheim, Nicholas *",-7,F,E,71,72,66,72,281
T50,29,"Molder, Bryce",-7,F,2,69,68,70,74,281
T50,18,"Mullinax, Trey *",-7,F,-2,71,73,67,70,281
T50,18,"Norlander, Henrik *",-7,F,-2,70,70,71,70,281
T50,18,"Spaun, J.J.",-7,F,1,66,73,69,73,281
T58,15,"Bowditch, Steven *",-6,F,1,70,70,69,73,282
T58,5,"Brown, Scott *",-6,F,E,67,71,72,72,282
T58,37,"Casey, Paul",-6,F,3,67,69,71,75,282
T58,26,"Hagy, Brandon",-6,F,2,69,72,67,74,282
