POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,1,"Johnson, Zach",-12,F,2,64,67,65,72,268
2,1,"Dufner, Jason",-11,F,4,65,64,66,74,269
3,4,"Gainey, Tommy",-7,F,-3,66,67,73,67,273
4,3,"Furyk, Jim",-6,F,-2,69,69,68,68,274
T5,11,"English, Harris",-5,F,-3,65,70,73,67,275
T5,2,"Fowler, Rickie",-5,F,-1,68,68,70,69,275
T5,-,"Huh, John",-5,F,E,70,66,69,70,275
T5,29,"Kirk, Chris",-5,F,-5,71,69,70,65,275
T5,-,"Palmer, Ryan",-5,F,E,68,67,70,70,275
T10,3,"Blixt, Jonas",-3,F,1,73,67,66,71,277
T10,4,"Byrd, Jonathan",-3,F,E,72,68,67,70,277
T10,15,"Crane, Ben",-3,F,-2,70,71,68,68,277
T13,21,"Garcia, Sergio",-2,F,-2,66,73,71,68,278
T13,3,"Hearn, David",-2,F,E,71,72,65,70,278
T13,3,"Hoffman, Charley",-2,F,E,69,70,69,70,278
T13,39,"Na, Kevin",-2,F,-4,70,71,71,66,278
T13,12,"Reifers, Kyle",-2,F,-1,65,72,72,69,278
T13,12,"Stroud, Chris",-2,F,-1,69,73,67,69,278
T19,6,"Castro, Roberto",-1,F,E,67,74,68,70,279
T19,15,"Clark, Tim",-1,F,-1,70,69,71,69,279
T19,16,"Gillis, Tom",-1,F,6,65,69,69,76,279
T19,15,"Immelman, Trevor",-1,F,-1,70,71,69,69,279
T19,15,"Ogilvy, Geoff",-1,F,-1,70,70,70,69,279
T19,12,"Oosthuizen, Louis",-1,F,3,71,67,68,73,279
T19,15,"Van Pelt, Bo",-1,F,5,69,64,71,75,279
T26,1,"Duke, Ken",E,F,1,68,75,66,71,280
T26,15,"Flores, Martin",E,F,-1,68,73,70,69,280
T26,10,"Kuchar, Matt",E,F,2,72,69,67,72,280
T26,19,"Moore, Ryan",E,F,4,67,69,70,74,280
T26,8,"Pettersson, Carl",E,F,E,70,69,71,70,280
T31,10,"Molder, Bryce",1,F,E,72,64,75,70,281
