Name,TourneyNames,Wins,Top 5,Top 10,Top 15,Top 20,Top 30,Top 30 Percentage,Entered,Missed Cuts,Cut Percentage,Notes,Score Index,Top 5 Percentage,Top 10 Percentage,Top 15 Percentage,Top 20 Percentage,Weighted Index
" ",108.wgaChamp;109.valspar;102.careerBuilder;104.phoenix;100.sbsChampionship;101.sonyOpen;105.pebbleBeach;103.farmers;106.genesis;107.honda;110.palmer;111.houstonOpen,0,0,0,0,0,0,0.0,36,0,0.0,"",0.0,0.0,0.0,0.0,0.0,0.0
"Ernie Els",109.valspar;105.pebbleBeach;106.genesis;110.palmer;111.houstonOpen,0,0,0,0,0,0,0.0,5,2,0.4,"houstonOpen(2018 - Pos 72) palmer(2018 - Pos 49) valspar(2018 - Pos 64) genesis(2018 - CUT) pebbleBeach(2018 - CUT)",-0.9499999999999998,0.0,0.0,0.0,0.0,-0.9499999999999998
"Vinnie Poncino",106.genesis,0,0,0,0,0,0,0.0,1,1,1.0,"genesis(2018 - CUT)",-1.0,0.0,0.0,0.0,0.0,-1.0
"Jimmy Stanger",109.valspar,0,0,0,0,0,0,0.0,1,1,1.0,"valspar(2018 - CUT)",-1.0,0.0,0.0,0.0,0.0,-1.0
"JJ Wood",111.houstonOpen,0,0,0,0,0,0,0.0,1,1,1.0,"houstonOpen(2018 - CUT)",-1.0,0.0,0.0,0.0,0.0,-1.0
"Brian Harman",108.wgaChamp;102.careerBuilder;100.sbsChampionship;101.sonyOpen;103.farmers;107.honda;110.palmer,0,3,0,0,1,0,0.5714286,7,1,0.14285715,"palmer(2018 - Pos 54) wgaChamp(2018 - Top 5) honda(2018 - Pos 33) farmers(2018 - CUT) careerBuilder(2018 - Top 20) sonyOpen(2018 - Top 5) sbsChampionship(2018 - Top 5)",9.6,0.42857143,0.42857143,0.42857143,0.5714286,9.93333334326744
"Abraham Ancer",108.wgaChamp;109.valspar;102.careerBuilder;101.sonyOpen;103.farmers;106.genesis;107.honda;111.houstonOpen,0,0,1,0,2,0,0.375,8,2,0.25,"houstonOpen(2018 - Top 10) valspar(2018 - Top 20) wgaChamp(2018 - Pos 52) honda(2018 - CUT) genesis(2018 - Pos 68) farmers(2018 - Top 20) careerBuilder(2018 - Pos 76) sonyOpen(2018 - CUT)",4.1,0.0,0.125,0.125,0.375,4.43333334326744
"Branden Grace",108.wgaChamp;109.valspar;105.pebbleBeach;106.genesis,0,0,1,0,1,1,0.75,4,0,0.0,"valspar(2018 - Top 10) wgaChamp(2018 - Top 30) genesis(2018 - Pos 37) pebbleBeach(2018 - Top 20)",4.9,0.0,0.25,0.25,0.5,5.233333343267441
"Doc Redman",110.palmer,0,0,0,0,0,0,0.0,1,0,0.0,"palmer(2018 - Pos 71)",0.35,0.0,0.0,0.0,0.0,0.35
"David Hearn",102.careerBuilder;105.pebbleBeach;103.farmers,0,0,0,0,0,0,0.0,3,3,1.0,"pebbleBeach(2018 - CUT) farmers(2018 - CUT) careerBuilder(2018 - CUT)",-3.0,0.0,0.0,0.0,0.0,-3.0
"Conrad Shindler",102.careerBuilder;101.sonyOpen;105.pebbleBeach;103.farmers,0,0,0,0,0,0,0.0,4,3,0.75,"pebbleBeach(2018 - CUT) farmers(2018 - CUT) careerBuilder(2018 - CUT) sonyOpen(2018 - Pos 47)",-2.65,0.0,0.0,0.0,0.0,-2.65
"Xander Schauffele",108.wgaChamp;104.phoenix;100.sbsChampionship;101.sonyOpen;103.farmers;106.genesis,0,0,1,0,2,1,0.6666667,6,1,0.16666667,"wgaChamp(2018 - Top 20) genesis(2018 - Top 10) phoenix(2018 - Top 20) farmers(2018 - CUT) sonyOpen(2018 - Pos 32) sbsChampionship(2018 - Top 30)",5.25,0.0,0.16666667,0.16666667,0.5,5.583333343267441
"Colt Knost",109.valspar;102.careerBuilder;104.phoenix;101.sonyOpen;105.pebbleBeach,0,0,0,0,0,0,0.0,5,3,0.6,"valspar(2018 - CUT) pebbleBeach(2018 - CUT) phoenix(2018 - Pos 62) careerBuilder(2018 - CUT) sonyOpen(2018 - Pos 69)",-2.3,0.0,0.0,0.0,0.0,-2.3
"Tommy Fleetwood",108.wgaChamp;106.genesis;107.honda;110.palmer,0,1,0,1,0,1,0.75,4,0,0.0,"palmer(2018 - Top 30) wgaChamp(2018 - Top 15) honda(2018 - Top 5) genesis(2018 - Pos 37)",5.9,0.25,0.25,0.5,0.25,6.566666686534882
"J.J. Spaun",102.careerBuilder;104.phoenix;101.sonyOpen;103.farmers;106.genesis;107.honda,0,0,0,0,0,1,0.16666667,6,3,0.5,"honda(2018 - CUT) genesis(2018 - CUT) phoenix(2018 - WD) farmers(2018 - Top 30) careerBuilder(2018 - CUT) sonyOpen(2018 - Pos 47)",-2.05,0.0,0.0,0.0,0.0,-2.05
"Jonathan Randolph",109.valspar;102.careerBuilder;101.sonyOpen;105.pebbleBeach;103.farmers;106.genesis;107.honda;111.houstonOpen,0,0,0,0,0,0,0.0,8,4,0.5,"houstonOpen(2018 - CUT) valspar(2018 - CUT) honda(2018 - Pos 68) genesis(2018 - CUT) pebbleBeach(2018 - Pos 66) farmers(2018 - CUT) careerBuilder(2018 - WD) sonyOpen(2018 - Pos 39)",-3.2,0.0,0.0,0.0,0.0,-3.2
