POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,-,"Johnson, Dustin",-24,F,-8,69,68,66,65,268
2,1,"Rahm, Jon",-16,F,-4,71,70,66,69,276
3,1,"Harman, Brian",-15,F,-1,68,68,69,72,277
T4,-,"Fowler, Rickie",-14,F,-3,69,71,68,70,278
T4,8,"Matsuyama, Hideki",-14,F,-7,70,70,72,66,278
T4,2,"Perez, Pat",-14,F,-4,72,66,71,69,278
T7,5,"Leishman, Marc",-13,F,-6,67,69,76,67,279
T7,1,"Vegas, Jhonattan",-13,F,-3,68,70,71,70,279
9,-,"Spieth, Jordan",-12,F,-4,75,66,70,69,280
10,2,"Kim, Si-Woo",-11,F,-4,69,71,72,69,281
T11,2,"Berger, Daniel",-10,F,-2,73,70,68,71,282
T11,7,"Dufner, Jason",-10,F,1,71,68,69,74,282
T11,2,"Horschel, Billy",-10,F,-2,70,71,70,71,282
T11,3,"Stroud, Chris",-10,F,-1,72,66,72,72,282
T15,3,"Cantlay, Patrick",-9,F,-2,70,70,72,71,283
T15,2,"Kizzire, Patton",-9,F,-3,72,72,69,70,283
T17,5,"Henley, Russell",-8,F,-4,74,69,72,69,284
T17,5,"Kisner, Kevin",-8,F,-1,70,70,72,72,284
T17,-,"Smith, Cameron",-8,F,-2,75,70,68,71,284
20,1,"Armour, Ryan",-7,F,-2,71,73,70,71,285
21,2,"Chappell, Kevin",-6,F,-1,74,70,70,72,286
T22,3,"Cook, Austin",-4,F,-3,74,74,70,70,288
T22,1,"Murray, Grayson",-4,F,-2,74,74,69,71,288
T22,3,"Schauffele, Xander",-4,F,1,72,72,70,74,288
T22,8,"Thomas, Justin",-4,F,-6,71,75,75,67,288
26,3,"DeChambeau, Bryson",-3,F,-1,73,73,71,72,289
T27,1,"Bryan, Wesley",-2,F,-3,74,70,76,70,290
T27,1,"Swafford, Hudson",-2,F,-3,72,72,76,70,290
29,2,"Steele, Brendan",-1,F,-1,71,74,74,72,291
30,5,"Stanley, Kyle",E,F,1,70,75,73,74,292
31,1,"Blixt, Jonas",1,F,-3,77,71,75,70,293
32,1,"Hadwin, Adam",2,F,-1,73,75,74,72,294
33,-,"Points, D.A.",7,F,E,76,76,74,73,299
34,-,"Koepka, Brooks",13,F,2,78,74,78,75,305
