POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,1,"Thomas, Justin",-8,F,-2,67,72,65,68,272
2,1,"List, Luke",-8,F,-1,71,66,66,69,272
3,3,"Noren, Alexander",-7,F,-3,66,75,65,67,273
4,-,"Fleetwood, Tommy",-6,F,-1,70,68,67,69,274
T5,11,"An, Byeong Hun",-4,F,-5,70,72,69,65,276
T5,3,"Simpson, Webb",-4,F,2,66,72,66,72,276
7,3,"Lovemark, Jamie",-3,F,2,68,69,68,72,277
T8,3,"Burns, Sam",-2,F,-2,70,71,69,68,278
T8,13,"Grillo, Emiliano",-2,F,-4,71,72,69,66,278
T8,1,"Kraft, Kelly",-2,F,1,72,69,66,71,278
11,-,"Frittelli, Dylan",-1,F,-1,71,72,67,69,279
12,1,"Woods, Tiger",E,F,E,70,71,69,70,280
T13,8,"Bozzelli, Dominic",1,F,-1,68,73,71,69,281
T13,41,"Fathauer, Derek",1,F,-5,73,72,71,65,281
T13,2,"Pieters, Thomas",1,F,1,69,70,71,71,281
T13,8,"Scott, Adam",1,F,-1,73,72,67,69,281
T17,29,"Chalmers, Greg",2,F,-3,74,71,70,67,282
T17,1,"Dufner, Jason",2,F,1,69,72,70,71,282
T17,37,"Glover, Lucas",2,F,-4,70,75,71,66,282
T17,4,"Lovelady, Tom",2,F,E,75,70,67,70,282
T17,14,"Pan, Cheng Tsung",2,F,-1,71,71,71,69,282
T17,1,"Piercy, Scott",2,F,1,70,70,71,71,282
T17,8,"Sabbatini, Rory",2,F,3,69,69,71,73,282
T24,14,"Duncan, Tyler",3,F,-1,70,74,70,69,283
T24,3,"Henley, Russell",3,F,1,68,70,74,71,283
T24,3,"Huh, John",3,F,1,71,73,68,71,283
T24,16,"Oosthuizen, Louis",3,F,5,67,72,69,75,283
T24,22,"Thompson, Michael",3,F,-2,76,69,70,68,283
T29,20,"Berger, Daniel",4,F,5,67,72,70,75,284
T29,17,"Cabrera Bello, Rafa",4,F,-1,70,72,73,69,284
T29,13,"Schenk, Adam",4,F,3,69,71,71,73,284
T29,2,"Stallings, Scott",4,F,1,73,70,70,71,284
T33,33,"Dahmen, Joel",5,F,-3,74,71,73,67,285
T33,5,"Diaz, Roberto",5,F,1,71,73,70,71,285
