POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,-,"Poulter, Ian",-19,F,-5,73,64,65,67,269
2,1,"Hossler, Beau",-19,F,-5,65,68,69,67,269
T3,-,"Grillo, Emiliano",-16,F,-4,69,68,67,68,272
T3,10,"Spieth, Jordan",-16,F,-6,68,67,71,66,272
5,2,"Ryder, Sam",-15,F,-4,66,68,71,68,273
T6,1,"Mitchell, Keith",-14,F,-3,67,71,67,69,274
T6,1,"Stenson, Henrik",-14,F,-3,68,68,69,69,274
T8,5,"Ancer, Abraham",-13,F,-3,68,66,72,69,275
T8,5,"Dunne, Paul",-13,F,-1,64,71,69,71,275
T8,23,"Every, Matt",-13,F,-6,67,70,72,66,275
T8,40,"Henley, Russell",-13,F,-7,69,71,70,65,275
T8,1,"Kuchar, Matt",-13,F,-2,68,68,69,70,275
T8,15,"Suri, Julian",-13,F,-5,66,69,73,67,275
T14,3,"Lindheim, Nicholas",-12,F,-3,68,66,73,69,276
T14,3,"Lowry, Shane",-12,F,-3,68,68,71,69,276
T14,9,"Murray, Grayson",-12,F,-4,67,69,72,68,276
T14,9,"Thompson, Michael",-12,F,-4,67,71,70,68,276
T18,13,"Berger, Daniel",-11,F,-4,69,72,68,68,277
T18,1,"Cauley, Bud",-11,F,-2,67,69,71,70,277
T18,11,"Garrigus, Robert",-11,F,E,69,69,67,72,277
T18,11,"Hadley, Chesson",-11,F,E,68,68,69,72,277
T18,5,"Howell III, Charles",-11,F,-3,71,67,70,69,277
T18,1,"Lashley, Nate",-11,F,-2,70,69,68,70,277
T24,24,"Burgoon, Bronson",-10,F,-4,67,68,75,68,278
T24,7,"Finau, Tony",-10,F,-3,70,70,69,69,278
T24,11,"List, Luke",-10,F,E,68,68,70,72,278
T24,7,"Lovemark, Jamie",-10,F,-3,69,69,71,69,278
T24,31,"Mickelson, Phil",-10,F,-5,68,71,72,67,278
T24,1,"Piercy, Scott",-10,F,-2,68,70,70,70,278
T24,31,"Piller, Martin",-10,F,-5,68,73,70,67,278
T24,11,"Stefani, Shawn",-10,F,E,67,69,70,72,278
T32,1,"Diaz, Roberto",-9,F,-2,68,69,72,70,279
T32,16,"Glover, Lucas",-9,F,-3,65,73,72,69,279
T32,1,"Hahn, James",-9,F,-2,69,67,73,70,279
T32,1,"Holmes, J.B.",-9,F,-2,73,68,68,70,279
T32,15,"Huh, John",-9,F,E,70,67,70,72,279
T32,38,"Oppenheim, Rob",-9,F,-6,69,72,72,66,279
T32,1,"Putnam, Andrew D.",-9,F,-2,71,69,69,70,279
T32,29,"Tway, Kevin",-9,F,3,65,70,69,75,279
T32,23,"van Aswegen, Tyrone",-9,F,-4,72,68,71,68,279
T32,1,"Watney, Nick",-9,F,-2,71,69,69,70,279
T32,1,"Wise, Aaron",-9,F,-2,69,69,71,70,279
T43,20,"Armour, Ryan",-8,F,E,66,70,72,72,280
T43,12,"Bradley, Keegan",-8,F,-1,68,71,70,71,280
T43,12,"Crane, Ben",-8,F,-3,72,67,72,69,280
T43,26,"Fowler, Rickie",-8,F,1,66,68,73,73,280
T43,5,"Mahan, Hunter",-8,F,-2,71,69,70,70,280
T43,22,"McCarthy, Denny",-8,F,-4,68,73,71,68,280
T43,5,"Merritt, Troy",-8,F,-2,69,69,72,70,280
T43,5,"Stegmaier, Brett",-8,F,-2,67,69,74,70,280
T43,12,"Streelman, Kevin",-8,F,-1,68,72,69,71,280
T52,13,"An, Byeong Hun",-7,F,-3,69,72,71,69,281
T52,3,"Duncan, Tyler",-7,F,-2,68,72,71,70,281
T52,3,"Gates, Bobby",-7,F,-2,70,71,70,70,281
T52,13,"Han, Seungsu",-7,F,-3,71,70,71,69,281
T52,18,"Jones, Matt",-7,F,-4,70,71,72,68,281
T52,3,"Pieters, Thomas",-7,F,-2,69,72,70,70,281
T52,21,"Rose, Justin",-7,F,E,68,69,72,72,281
T52,21,"Wagner, Johnson",-7,F,E,71,67,71,72,281
T60,5,"Harkins, Brandon",-6,F,-1,70,71,70,71,282
T60,29,"Hoge, Tom",-6,F,1,68,73,68,73,282
T60,10,"Power, Seamus",-6,F,-3,67,72,74,69,282
T60,5,"Schenk, Adam",-6,F,-2,70,69,73,70,282
T64,6,"Campbell, Chad",-5,F,-2,69,71,73,70,283
T64,33,"Dufner, Jason",-5,F,2,71,67,71,74,283
T64,41,"Lee, Danny",-5,F,3,68,70,70,75,283
T64,6,"O'Hair, Sean",-5,F,-2,71,68,74,70,283
T68,37,"Lovelady, Tom",-4,F,3,70,69,70,75,284
T68,45,"van Der Walt, Dawie",-4,F,4,70,69,69,76,284
T70,67,"Chalmers, Greg",-3,F,9,67,72,65,81,285
T70,15,"Sabbatini, Rory",-3,F,2,69,71,71,74,285
T72,7,"Els, Ernie",-2,F,2,70,71,71,74,286
T72,17,"Saunders, Sam",-2,F,3,70,66,75,75,286
