POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,7,"Schwartzel, Charl",-7,F,-4,71,70,69,67,277
2,1,"Haas, Bill",-7,F,1,71,67,67,72,277
3,-,"Moore, Ryan",-5,F,E,70,69,69,71,279
4,5,"McCoy, Lee (a)",-4,F,-2,74,71,66,69,280
T5,3,"Delaet, Graham",-3,F,4,72,66,68,75,281
T5,-,"Howell III, Charles",-3,F,1,67,72,70,72,281
T7,2,"Brown, Scott",-2,F,E,70,69,72,71,282
T7,12,"Oosthuizen, Louis",-2,F,-1,72,70,70,70,282
T7,2,"Reed, Patrick",-2,F,2,71,70,68,73,282
T7,2,"Stricker, Steve",-2,F,2,71,66,72,73,282

T11,2,"Berger, Daniel",-1,F,1,70,68,73,72,283
T11,2,"Goosen, Retief",-1,F,1,70,69,72,72,283
T11,2,"Gore, Jason",-1,F,1,72,72,67,72,283
T11,8,"Hoffman, Charley",-1,F,4,69,72,67,75,283
T11,28,"Kuchar, Matt",-1,F,-3,71,70,74,68,283
T11,12,"McNeill, George",-1,F,-1,74,66,73,70,283
T11,2,"Stenson, Henrik",-1,F,1,71,70,70,72,283
T18,21,"Leonard, Justin",E,F,-2,72,72,71,69,284
T18,9,"Spieth, Jordan",E,F,2,76,68,67,73,284
T18,29,"Stegmaier, Brett",E,F,-3,71,72,73,68,284
T18,9,"Thomas, Justin",E,F,2,72,67,72,73,284
T22,34,"Blixt, Jonas",1,F,-3,70,73,74,68,285
T22,17,"Donald, Luke",1,F,-1,75,69,71,70,285
T22,17,"Dufner, Jason",1,F,-1,72,71,72,70,285
T22,13,"Huh, John",1,F,3,71,71,69,74,285
T22,3,"Kang, Sunghoon",1,F,2,72,68,72,73,285
T22,8,"Na, Kevin",1,F,E,74,68,72,71,285
T22,34,"Reavie, Chez",1,F,-3,69,75,73,68,285
T22,1,"Saunders, Sam",1,F,1,74,71,68,72,285
T22,1,"Summerhays, Daniel",1,F,1,71,73,69,72,285
T22,1,"Willett, Danny",1,F,1,70,72,71,72,285
T22,8,"Yates, Greg",1,F,E,69,73,72,71,285
T33,14,"Harrington, Padraig",2,F,-1,74,71,71,70,286
T33,14,"Iwata, Hiroshi",2,F,-1,71,74,71,70,286
T33,14,"Kelly, Jerry",2,F,3,70,69,73,74,286
T33,3,"Kizzire, Patton",2,F,1,71,73,70,72,286
T37,7,"Aldridge, Tyler",3,F,2,70,72,72,73,287
