POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,1,"Finau, Tony",-12,F,-2,69,70,67,70,276
2,-,"Marino, Steve",-12,F,-2,70,67,69,70,276
T3,9,"Cazaubon, Rodolfo E.",-11,F,-4,70,70,69,68,277
T3,2,"Poulter, Ian",-11,F,E,71,66,68,72,277
T5,-,"Brown, Scott",-10,F,-1,71,69,67,71,278
T5,14,"Romero, Andres",-10,F,-5,70,73,68,67,278
T5,3,"Taylor, Nick",-10,F,-2,70,71,67,70,278
T8,3,"Baddeley, Aaron",-9,F,E,66,72,69,72,279
T8,3,"Campos, Rafael",-9,F,E,64,71,72,72,279
T8,-,"MacKenzie, Will",-9,F,-1,66,71,71,71,279

T11,1,"Cejka, Alex",-8,F,-1,66,71,72,71,280
T11,1,"Delaet, Graham",-8,F,-1,70,69,70,71,280
T11,8,"Langley, Scott",-8,F,-3,72,70,69,69,280
T11,3,"Reifers, Kyle",-8,F,E,67,70,71,72,280
T15,4,"Guthrie, Luke",-7,F,-2,69,70,72,70,281
T15,37,"Herron, Tim",-7,F,-6,68,75,72,66,281
T15,3,"Hubbard, Mark",-7,F,E,67,70,72,72,281
T15,7,"Jacobson, Freddie",-7,F,1,69,69,70,73,281
T15,4,"Kraft, Kelly",-7,F,-2,72,69,70,70,281
T15,4,"List, Luke",-7,F,-2,70,70,71,70,281
T21,9,"Fathauer, Derek",-6,F,1,70,68,71,73,282
T21,15,"Goosen, Retief",-6,F,-3,73,69,71,69,282
T21,42,"Kelly, Jerry",-6,F,-7,74,69,74,65,282
T21,2,"Rodgers, Patrick",-6,F,-1,69,70,72,71,282
T21,2,"Wilkinson, Tim",-6,F,-1,71,71,69,71,282
T26,3,"Bradley, Michael",-5,F,-1,67,72,73,71,283
T26,19,"Donald, Luke",-5,F,-3,69,73,72,69,283
T26,3,"Garnett, Brice",-5,F,-1,72,71,69,71,283
T26,10,"Lickliter II, Frank",-5,F,-2,66,72,75,70,283
T26,3,"Pampling, Rod",-5,F,-1,69,72,71,71,283
T26,8,"Percy, Cameron",-5,F,1,69,71,70,73,283
T26,10,"Pinckney, Scott",-5,F,-2,71,72,70,70,283
T26,26,"Stroud, Chris",-5,F,-4,71,71,73,68,283
T26,19,"Vegas, Jhonattan",-5,F,-3,69,72,73,69,283
T35,31,"Bourdy, Gregory",-4,F,-6,69,72,77,66,284
T35,1,"Coetzee, George",-4,F,-1,71,69,73,71,284
T35,6,"Mayfair, Billy",-4,F,E,67,74,71,72,284
T35,6,"Weekley, Boo",-4,F,E,72,71,69,72,284
T39,13,"Barnes, Ricky",-3,F,-2,71,71,73,70,285
T39,13,"Burmester, Dean",-3,F,-2,69,71,75,70,285
T39,37,"Byrd, Jonathan",-3,F,7,70,68,68,79,285
T39,20,"Compton, Erik",-3,F,2,71,70,70,74,285
T39,10,"Norlander, Henrik",-3,F,1,72,70,70,73,285
T39,6,"Saunders, Sam",-3,F,-1,71,69,74,71,285
T39,6,"Thompson, Michael",-3,F,-1,68,74,72,71,285
T39,20,"Toms, David",-3,F,2,73,69,69,74,285
T47,11,"Aiken, Thomas",-2,F,1,72,71,70,73,286
T47,35,"Ann thompson, Michele",-2,F,5,72,69,68,77,286
