POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,4,"Grace, Branden",-9,F,-5,66,74,69,66,275
T2,1,"Donald, Luke",-7,F,E,66,71,69,71,277
T2,6,"Knox, Russell",-7,F,-4,72,65,73,67,277
T4,9,"DeChambeau, Bryson",-5,F,-3,70,69,72,68,279
T4,4,"Na, Kevin",-5,F,-2,73,71,66,69,279
T6,7,"Kim, Meen-Whee",-4,F,-2,71,72,68,69,280
T6,4,"Kokrak, Jason",-4,F,2,71,68,68,73,280
T6,18,"Molder, Bryce",-4,F,-4,70,70,73,67,280
T9,15,"Baddeley, Aaron",-3,F,-3,71,69,73,68,281
T9,15,"Barnes, Ricky",-3,F,-3,71,68,74,68,281
T9,4,"Chappell, Kevin",-3,F,-1,68,68,75,70,281
T9,1,"Kuchar, Matt",-3,F,E,67,71,72,71,281
T9,14,"McGirt, William",-3,F,-2,69,71,72,69,281
T14,1,"Aldridge, Tyler",-2,F,E,71,73,67,71,282
T14,1,"Delaet, Graham",-2,F,E,69,70,72,71,282
T14,34,"Els, Ernie",-2,F,-5,72,71,73,66,282
T14,6,"Haas, Bill",-2,F,1,69,72,69,72,282
T14,12,"Hoffman, Charley",-2,F,4,68,68,71,75,282
T14,10,"Kizzire, Patton",-2,F,3,69,68,71,74,282
T14,10,"Knost, Colt",-2,F,-2,73,70,70,69,282
T14,1,"Si-Woo, Kim",-2,F,E,68,72,71,71,282
T14,10,"Toms, David",-2,F,-2,69,73,71,69,282
T23,1,"Campbell, Chad",-1,F,-1,71,69,73,70,283
T23,17,"Day, Jason",-1,F,-3,67,69,79,68,283
T23,15,"Henley, Russell",-1,F,2,72,67,71,73,283
T23,1,"Hoffmann, Morgan",-1,F,-1,70,69,74,70,283
T23,13,"Howell III, Charles",-1,F,-2,69,75,70,69,283
T23,18,"Kirk, Chris",-1,F,3,72,66,71,74,283
T23,37,"Senden, John",-1,F,-6,71,73,74,65,283
T30,25,"Hadwin, Adam",E,F,-4,71,73,73,67,284
T30,17,"Leishman, Marc",E,F,2,71,72,68,73,284
32,19,"Stefani, Shawn",1,F,3,71,71,69,74,285
T33,20,"Glover, Lucas",2,F,4,72,67,72,75,286
T33,28,"Johnson, Zach",2,F,6,71,68,70,77,286
T33,3,"Lingmerth, David",2,F,1,67,71,76,72,286
T33,7,"Reavie, Chez",2,F,E,70,74,71,71,286
T33,9,"Stanley, Kyle",2,F,2,72,70,71,73,286
T33,3,"Wilcox, Will",2,F,1,72,70,72,72,286
T39,15,"Burgoon, Bronson",3,F,3,70,69,74,74,287
T39,15,"Finau, Tony",3,F,3,67,73,73,74,287
T39,26,"List, Luke",3,F,-3,73,68,78,68,287
T39,26,"McNeill, George",3,F,5,68,70,73,76,287
T39,1,"Wagner, Johnson",3,F,1,68,73,74,72,287
T39,16,"Weekley, Boo",3,F,-1,70,71,76,70,287
T45,21,"Crane, Ben",4,F,4,74,68,71,75,288
