POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,TOT
1,-,"Stuard, Brian",-15,F,-3,64,68,69,201
T2,2,"An, Byeong-Hun",-15,F,-7,68,68,65,201
T2,-,"Lovemark, Jamie",-15,F,-4,67,66,68,201
4,13,"Wyatt, Bobby",-14,F,-8,67,71,64,202
T5,5,"Day, Jason",-13,F,-6,69,68,66,203
T5,12,"Kirk, Chris",-13,F,-7,71,67,65,203
T5,3,"Vegas, Jhonattan",-13,F,-2,64,69,70,203
T8,2,"Kizzire, Patton",-11,F,-4,67,70,68,205
T8,9,"Molder, Bryce",-11,F,-5,71,67,67,205
T8,4,"Varner III, Harold",-11,F,-3,69,67,69,205
T11,15,"Appleby, Stuart",-10,F,-5,69,70,67,206
T11,27,"Hoffman, Charley",-10,F,-6,67,73,66,206
T11,7,"Howell III, Charles",-10,F,-2,67,69,70,206
T11,27,"Stallings, Scott",-10,F,-6,72,68,66,206
T15,5,"Aiken, Thomas",-9,F,-2,68,69,70,207
T15,11,"Collins, Chad",-9,F,-1,72,64,71,207
T15,23,"Gonzales, Andres *",-9,F,-5,69,71,67,207
T15,2,"Levin, Spencer",-9,F,-3,68,70,69,207
T15,11,"Wilcox, Will",-9,F,-4,70,69,68,207
T20,41,"Affrunti, Joe *",-8,F,-6,69,73,66,208
T20,16,"Berger, Daniel",-8,F,E,71,65,72,208
T20,31,"Fowler, Rickie *",-8,F,-5,68,73,67,208
T20,18,"Hadley, Chesson *",-8,F,-4,71,69,68,208
T20,18,"Hearn, David *",-8,F,-4,69,71,68,208
T20,41,"Leishman, Marc *",-8,F,-6,71,71,66,208
T20,10,"Noh, Seung-Yul",-8,F,-1,68,69,71,208
T20,3,"Ruffels, Ryan",-8,F,-2,70,68,70,208
T20,10,"Senden, John",-8,F,-1,70,67,71,208
T20,3,"Stroud, Chris",-8,F,-2,72,66,70,208
T20,3,"Woodland, Gary",-8,F,-2,72,66,70,208
T31,30,"Compton, Erik *",-7,F,-5,73,69,67,209
T31,14,"Glover, Lucas",-7,F,-1,69,69,71,209
T31,5,"Norlander, Henrik",-7,F,-2,66,73,70,209
T31,27,"Rodgers, Patrick",-7,F,1,67,69,73,209
T31,7,"Turnesa, Marc *",-7,F,-3,70,70,69,209
T36,2,"Aldridge, Tyler *",-6,F,-2,70,70,70,210
T36,26,"Ernst, Derek",-6,F,1,67,70,73,210
T36,25,"Gay, Brian *",-6,F,-4,73,69,68,210
T36,15,"Hadwin, Adam *",-6,F,-3,72,69,69,210
T36,25,"Henley, Russell *",-6,F,-4,69,73,68,210
T36,10,"Horschel, Billy",-6,F,-1,68,71,71,210
T36,10,"Jacobson, Freddie",-6,F,-1,69,70,71,210
T36,2,"Lee, Lucas",-6,F,-2,72,68,70,210
T36,10,"Streb, Robert",-6,F,-1,71,68,71,210
T36,25,"Taylor, Nick *",-6,F,-4,70,72,68,210
T36,10,"Toms, David",-6,F,-1,68,71,71,210
T36,26,"Wheatcroft, Steve",-6,F,1,69,68,73,210
T48,13,"Barber, Blayne *",-5,F,-3,70,72,69,211
T48,3,"Burgoon, Bronson *",-5,F,-2,72,69,70,211
T48,3,"Castro, Roberto *",-5,F,-2,69,72,70,211
T48,13,"Donaldson, Jamie *",-5,F,-3,73,69,69,211
T48,10,"Kim, Michael",-5,F,-1,74,66,71,211
T48,3,"Lahiri, Anirban *",-5,F,-2,72,69,70,211
