POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,-,"Spieth, Jordan",-17,F,-5,67,66,65,65,263
2,2,"English, Harris",-14,F,-4,67,69,64,66,266
T3,1,"Palmer, Ryan",-13,F,-2,66,67,66,68,267
T3,1,"Simpson, Webb",-13,F,-2,65,67,67,68,267
5,1,"Reifers, Kyle",-12,F,-2,66,67,67,68,268
T6,1,"Dufner, Jason",-9,F,E,66,69,66,70,271
T6,3,"Kuchar, Matt",-9,F,-2,73,67,63,68,271
T6,3,"Lahiri, Anirban",-9,F,-2,65,70,68,68,271
T6,2,"Piller, Martin",-9,F,1,66,66,68,71,271
T10,29,"Campbell, Chad *",-8,F,-7,69,72,68,63,272
T10,10,"Kisner, Kevin",-8,F,-4,71,66,69,66,272
T10,1,"Molder, Bryce",-8,F,-1,64,69,70,69,272
T13,-,"Leishman, Marc",-7,F,-1,68,67,69,69,273
T13,5,"Stroud, Chris",-7,F,1,69,69,64,71,273
T15,-,"Kirk, Chris",-6,F,-1,70,70,65,69,274
T15,6,"Reed, Patrick",-6,F,1,65,69,69,71,274
T17,7,"Hearn, David",-5,F,-2,67,67,73,68,275
T17,3,"Hoge, Tom",-5,F,-1,70,70,66,69,275
T17,14,"Johnson, Zach",-5,F,-3,72,68,68,67,275
T17,7,"Merritt, Troy",-5,F,-2,69,70,68,68,275
T17,2,"Snedeker, Brandt",-5,F,E,68,68,69,70,275
T22,9,"Bowditch, Steven *",-4,F,-2,69,68,71,68,276
T22,7,"Hadwin, Adam",-4,F,1,68,67,70,71,276
T22,2,"Lee, Danny",-4,F,-1,71,68,68,69,276
T25,20,"Aldridge, Tyler *",-3,F,-3,69,70,71,67,277
T25,14,"Harman, Brian *",-3,F,-2,71,70,68,68,277
T25,10,"Schwartzel, Charl",-3,F,2,71,69,65,72,277
T25,5,"Toms, David",-3,F,1,67,69,70,71,277
T29,2,"Crane, Ben",-2,F,E,70,69,69,70,278
T29,9,"Herman, Jim",-2,F,2,67,72,67,72,278
T29,10,"Herron, Tim *",-2,F,-1,72,67,70,69,278
