POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,-,"Hurley III, Billy",-17,F,-2,66,65,67,69,267
2,4,"Singh, Vijay",-14,F,-6,68,66,71,65,270
T3,1,"Haas, Bill",-13,F,-3,66,69,68,68,271
T3,-,"Rahm, Jon",-13,F,-1,64,67,70,70,271
5,3,"Els, Ernie",-12,F,1,66,69,65,72,272
6,2,"Simpson, Webb",-10,F,E,67,68,68,71,274
7,1,"Varner III, Harold",-9,F,-1,66,69,70,70,275
T8,-,"Garrigus, Robert",-8,F,-1,67,69,70,70,276
T8,27,"Molinari, Francesco",-8,F,-6,69,73,69,65,276
T10,16,"Kaufman, Smylie",-7,F,-4,67,73,70,67,277
T10,9,"Oppenheim, Rob",-7,F,-3,69,71,69,68,277
T12,2,"Baddeley, Aaron",-6,F,E,73,68,66,71,278
T12,14,"Gonzales, Andres",-6,F,-3,69,72,69,68,278
T12,7,"Hearn, David",-6,F,-2,70,67,72,69,278
T12,46,"Kirk, Chris",-6,F,-6,72,70,71,65,278
T12,2,"Streelman, Kevin",-6,F,-1,71,68,69,70,278
T12,2,"Taylor, Nick",-6,F,-1,69,70,69,70,278
T12,2,"Thomas, Justin",-6,F,-1,69,69,70,70,278
T19,27,"Fathauer, Derek",-5,F,-4,71,70,71,67,279
T19,46,"Huh, John",-5,F,-6,72,69,73,65,279
T21,25,"Furyk, Jim",-4,F,-3,73,68,71,68,280
T21,2,"Hubbard, Mark",-4,F,E,67,69,73,71,280
T21,25,"Laird, Martin",-4,F,-3,68,72,72,68,280
T21,2,"Saunders, Sam",-4,F,E,67,70,72,71,280
T21,5,"Streb, Robert",-4,F,-1,69,70,71,70,280
T21,2,"Summerhays, Daniel",-4,F,E,70,69,70,71,280
T21,5,"Swafford, Hudson",-4,F,-1,70,69,71,70,280
T21,11,"Woodland, Gary",-4,F,2,69,69,69,73,280
T29,36,"Barber, Blayne",-3,F,-4,68,73,73,67,281
T29,19,"Bryan, Wesley",-3,F,3,66,74,67,74,281
T29,6,"Collins, Chad",-3,F,-1,72,69,70,70,281
T29,21,"Compton, Erik",-3,F,4,68,70,68,75,281
T29,17,"Glover, Lucas",-3,F,-2,68,71,73,69,281
T29,17,"Harman, Brian",-3,F,-2,69,73,70,69,281
T29,3,"Kim, Michael",-3,F,E,68,70,72,71,281
T29,3,"Kokrak, Jason",-3,F,E,69,69,72,71,281
T29,19,"Roach, Wes",-3,F,3,72,69,66,74,281
T29,6,"Senden, John",-3,F,-1,67,70,74,70,281
T39,19,"Gomez, Fabian",-2,F,-2,67,74,72,69,282
T39,4,"Herman, Jim",-2,F,E,69,71,71,71,282
T39,13,"Leishman, Marc",-2,F,1,67,71,72,72,282
T39,25,"Reed, Patrick",-2,F,3,68,70,70,74,282
T39,4,"Steele, Brendan",-2,F,E,73,69,69,71,282
T44,25,"An, Byeong-Hun",-1,F,3,69,68,72,74,283
T44,30,"Chappell, Kevin",-1,F,4,70,69,69,75,283
T44,25,"Fowler, Rickie",-1,F,3,68,68,73,74,283
T44,14,"Martin, Ben",-1,F,-1,72,68,73,70,283
T44,9,"O'Hair, Sean",-1,F,1,68,72,71,72,283
T44,14,"Pampling, Rod",-1,F,-1,70,71,72,70,283
T44,2,"Reavie, Chez",-1,F,E,72,70,70,71,283
T44,9,"Reifers, Kyle",-1,F,1,66,71,74,72,283
T44,9,"Rodgers, Patrick",-1,F,1,70,69,72,72,283
T44,2,"Stanley, Kyle",-1,F,E,69,73,70,71,283
T44,9,"Stefani, Shawn",-1,F,1,71,70,70,72,283
T44,2,"Stroud, Chris",-1,F,E,69,71,72,71,283
T44,21,"Vegas, Jhonattan",-1,F,-2,65,76,73,69,283
T57,31,"Bradley, Keegan",E,F,3,70,68,72,74,284
T57,22,"Hoffman, Charley",E,F,2,67,72,72,73,284
T57,11,"Kizzire, Patton",E,F,1,70,71,71,72,284
T57,11,"Marino, Steve",E,F,1,67,74,71,72,284
T57,31,"van Aswegen, Tyrone",E,F,3,69,70,71,74,284
T62,7,"Castro, Roberto",1,F,-1,71,71,73,70,285
T62,12,"Lovemark, Jamie",1,F,-3,66,75,76,68,285
T64,6,"Atwal, Arjun",2,F,2,70,70,73,73,286
T64,18,"DeChambeau, Bryson",2,F,3,70,71,71,74,286
T64,29,"Hadley, Chesson",2,F,4,68,73,70,75,286
T64,6,"Hahn, James",2,F,2,70,72,71,73,286
T64,1,"MacKenzie, Will",2,F,1,68,71,75,72,286
T64,6,"van Der Walt, Dawie",2,F,2,70,70,73,73,286
T64,5,"Villegas, Camilo",2,F,E,66,72,77,71,286
71,3,"Lahiri, Anirban",3,F,-1,71,71,75,70,287
T72,6,"Curran, Jon",4,F,-2,69,73,77,69,288
T72,1,"Guthrie, Luke",4,F,1,71,71,74,72,288
74,28,"Finau, Tony",5,F,6,69,73,70,77,289
T75,6,"Blair, Zac",6,F,4,71,70,74,75,290
T75,1,"Hoge, Tom",6,F,2,69,72,76,73,290
T75,6,"Howell III, Charles",6,F,4,74,66,75,75,290
78,1,"Langley, Scott",12,F,7,68,73,77,78,296
CUT,-,"Appleby, Stuart *",1,,,72,71,,,143
CUT,-,"Crane, Ben *",1,,,72,71,,,143
CUT,-,"Jones, Matt",1,,,72,71,,,143
CUT,-,"Kang, Sunghoon *",1,,,71,72,,,143
CUT,-,"Merritt, Troy *",1,,,71,72,,,143
CUT,-,"Overton, Jeff",1,,,72,71,,,143
CUT,-,"Pinckney, Scott *",1,,,69,74,,,143
CUT,-,"Stallings, Scott *",1,,,73,70,,,143
CUT,-,"Stegmaier, Brett",1,,,72,71,,,143
CUT,-,"Tringale, Cameron *",1,,,73,70,,,143
