POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,-,"Spieth, Jordan",-19,F,-2,68,65,65,70,268
2,1,"Kraft, Kelly",-15,F,-5,69,70,66,67,272
3,-,"Johnson, Dustin",-14,F,-4,70,69,66,68,273
4,2,"Snedeker, Brandt",-13,F,-2,68,69,67,70,274
T5,6,"Day, Jason",-12,F,-5,69,64,75,67,275
T5,1,"Rahm, Jon",-12,F,-4,73,67,67,68,275
T5,11,"Woodland, Gary",-12,F,-7,70,73,67,65,275
T8,3,"Noh, Seung-Yul",-9,F,-2,68,71,69,70,278
T8,3,"Oppenheim, Rob",-9,F,E,69,69,68,72,278
T10,1,"Hughes, Mackenzie",-8,F,-1,70,70,68,71,279

T10,6,"Kisner, Kevin",-8,F,-3,72,67,71,69,279
T10,6,"Percy, Cameron",-8,F,-3,73,66,71,69,279
T10,1,"Taylor, Nick",-8,F,-1,70,70,68,71,279
T14,2,"Flores, Martin",-7,F,-2,70,68,72,70,280
T14,2,"Lowry, Shane",-7,F,-2,70,68,72,70,280
T14,20,"MacKenzie, Will *",-7,F,-4,70,68,74,68,280
T14,2,"Mullinax, Trey",-7,F,-2,73,69,68,70,280
T14,8,"Ogilvy, Geoff",-7,F,1,71,70,66,73,280
T14,14,"Perez, Pat",-7,F,-3,73,64,74,69,280
T14,8,"Stallings, Scott",-7,F,1,72,70,65,73,280
T14,14,"Streelman, Kevin",-7,F,-3,74,70,67,69,280
T14,2,"Watney, Nick",-7,F,-2,70,71,69,70,280
T23,8,"Donald, Luke",-6,F,E,75,69,65,72,281
T23,11,"Duke, Ken *",-6,F,-3,73,70,69,69,281
T23,17,"Fathauer, Derek",-6,F,2,70,64,73,74,281
T23,5,"Finau, Tony",-6,F,-2,71,68,72,70,281
T23,7,"Garrigus, Robert",-6,F,-1,69,71,70,71,281
T23,30,"Holmes, J.B. *",-6,F,-5,70,75,69,67,281
T23,7,"Jones, Matt",-6,F,-1,72,67,71,71,281
T23,30,"Kokrak, Jason *",-6,F,-5,77,68,69,67,281
T23,5,"Reed, Patrick",-6,F,-2,71,66,74,70,281
T23,11,"Stricker, Steve *",-6,F,-3,72,70,70,69,281
T33,20,"Drewitt, Brett *",-5,F,-4,71,74,69,68,282
T33,14,"Etulain, Julian *",-5,F,-3,75,68,70,69,282
T33,5,"Fritsch, Brad *",-5,F,-1,74,68,69,71,282
T33,20,"Gonzales, Andres *",-5,F,-4,73,69,72,68,282
T33,1,"Hagy, Brandon *",-5,F,-2,71,69,72,70,282
T33,20,"Ridings, Tag *",-5,F,-4,72,68,74,68,282
T39,5,"Cejka, Alex *",-4,F,-1,72,66,74,71,283
T39,23,"Hadwin, Adam",-4,F,1,73,69,68,73,283
T39,14,"Hoge, Tom *",-4,F,-3,72,71,71,69,283
T39,23,"Kirk, Chris",-4,F,1,70,73,67,73,283
T39,5,"Norlander, Henrik *",-4,F,-1,76,71,65,71,283
T39,14,"Points, D.A. *",-4,F,-3,72,73,69,69,283
T39,5,"Power, Seamus *",-4,F,-1,70,70,72,71,283
T39,23,"Rose, Justin",-4,F,1,72,70,68,73,283
T39,8,"Wilkinson, Tim *",-4,F,-2,69,70,74,70,283
T48,14,"Barnes, Ricky *",-3,F,E,71,68,73,72,284
T48,1,"Blair, Zac *",-3,F,-1,70,75,68,71,284
T48,14,"Cantlay, Patrick *",-3,F,E,70,71,71,72,284
T48,42,"Chappell, Kevin",-3,F,5,73,67,67,77,284
T48,14,"Dahmen, Joel *",-3,F,E,68,72,72,72,284
T48,5,"Sabbatini, Rory *",-3,F,-2,74,68,72,70,284
T48,1,"Tway, Kevin *",-3,F,-1,70,69,74,71,284
T55,8,"Cink, Stewart *",-2,F,E,70,70,73,72,285
T55,2,"Piercy, Scott *",-2,F,-1,73,68,73,71,285
T55,8,"Walker, Jimmy *",-2,F,E,72,69,72,72,285
