POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,-,"Thomas, Justin",-17,F,-5,71,67,63,66,267
2,2,"Spieth, Jordan",-14,F,-4,72,65,66,67,270
3,2,"Leishman, Marc",-13,F,-1,67,69,65,70,271
T4,1,"Casey, Paul",-12,F,-1,70,65,67,70,272
T4,3,"Rahm, Jon",-12,F,-3,67,66,71,68,272
T6,3,"Mickelson, Phil",-11,F,-3,69,67,69,68,273
T6,8,"Na, Kevin",-11,F,-5,68,69,70,66,273
T6,5,"Perez, Pat",-11,F,-4,72,67,67,67,273
T6,8,"Reed, Patrick",-11,F,-5,71,67,69,66,273
T10,11,"Haas, Bill",-10,F,-6,71,70,68,65,274

T10,1,"Rose, Justin",-10,F,-3,72,65,69,68,274
12,2,"Cink, Stewart",-9,F,-3,71,68,68,68,275
T13,4,"Cantlay, Patrick",-8,F,E,69,68,68,71,276
T13,2,"Fowler, Rickie",-8,F,-1,69,71,66,70,276
T13,9,"Hadwin, Adam",-8,F,2,70,65,68,73,276
T13,8,"Hughes, Mackenzie",-8,F,-4,70,68,71,67,276
T13,1,"Swafford, Hudson",-8,F,-2,69,68,70,69,276
T18,14,"Cabrera Bello, Rafa",-7,F,-6,72,68,72,65,277
T18,11,"Johnson, Dustin",-7,F,2,66,72,66,73,277
T18,3,"Koepka, Brooks",-7,F,-3,74,67,68,68,277
T18,9,"Woodland, Gary",-7,F,-4,72,71,67,67,277
22,10,"Grillo, Emiliano",-6,F,-5,70,71,71,66,278
T23,13,"Matsuyama, Hideki",-5,F,-5,72,71,70,66,279
T23,13,"Poulter, Ian",-5,F,-5,71,73,69,66,279
T25,19,"Day, Jason",-4,F,-5,75,69,70,66,280
T25,11,"Grace, Branden",-4,F,2,74,64,69,73,280
T25,21,"Murray, Grayson",-4,F,6,68,68,67,77,280
T25,11,"Schwartzel, Charl",-4,F,-4,75,69,69,67,280
T25,6,"Stanley, Kyle",-4,F,1,67,68,73,72,280
T30,11,"DeChambeau, Bryson",-3,F,2,69,67,72,73,281
T30,3,"Glover, Lucas",-3,F,E,71,69,70,71,281
T30,3,"Gribble, Cody",-3,F,E,72,70,68,71,281
T30,6,"McGirt, William",-3,F,-3,70,74,69,68,281
T30,2,"Oosthuizen, Louis",-3,F,-2,69,69,74,69,281
T35,1,"Bradley, Keegan",-2,F,-2,76,68,69,69,282
T35,5,"Chappell, Kevin",-2,F,E,72,70,69,71,282
T35,18,"Garcia, Sergio",-2,F,-4,67,73,75,67,282
T35,25,"Kang, Sunghoon",-2,F,-5,71,74,71,66,282
T35,14,"Streelman, Kevin",-2,F,2,70,65,74,73,282
T40,4,"Blixt, Jonas",-1,F,-2,68,73,73,69,283
T40,19,"Henley, Russell",-1,F,3,70,69,70,74,283
T40,4,"Hoffmann, Morgan",-1,F,-1,75,64,74,70,283
T40,4,"Kim, Si-Woo",-1,F,-1,71,70,72,70,283
T40,4,"Laird, Martin",-1,F,-2,74,70,70,69,283
T40,20,"Lovemark, Jamie",-1,F,-4,73,70,73,67,283
T40,26,"Tway, Kevin",-1,F,-5,71,74,72,66,283
T47,17,"Cauley, Bud",E,F,2,72,71,68,73,284
T47,13,"Hoffman, Charley",E,F,-3,72,71,73,68,284
T47,3,"Kirk, Chris",E,F,-1,70,68,76,70,284
T47,6,"List, Luke",E,F,-2,68,76,71,69,284

T47,6,"Pan, Cheng Tsung",E,F,-2,69,72,74,69,284
T47,19,"Varner III, Harold",E,F,-4,77,67,73,67,284
T53,-,"Kisner, Kevin",1,F,-1,72,70,73,70,285
T53,9,"Kokrak, Jason",1,F,E,72,73,69,71,285
T53,-,"Schauffele, Xander",1,F,-1,69,74,72,70,285
T56,12,"Johnson, Zach",2,F,1,77,68,69,72,286
T56,20,"Kuchar, Matt",2,F,2,72,70,71,73,286
T56,3,"Lahiri, Anirban",2,F,E,72,70,73,71,286
T56,10,"Steele, Brendan",2,F,-2,69,70,78,69,286
T56,12,"Taylor, Nick",2,F,1,72,72,70,72,286
T61,8,"Berger, Daniel",3,F,1,77,68,70,72,287
T61,1,"Knox, Russell",3,F,E,72,72,72,71,287
T61,1,"Molinari, Francesco",3,F,E,75,70,71,71,287
T61,17,"Reavie, Chez",3,F,2,72,72,70,73,287
T65,44,"Brown, Scott",4,F,8,74,65,70,79,288
T65,1,"Finau, Tony",4,F,E,69,71,77,71,288
T65,21,"Harman, Brian",4,F,3,68,72,74,74,288
T65,1,"Vegas, Jhonattan",4,F,E,73,70,74,71,288
T69,3,"Bryan, Wesley",5,F,1,76,69,72,72,289
T69,37,"Dufner, Jason",5,F,6,68,75,69,77,289
T69,3,"Herman, Jim",5,F,1,75,68,74,72,289
T69,9,"Watson, Bubba",5,F,2,75,70,71,73,289
T73,1,"Rodgers, Patrick",6,F,1,74,71,73,72,290
T73,3,"Streb, Robert",6,F,E,73,72,74,71,290
T75,4,"Delaet, Graham",7,F,-1,72,69,80,70,291
T75,2,"Hahn, James",7,F,E,76,68,76,71,291
T75,1,"Simpson, Webb",7,F,2,72,70,76,73,291
T75,9,"Spaun, J.J.",7,F,3,72,71,74,74,291
79,2,"Pampling, Rod",9,F,2,72,73,75,73,293

CUT,-,"Campbell, Chad",4,,,76,70,,,146
CUT,-,"Horschel, Billy",4,,,78,68,,,146
CUT,-,"Kim, Meen-Whee",4,,,75,71,,,146
CUT,-,"Kim, Michael",4,,,75,71,,,146
CUT,-,"McIlroy, Rory",4,,,72,74,,,146
CUT,-,"Scott, Adam",4,,,71,75,,,146
CUT,-,"Stroud, Chris",4,,,71,75,,,146
CUT,-,"Villegas, Camilo",4,,,71,75,,,146
CUT,-,"Lingmerth, David",5,,,75,72,,,147
CUT,-,"Kizzire, Patton",6,,,72,76,,,148
CUT,-,"O'Hair, Sean",6,,,74,74,,,148
CUT,-,"Howell III, Charles",7,,,73,76,,,149
CUT,-,"Lee, Danny",7,,,75,74,,,149
CUT,-,"Smith, Cameron",7,,,76,73,,,149
CUT,-,"Schniederjans, Ollie",10,,,75,77,,,152
WD,-,"Kraft, Kelly",10,,,65,,,,65
WD,-,"Moore, Ryan",11,,,82,,,,82
