POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,12,"Rahm, Jon",-13,F,-7,72,69,69,65,275
T2,11,"Howell III, Charles",-10,F,-4,67,74,69,68,278
T2,1,"Pan, Cheng Tsung",-10,F,-2,70,69,69,70,278
T4,20,"Bradley, Keegan",-9,F,-5,69,69,74,67,279
T4,1,"Finau, Tony",-9,F,-1,73,68,67,71,279
T4,1,"Perez, Pat",-9,F,-2,68,74,67,70,279
T4,3,"Rodgers, Patrick",-9,F,E,68,72,67,72,279
T4,1,"Rose, Justin",-9,F,-2,65,71,73,70,279
T9,15,"Harman, Brian",-8,F,-4,68,71,73,68,280
T9,4,"Schniederjans, Ollie",-8,F,-1,69,69,71,71,280
T9,8,"Snedeker, Brandt",-8,F,1,68,69,70,73,280
T9,4,"Spaun, J.J.",-8,F,-2,72,69,69,70,280
T9,4,"Streb, Robert",-8,F,-1,68,71,70,71,280
T14,9,"English, Harris",-7,F,E,71,69,69,72,281
T14,4,"Mickelson, Phil",-7,F,-2,71,72,68,70,281
T14,1,"Molinari, Francesco",-7,F,-1,71,70,69,71,281
T14,28,"Sabbatini, Rory *",-7,F,-5,70,72,72,67,281
T14,4,"Stanley, Kyle",-7,F,-2,70,73,68,70,281
T14,20,"Thompson, Michael",-7,F,-4,71,71,71,68,281
T20,15,"Blixt, Jonas",-6,F,1,68,72,69,73,282
T20,15,"Cink, Stewart",-6,F,1,68,72,69,73,282
T20,22,"Ishikawa, Ryo *",-6,F,-4,74,68,72,68,282
T20,15,"Leishman, Marc",-6,F,1,69,72,68,73,282
T20,14,"Steele, Brendan",-6,F,-3,69,74,70,69,282
T20,4,"van Aswegen, Tyrone",-6,F,-2,72,68,72,70,282
T20,38,"Werenski, Richy *",-6,F,-6,73,70,73,66,282
T20,2,"Woodland, Gary",-6,F,-1,67,75,69,71,282
T28,15,"Casey, Paul",-5,F,1,69,73,68,73,283
T28,6,"Castro, Roberto",-5,F,-2,70,70,73,70,283
T28,24,"Flores, Martin *",-5,F,-4,71,72,72,68,283
T28,14,"Kraft, Kelly *",-5,F,-3,72,70,72,69,283
T28,10,"Vegas, Jhonattan",-5,F,E,73,70,68,72,283
T33,9,"Glover, Lucas",-4,F,E,71,70,71,72,284
T33,1,"Grillo, Emiliano",-4,F,-1,72,69,72,71,284
T33,25,"Holmes, J.B. *",-4,F,-4,73,71,72,68,284
T33,25,"Lowry, Shane *",-4,F,-4,71,73,72,68,284
T33,9,"Matsuyama, Hideki",-4,F,E,71,70,71,72,284
T33,9,"Smith, Cameron *",-4,F,-2,73,71,70,70,284
T39,15,"Armour, Ryan",-3,F,1,71,71,70,73,285
T39,15,"Reifers, Kyle",-3,F,1,76,67,69,73,285
T41,17,"Blair, Zac",-2,F,2,70,69,73,74,286
T41,7,"Brehm, Ryan *",-2,F,1,68,72,73,73,286
T41,17,"Brown, Scott *",-2,F,-2,71,72,73,70,286
T41,11,"Campbell, Brian *",-2,F,-1,73,71,71,71,286
T41,17,"Molder, Bryce *",-2,F,-2,70,74,72,70,286
T41,7,"Oosthuizen, Louis",-2,F,1,71,72,70,73,286
T41,17,"Tway, Kevin",-2,F,2,72,70,70,74,286
T41,17,"Wilkinson, Tim *",-2,F,-2,70,72,74,70,286
T49,20,"An, Byeong Hun *",-1,F,-2,71,73,73,70,287
T49,20,"Anderson, Mark *",-1,F,-2,70,73,74,70,287
T49,31,"Hadwin, Adam",-1,F,4,66,71,74,76,287
T49,9,"Hossler, Beau *",-1,F,-1,67,75,74,71,287
T49,7,"Mullinax, Trey *",-1,F,1,67,74,73,73,287
T54,12,"Delaet, Graham *",E,F,2,68,73,73,74,288
T54,30,"Hoffman, Charley",E,F,4,74,70,68,76,288
T54,12,"Hughes, Mackenzie *",E,F,2,70,70,74,74,288
