POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,-,"Watson, Bubba",-25,F,-6,67,67,63,66,263
2,1,"Reed, Patrick",-22,F,-6,69,65,66,66,266
3,5,"Fowler, Rickie",-21,F,-8,70,68,65,64,267
4,1,"Spieth, Jordan",-20,F,-5,67,66,68,67,268
T5,3,"Casey, Paul",-19,F,-2,66,70,63,70,269
T5,-,"Haas, Bill",-19,F,-4,67,66,68,68,269
7,-,"Koepka, Brooks",-18,F,-4,67,70,65,68,270
T8,5,"Holmes, J.B.",-17,F,-8,71,68,68,64,271
T8,3,"Walker, Jimmy",-17,F,-5,66,67,71,67,271
T10,7,"Kirk, Chris",-16,F,E,69,65,66,72,272
T10,2,"Scott, Adam",-16,F,-3,67,70,66,69,272
12,4,"Johnson, Zach",-15,F,-2,66,70,67,70,273
13,3,"Rose, Justin",-13,F,-10,71,72,70,62,275
14,2,"Kuchar, Matt",-12,F,-1,70,66,69,71,276
15,1,"Johnson, Dustin",-8,F,-1,68,69,72,71,280
16,1,"Horschel, Billy",-7,F,-5,71,70,73,67,281
T17,2,"Lahiri, Anirban",-4,F,E,69,70,73,72,284
T17,1,"Matsuyama, Hideki",-4,F,-6,75,73,70,66,284
