POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,-,"Fowler, Rickie",-12,F,1,66,66,65,71,268
T2,6,"Hoffmann, Morgan",-8,F,-2,68,67,69,68,272
T2,1,"Woodland, Gary",-8,F,-1,71,66,66,69,272
T4,1,"Bryan, Wesley",-7,F,E,64,67,72,70,273
T4,4,"Collins, Chad",-7,F,-1,70,67,67,69,273
T4,2,"Hatton, Tyrrell",-7,F,2,68,67,66,72,273
T4,16,"Horschel, Billy",-7,F,-2,70,68,67,68,273
T4,1,"Kaymer, Martin",-7,F,E,65,70,68,70,273
T4,46,"Vegas, Jhonattan",-7,F,-6,67,73,69,64,273
10,2,"Delaet, Graham",-6,F,E,66,68,70,70,274

T11,9,"Casey, Paul",-5,F,E,68,70,67,70,275
T11,3,"Lahiri, Anirban",-5,F,1,65,68,71,71,275
T11,8,"O'Hair, Sean",-5,F,2,66,72,65,72,275
T14,6,"Dufner, Jason",-4,F,2,71,66,67,72,276
T14,6,"Garcia, Sergio",-4,F,1,68,71,66,71,276
T14,18,"McDowell, Graeme",-4,F,-1,72,67,68,69,276
T14,6,"Molinari, Francesco",-4,F,2,68,69,67,72,276
T14,25,"Scott, Adam",-4,F,-2,68,69,71,68,276
T14,25,"Steele, Brendan",-4,F,-2,73,65,70,68,276
T14,45,"Watney, Nick",-4,F,-5,71,67,73,65,276
T21,7,"Glover, Lucas",-3,F,1,69,69,68,71,277
T21,13,"Hagy, Brandon",-3,F,3,67,73,64,73,277
T21,18,"Oosthuizen, Louis",-3,F,-1,70,70,68,69,277
T21,18,"Spaun, J.J.",-3,F,-1,68,68,72,69,277
T21,7,"Stallings, Scott",-3,F,1,67,68,71,71,277
T21,13,"Walker, Jimmy",-3,F,3,70,69,65,73,277
T27,7,"Cauley, Bud",-2,F,3,72,66,67,73,278
T27,12,"Cink, Stewart",-2,F,E,69,71,68,70,278
T27,7,"Donald, Luke",-2,F,3,69,67,69,73,278
T27,5,"Herman, Jim",-2,F,1,67,70,70,71,278
T27,19,"Johnson, Zach",-2,F,4,68,69,67,74,278
T27,7,"Leishman, Marc",-2,F,3,67,70,68,73,278
T27,12,"Poston, JT",-2,F,E,69,67,72,70,278
T27,19,"Stuard, Brian",-2,F,4,68,69,67,74,278
T27,5,"van Aswegen, Tyrone",-2,F,1,68,70,69,71,278
