POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,2,"Points, D.A.",-16,F,-6,64,71,71,66,272
T2,5,"Horschel, Billy",-15,F,-6,68,72,67,66,273
T2,5,"Stenson, Henrik",-15,F,-6,69,70,68,66,273
T4,1,"Crane, Ben",-14,F,-4,69,70,67,68,274
T4,13,"Johnson, Dustin",-14,F,-7,69,70,70,65,274
T6,1,"Chappell, Kevin",-13,F,-4,70,70,67,68,275
T6,5,"Cink, Stewart",-13,F,-2,71,66,68,70,275
T6,10,"Davis, Brian",-13,F,-5,67,70,71,67,275
9,6,"Kokrak, Jason",-12,F,-2,66,69,71,70,276
T10,3,"Bradley, Keegan",-11,F,-2,70,70,67,70,277
T10,17,"de Jonge, Brendon",-11,F,-6,71,68,72,66,277
T10,9,"Haas, Bill",-11,F,E,68,70,67,72,277
T10,17,"Howell III, Charles",-11,F,-6,69,72,70,66,277
T10,3,"Oosthuizen, Louis",-11,F,-2,70,72,65,70,277
T10,3,"Westwood, Lee",-11,F,-2,68,72,67,70,277
T16,9,"Cabrera, Angel",-10,F,-1,66,72,69,71,278
T16,9,"Cauley, Bud",-10,F,-1,68,74,65,71,278
T16,5,"Mickelson, Phil",-10,F,-4,72,71,67,68,278
T16,9,"Tringale, Cameron",-10,F,-1,65,73,69,71,278
T20,3,"Hoffman, Charley",-9,F,-2,68,71,70,70,279
T20,1,"Rollins, John",-9,F,-3,65,74,71,69,279
T22,21,"Kirk, Chris",-8,F,-5,71,70,72,67,280
T22,26,"LaBelle II, Doug",-8,F,-6,71,71,72,66,280
T22,5,"Owen, Greg",-8,F,-1,68,73,68,71,280
T22,12,"Streb, Robert",-8,F,-4,70,71,71,68,280
T22,19,"Wheatcroft, Steve",-8,F,2,67,67,72,74,280
T27,-,"Overton, Jeff",-7,F,-2,67,73,71,70,281
T27,16,"Perez, Pat",-7,F,-4,72,71,70,68,281
T27,7,"Stadler, Kevin",-7,F,-3,70,73,69,69,281
T27,21,"Watney, Nick",-7,F,-5,71,71,72,67,281
T31,12,"Baddeley, Aaron",-6,F,-3,70,71,72,69,282
T31,10,"Delaet, Graham",-6,F,E,71,71,68,72,282
T31,17,"Fisher, Ross",-6,F,-4,73,69,72,68,282
T31,4,"Herron, Tim",-6,F,-1,69,73,69,71,282
T31,3,"Park, Jin",-6,F,-2,69,74,69,70,282
T31,10,"Reavie, Chez",-6,F,E,72,70,68,72,282
T31,3,"Summerhays, Daniel",-6,F,-2,72,71,69,70,282
T38,5,"Beljan, Charlie",-5,F,-2,71,72,70,70,283
T38,10,"Estes, Bob",-5,F,-3,71,69,74,69,283
T38,11,"Jones, Matt",-5,F,E,68,73,70,72,283
T38,4,"Steele, Brendan",-5,F,-1,70,71,71,71,283
T38,4,"Stricker, Steve",-5,F,-1,73,68,71,71,283
T38,10,"Stroud, Chris",-5,F,-3,71,72,71,69,283
T38,17,"Teater, Josh",-5,F,1,74,67,69,73,283
T45,20,"Henley, Russell",-4,F,-4,72,70,74,68,284
T45,3,"McIlroy, Rory",-4,F,-2,73,70,71,70,284
T45,28,"Merrick, John",-4,F,3,68,72,69,75,284
T45,11,"Stallings, Scott",-4,F,E,70,69,73,72,284
T45,3,"Weekley, Boo",-4,F,-2,70,69,75,70,284
T50,15,"English, Harris",-3,F,-3,69,74,73,69,285
T50,2,"Kraft, Kelly",-3,F,-1,70,72,72,71,285
T50,7,"Leonard, Justin",-3,F,E,71,72,70,72,285
T50,15,"Spieth, Jordan",-3,F,-3,72,70,74,69,285
T50,19,"Walker, Jimmy",-3,F,-4,68,71,78,68,285
T50,11,"Woodland, Gary",-3,F,-2,72,70,73,70,285
T56,22,"Bowditch, Steven",-2,F,2,73,70,69,74,286
T56,29,"Hahn, James",-2,F,3,74,69,68,75,286
T56,8,"Lynn, David",-2,F,E,72,70,72,72,286
T56,5,"Matteson, Troy",-2,F,-1,71,71,73,71,286
T60,9,"Campbell, Chad",-1,F,-2,72,71,74,70,287
T60,26,"Jobe, Brandt",-1,F,3,69,73,70,75,287
T60,12,"Kelly, Jerry",-1,F,-3,71,72,75,69,287
T60,33,"Lee, D.H.",-1,F,4,72,71,68,76,287
T60,12,"Thompson, Nicholas",-1,F,1,70,73,71,73,287
T65,17,"Haas, Hunter",E,F,2,69,71,74,74,288
T65,4,"Norlander, Henrik",E,F,1,74,68,73,73,288
T65,4,"Pettersson, Carl",E,F,-1,74,69,74,71,288
T65,44,"Verplank, Scott",E,F,6,72,68,70,78,288
69,21,"Barnes, Ricky",1,F,3,73,68,73,75,289
