POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,4,"DeChambeau, Bryson",-18,F,-6,66,65,70,65,266
2,1,"Rodgers, Patrick",-17,F,-1,65,64,68,70,267
T3,24,"Bryan, Wesley",-16,F,-7,66,71,67,64,268
T3,5,"Lamb, Rick",-16,F,-5,69,70,63,66,268
T5,3,"Berger, Daniel",-15,F,-1,69,67,63,70,269
T5,3,"Byrd, Jonathan",-15,F,-4,70,65,67,67,269
T5,3,"Johnson, Zach",-15,F,-4,65,67,70,67,269
T5,3,"Stallings, Scott",-15,F,-1,71,64,64,70,269
T5,30,"Stricker, Steve",-15,F,-7,73,67,65,64,269
T10,8,"Harman, Brian",-14,F,-4,70,70,63,67,270

T10,5,"Henry, J.J.",-14,F,-2,69,64,68,69,270
T12,4,"Campbell, Brian",-13,F,-2,69,67,66,69,271
T12,6,"Campbell, Chad",-13,F,-3,65,68,70,68,271
T12,23,"Cauley, Bud",-13,F,-5,72,67,66,66,271
T12,45,"Hoffmann, Morgan",-13,F,-7,72,67,68,64,271
T12,15,"Percy, Cameron",-13,F,-4,69,69,66,67,271
T12,15,"Summerhays, Daniel",-13,F,-4,66,72,66,67,271
T12,4,"Tway, Kevin",-13,F,-2,70,63,69,69,271
T19,11,"Howell III, Charles",-12,F,-1,63,69,70,70,272
T19,11,"Mullinax, Trey",-12,F,-1,66,70,66,70,272
T19,11,"Sabbatini, Rory",-12,F,-1,65,70,67,70,272
T19,25,"Stroud, Chris",-12,F,-5,67,70,69,66,272
T19,11,"Taylor, Vaughn",-12,F,-1,69,68,65,70,272
T19,8,"Villegas, Camilo",-12,F,-3,67,69,68,68,272
T25,7,"Appleby, Stuart",-11,F,-1,73,66,64,70,273
T25,10,"Bozzelli, Dominic",-11,F,-3,67,68,70,68,273
T25,19,"Brown, Scott",-11,F,-4,72,66,68,67,273
T25,19,"Chalmers, Greg",-11,F,-4,69,68,69,67,273
T25,32,"Choi, K.J.",-11,F,-5,68,72,67,66,273
T25,19,"Crane, Ben",-11,F,-4,67,69,70,67,273
T25,7,"Glover, Lucas",-11,F,-1,71,68,64,70,273
T25,17,"Hadley, Chesson",-11,F,E,69,64,69,71,273
T25,2,"Kizzire, Patton",-11,F,-2,68,69,67,69,273
T25,20,"Lovemark, Jamie",-11,F,1,68,67,66,72,273
T25,19,"Power, Seamus",-11,F,-4,70,70,66,67,273
T25,37,"Romero, Andres",-11,F,-6,67,71,70,65,273
T25,10,"Saunders, Sam",-11,F,-3,69,69,67,68,273
T25,7,"Werenski, Richy",-11,F,-1,70,67,66,70,273
T39,12,"Hoffman, Charley",-10,F,-1,67,68,69,70,274
T39,21,"Martin, Ben",-10,F,E,70,67,66,71,274
T39,18,"Reavie, Chez",-10,F,-4,66,70,71,67,274
T39,21,"Schniederjans, Ollie",-10,F,E,63,74,66,71,274
T39,5,"van Aswegen, Tyrone",-10,F,-3,70,68,68,68,274
T44,17,"Kisner, Kevin",-9,F,E,69,65,70,71,275
T44,-,"Malnati, Peter",-9,F,-2,71,67,68,69,275
T44,-,"McNealy, Maverick (a)",-9,F,-2,69,68,69,69,275
T44,18,"Stefani, Shawn",-9,F,-4,70,67,71,67,275
T44,26,"Streelman, Kevin",-9,F,1,67,69,67,72,275
T44,13,"Watson, Bubba",-9,F,-3,69,70,68,68,275
T50,6,"Anderson, Mark",-8,F,-1,70,67,69,70,276

T50,23,"Carballo, Miguel Angel",-8,F,1,68,68,68,72,276
T50,15,"Fathauer, Derek",-8,F,E,70,69,66,71,276
T50,15,"Hagy, Brandon",-8,F,E,66,73,66,71,276
T50,12,"Tringale, Cameron",-8,F,-3,70,70,68,68,276
T55,20,"Barnes, Ricky",-7,F,1,70,68,67,72,277
T55,11,"Hardy, Nick (a)",-7,F,E,71,66,69,71,277
T55,11,"Horsfield, Sam",-7,F,E,66,73,67,71,277
T55,51,"Lindheim, Nicholas",-7,F,6,68,66,66,77,277
T55,11,"Stanley, Kyle",-7,F,E,71,66,69,71,277
T60,9,"Kirk, Chris",-6,F,-2,70,69,70,69,278
T60,25,"Matteson, Troy",-6,F,2,67,70,68,73,278
T60,42,"Merritt, Troy",-6,F,4,69,66,68,75,278
T60,2,"Weekley, Boo",-6,F,-1,68,69,71,70,278
T64,5,"Flores, Martin",-5,F,-1,70,65,74,70,279
T64,2,"Kraft, Kelly",-5,F,E,70,70,68,71,279
T64,20,"Poston, JT",-5,F,2,68,69,69,73,279
T64,7,"Yang, Y.E.",-5,F,1,68,72,67,72,279
T68,6,"Hurley III, Billy",-4,F,1,68,71,69,72,280
T68,1,"List, Luke",-4,F,E,71,68,70,71,280
T68,33,"Randolph, Jonathan",-4,F,4,68,69,68,75,280
T71,2,"Kim, Michael",-3,F,1,70,70,69,72,281
T71,9,"McGirt, William",-3,F,2,73,67,68,73,281
73,4,"Merrick, John",-1,F,3,72,68,69,74,283
MDF,-,"Reifers, Kyle",-3,,,67,72,71,,210
MDF,-,"Ridings, Tag",-3,,,69,69,72,,210
MDF,-,"Streb, Robert",-3,,,69,66,75,,210
MDF,-,"Blaum, Ryan",-2,,,73,66,72,,211
MDF,-,"Love III, Davis",-2,,,71,68,72,,211
MDF,-,"O'Hair, Sean",-2,,,68,72,71,,211
MDF,-,"Loupe, Andrew",-1,,,71,69,72,,212
MDF,-,"Stegmaier, Brett",2,,,68,72,75,,215

CUT,-,"Pride, Dicky",-2,,,69,72,,,141
CUT,-,"Blair, Zac",-1,,,72,69,,,141
CUT,-,"Clark, Wyndham",-1,,,72,69,,,141
CUT,-,"Every, Matt",-1,,,71,70,,,141
CUT,-,"F-Castano, Gonzalo",-1,,,69,72,,,141
CUT,-,"Homa, Max",-1,,,70,71,,,141
CUT,-,"Lawrence, David",-1,,,73,68,,,141
CUT,-,"Meyer, Dylan (a)",-1,,,70,72,,,142
CUT,-,"Stuard, Brian",-1,,,68,73,,,141
CUT,-,"Wagner, Johnson",-1,,,71,70,,,141
CUT,-,"Drewitt, Brett",E,,,71,73,,,144
CUT,-,"Duke, Ken",E,,,71,71,,,142
CUT,-,"Gates, Bobby",E,,,71,70,,,141
CUT,-,"Gribble, Cody",E,,,70,72,,,142
CUT,-,"Hearn, David",E,,,71,70,,,141
CUT,-,"Levin, Spencer",E,,,72,70,,,142
CUT,-,"Luck, Curtis",E,,,71,70,,,141
CUT,-,"Mahan, Hunter",E,,,71,72,,,143
CUT,-,"Munoz, Sebastian",E,,,73,69,,,142
CUT,-,"Murray, Grayson",E,,,74,68,,,142
CUT,-,"Ogilvy, Geoff",E,,,71,72,,,143
CUT,-,"Owen, Greg",E,,,71,71,,,142
CUT,-,"Wilkinson, Tim",E,,,69,73,,,142
CUT,-,"Armour, Ryan",1,,,73,70,,,143
CUT,-,"Castro, Roberto",1,,,72,72,,,144
CUT,-,"de Jonge, Brendon",1,,,72,70,,,142
CUT,-,"Fritsch, Brad",1,,,72,71,,,143
CUT,-,"Gay, Brian",1,,,75,68,,,143
CUT,-,"Lunde, Bill",1,,,72,69,,,141
CUT,-,"Na, Kevin",1,,,74,69,,,143
CUT,-,"Palmer, Ryan",1,,,72,74,,,146
CUT,-,"Wi, Charlie",1,,,74,69,,,143
CUT,-,"Bertsch, Shane",2,,,73,70,,,143
CUT,-,"Bohn, Jason",2,,,73,71,,,144
CUT,-,"Collins, Chad",2,,,73,72,,,145
CUT,-,"Etulain, Julian",2,,,73,69,,,142
CUT,-,"Gonzales, Andres",2,,,73,71,,,144
CUT,-,"Herron, Tim",2,,,76,68,,,144
CUT,-,"Hoge, Tom",2,,,73,77,,,150
CUT,-,"Hubbard, Mark",2,,,73,69,,,142
CUT,-,"Jones, Matt",2,,,72,72,,,144
CUT,-,"Kaufman, Smylie",2,,,74,70,,,144
CUT,-,"Points, D.A.",2,,,74,70,,,144
CUT,-,"Varner III, Harold",2,,,72,72,,,144
CUT,-,"Watney, Nick",2,,,73,71,,,144
CUT,-,"Wilcox, Will",2,,,75,69,,,144
CUT,-,"Wilson, Mark",2,,,73,72,,,145
CUT,-,"Aldridge, Tyler",3,,,74,69,,,143
CUT,-,"Alker, Steven",3,,,74,71,,,145
CUT,-,"Axley, Eric",3,,,74,75,,,149
CUT,-,"Huh, John",3,,,70,75,,,145
CUT,-,"Ishikawa, Ryo",3,,,74,70,,,144
CUT,-,"Molder, Bryce",3,,,74,71,,,145
CUT,-,"Moore, Ryan",3,,,74,71,,,145
CUT,-,"Rollins, John",3,,,71,74,,,145
CUT,-,"Bowditch, Steven",4,,,75,76,,,151
CUT,-,"Cejka, Alex",4,,,72,74,,,146
CUT,-,"Estes, Bob",4,,,71,75,,,146
CUT,-,"Wheatcroft, Steve",4,,,75,73,,,148
CUT,-,"Wyatt, Bobby",4,,,74,72,,,146
CUT,-,"Dahmen, Joel",5,,,74,73,,,147
CUT,-,"Kresge, Cliff",5,,,73,74,,,147
CUT,-,"Slattery, Kurt",5,,,71,76,,,147
CUT,-,"Taylor, Nick",5,,,76,69,,,145
CUT,-,"Todd, Brendon",5,,,76,75,,,151
CUT,-,"Fisher, Darin",6,,,77,76,,,153
CUT,-,"Brehm, Ryan",7,,,78,69,,,147
CUT,-,"McNeill, George",7,,,78,69,,,147
CUT,-,"Iwata, Hiroshi",8,,,79,75,,,154
CUT,-,"Lee, Matt",9,,,80,74,,,154
CUT,-,"Spaun, J.J.",10,,,76,76,,,152
DQ,-,"Garrigus, Robert",-7,,,67,68,71,,206
WD,-,"Cabrera, Angel",2,,,73,41,,,114
WD,-,"Lee, Danny",3,,,74,,,,74
WD,-,"Pettersson, Carl",8,,,44,,,,44
