Name,TourneyNames,Wins,Top 5,Top 10,Top 15,Top 20,Top 30,Top 30 Percentage,Entered,Missed Cuts,Cut Percentage,Notes,Score Index,Top 5 Percentage,Top 10 Percentage,Top 15 Percentage,Top 20 Percentage,Weighted Index
Ernie Els,masters,0,0,0,1,0,1,0.33333334,6,2,0.33333334,masters - (2017 - Pos 53) (2016 - CUT) (2015 - Top 30) (2014 - CUT) (2013 - Top 15) (2011 - Pos 47),0.68,0,0,0.16666667,0,0.68
Anders Hansen,masters,0,0,0,0,0,1,0.5,2,1,0.5,masters - (2012 - Top 30) (2011 - CUT),0.025,0,0,0,0,0.025
Bryden Macpherson,masters,0,0,0,0,0,0,0,1,1,1,masters - (2012 - CUT),-0.5,0,0,0,0,-0.5
Ben Crenshaw,masters,0,0,0,0,0,0,0,5,5,1,masters - (2015 - CUT) (2014 - CUT) (2013 - CUT) (2012 - CUT) (2011 - CUT),-3,0,0,0,0,-3
David Lynn,masters,0,0,0,0,0,0,0,2,1,0.5,masters - (2014 - CUT) (2013 - Pos 46),-0.49,0,0,0,0,-0.49
Seung-Yul Noh,masters,0,0,0,0,0,0,0,1,0,0,masters - (2015 - Pos 38),0.28,0,0,0,0,0.28
Brian Harman,masters,0,0,0,0,0,0,0,1,1,1,masters - (2015 - CUT),-0.8,0,0,0,0,-0.8
Harrison Frazar,masters,0,0,0,0,0,0,0,1,1,1,masters - (2012 - CUT),-0.5,0,0,0,0,-0.5
Thongchai Jaidee,masters,0,0,0,0,0,0,0,3,0,0,masters - (2016 - Pos 57) (2015 - Pos 55) (2014 - Pos 37),0.84,0,0,0,0,0.84
Branden Grace,masters,0,0,0,0,1,1,0.4,5,3,0.6,masters - (2017 - Top 30) (2016 - CUT) (2015 - CUT) (2014 - CUT) (2013 - Top 20),-0.74,0,0,0,0.2,-0.74
Anthony Murdaca,masters,0,0,0,0,0,0,0,1,1,1,masters - (2015 - CUT),-0.8,0,0,0,0,-0.8
Andy Sullivan,masters,0,0,0,0,0,0,0,2,1,0.5,masters - (2017 - Pos 48) (2016 - CUT),-0.55,0,0,0,0,-0.55
Jeff Overton,masters,0,0,0,0,0,0,0,1,0,0,masters - (2011 - Pos 44),0.14,0,0,0,0,0.14
David Chung,masters,0,0,0,0,0,0,0,1,1,1,masters - (2011 - CUT),-0.4,0,0,0,0,-0.4
Tommy Fleetwood,masters,0,0,0,0,0,0,0,1,1,1,masters - (2017 - CUT),-1,0,0,0,0,-1
Nathan Smith,masters,0,0,0,0,0,0,0,1,1,1,masters - (2013 - CUT),-0.6,0,0,0,0,-0.6
Adam Hadwin,masters,0,0,0,0,0,0,0,1,0,0,masters - (2017 - Pos 36),0.35,0,0,0,0,0.35
Stephen Gallacher,masters,0,0,0,0,0,0,0,2,1,0.5,masters - (2015 - CUT) (2014 - Pos 34),-0.555,0,0,0,0,-0.555
Jhonattan Vegas,masters,0,0,0,0,0,0,0,2,2,1,masters - (2017 - CUT) (2011 - CUT),-1.4,0,0,0,0,-1.4
Brooks Koepka,masters,0,0,0,1,0,1,0.6666667,3,0,0,masters - (2017 - Top 15) (2016 - Top 30) (2015 - Pos 33),2.895,0,0,0.33333334,0,3.395
Russell Knox,masters,0,0,0,0,0,0,0,2,2,1,masters - (2017 - CUT) (2016 - CUT),-1.9,0,0,0,0,-1.9
