POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,1,"Schwartzel, Charl",-14,F,-6,69,71,68,66,274
T2,-,"Day, Jason",-12,F,-4,72,64,72,68,276
T2,4,"Scott, Adam",-12,F,-5,72,70,67,67,276
T4,2,"Donald, Luke",-10,F,-3,72,68,69,69,278
T4,5,"Ogilvy, Geoff",-10,F,-5,69,69,73,67,278
T4,5,"Woods, Tiger",-10,F,-5,71,66,74,67,278
7,5,"Cabrera, Angel",-9,F,-1,71,70,67,71,279
T8,6,"Choi, K.J.",-8,F,E,67,70,71,72,280
T8,-,"Van Pelt, Bo",-8,F,-2,73,69,68,70,280
10,4,"Palmer, Ryan",-6,F,-2,71,72,69,70,282
T11,7,"Molinari, Edoardo",-5,F,-2,74,70,69,70,283
T11,19,"Rose, Justin",-5,F,-4,73,71,71,68,283
T11,7,"Stricker, Steve",-5,F,-2,72,70,71,70,283
T11,7,"Westwood, Lee",-5,F,-2,72,67,74,70,283
T15,6,"Couples, Fred",-4,F,1,71,68,72,73,284
T15,6,"Fisher, Ross",-4,F,1,69,71,71,73,284
T15,15,"Immelman, Trevor",-4,F,-3,69,73,73,69,284
T15,14,"McIlroy, Rory",-4,F,8,65,69,70,80,284
T15,9,"Snedeker, Brandt",-4,F,-2,69,71,74,70,284
T20,4,"Barnes, Ricky",-3,F,-1,68,71,75,71,285
T20,10,"Ishikawa, Ryo",-3,F,-2,71,71,73,70,285
T20,6,"Laird, Martin",-3,F,1,74,69,69,73,285
T20,6,"Yang, Y.E.",-3,F,1,67,72,73,73,285
T24,-,"Furyk, Jim",-2,F,E,72,68,74,72,286
T24,-,"Toms, David",-2,F,E,72,69,73,72,286
T24,14,"Woodland, Gary",-2,F,-2,69,73,74,70,286
T27,3,"Hoffman, Charley",-1,F,E,74,69,72,72,287
T27,3,"Jimenez, Miguel Angel",-1,F,1,71,73,70,73,287
T27,11,"Karlsson, Robert",-1,F,-1,72,70,74,71,287
T27,13,"Kuchar, Matt",-1,F,3,68,75,69,75,287
T27,9,"Matsuyama, Hideki (a)",-1,F,2,72,73,68,74,287
T27,9,"Mickelson, Phil",-1,F,2,70,72,71,74,287
T27,3,"Poulter, Ian",-1,F,1,74,69,71,73,287
T27,9,"Quiros, Alvaro",-1,F,2,65,73,75,74,287
T35,7,"Cejka, Alex",E,F,-2,72,71,75,70,288
T35,5,"Garcia, Sergio",E,F,1,69,71,75,73,288
T35,5,"Moore, Ryan",E,F,1,70,73,72,73,288
T38,4,"Casey, Paul",1,F,-1,70,72,76,71,289
T38,8,"Fowler, Rickie",1,F,2,70,69,76,74,289
T38,8,"Johnson, Dustin",1,F,2,74,68,73,74,289
T38,29,"Watson, Bubba",1,F,6,73,71,67,78,289
T42,-,"Haas, Bill",2,F,E,74,70,74,72,290
T42,2,"Marino, Steve",2,F,1,74,71,72,73,290
T44,5,"Kim, Kyung-Tae",3,F,-4,70,75,78,68,291
T44,4,"Overton, Jeff",3,F,2,73,72,72,74,291
46,-,"Watney, Nick",4,F,1,72,72,75,73,292
T47,1,"Baddeley, Aaron",5,F,2,75,70,74,74,293
T47,1,"Els, Ernie",5,F,E,75,70,76,72,293
49,7,"Villegas, Camilo",6,F,4,70,75,73,76,294
CUT,-,"Allenby, Robert",E,,,75,71,,,146
CUT,-,"Appleby, Stuart",E,,,75,72,,,147
CUT,-,"Atwal, Arjun",E,,,80,71,,,151
CUT,-,"Bohn, Jason",E,,,73,75,,,148
CUT,-,"Byrd, Jonathan",E,,,73,78,,,151
CUT,-,"Chung, David (a)",E,,,72,76,,,148
CUT,-,"Cink, Stewart",E,,,71,75,,,146
CUT,-,"Clark, Tim",E,,,73,73,,,146
CUT,-,"Crane, Ben",E,,,73,75,,,148
CUT,-,"Crenshaw, Ben",E,,,78,77,,,155
CUT,-,"Fujita, Hiroyuki",E,,,70,79,,,149
CUT,-,"Glover, Lucas",E,,,75,71,,,146
CUT,-,"Goosen, Retief",E,,,70,78,,,148
CUT,-,"Hansen, Anders",E,,,72,77,,,149
CUT,-,"Hanson, Peter",E,,,72,76,,,148
CUT,-,"Harrington, Padraig",E,,,77,72,,,149
CUT,-,"Havret, Gregory",E,,,70,79,,,149
CUT,-,"Ikeda, Yuta",E,,,74,74,,,148
CUT,-,"Jeong, Jin",E,,,73,77,,,150
CUT,-,"Johnson, Zach",E,,,73,73,,,146
CUT,-,"Kaymer, Martin",E,,,78,72,,,150
CUT,-,"Kelly, Jerry",E,,,74,73,,,147
CUT,-,"Kim, Lion (a)",E,,,76,72,,,148
CUT,-,"Kim, Anthony",E,,,73,73,,,146
CUT,-,"Love III, Davis",E,,,75,77,,,152
CUT,-,"Lyle, Sandy",E,,,73,80,,,153
CUT,-,"Mahan, Hunter",E,,,75,71,,,146
CUT,-,"McDowell, Graeme",E,,,74,73,,,147
CUT,-,"Mize, Larry",E,,,73,77,,,150
CUT,-,"Molinari, Francesco",E,,,75,71,,,146
CUT,-,"Na, Kevin",E,,,73,74,,,147
CUT,-,"O'Hair, Sean",E,,,70,76,,,146
CUT,-,"Olazabal, Jose Maria",E,,,73,77,,,150
CUT,-,"O'Meara, Mark",E,,,77,73,,,150
CUT,-,"Oosthuizen, Louis",E,,,75,74,,,149
CUT,-,"Pettersson, Carl",E,,,75,73,,,148
CUT,-,"Points, D.A.",E,,,72,76,,,148
CUT,-,"Sabbatini, Rory",E,,,74,76,,,150
CUT,-,"Singh, Vijay",E,,,76,78,,,154
CUT,-,"Slocum, Heath",E,,,72,76,,,148
CUT,-,"Smith, Nate",E,,,75,77,,,152
CUT,-,"Stadler, Craig",E,,,80,71,,,151
CUT,-,"Stenson, Henrik",E,,,83,74,,,157
CUT,-,"Streelman, Kevin",E,,,75,74,,,149
CUT,-,"Uihlein, Peter",E,,,72,77,,,149
CUT,-,"Vegas, Jhonattan",E,,,72,76,,,148
CUT,-,"Watson, Tom",E,,,79,72,,,151
CUT,-,"Weir, Mike",E,,,76,79,,,155
CUT,-,"Wilson, Mark",E,,,76,71,,,147
CUT,-,"Woosnam, Ian",E,,,78,77,,,155
