POS,,GOLFER,SCORE,,,R1,R2,R3,R4,TOTAL
1,,Rose Justin,-18,,,65,69,70,66,270
2,,Fowler Rickie,-15,,,65,66,69,73,273
T3,,Barnes Ricky,-12,,,70,71,62,73,276
T3,,Van Pelt Bo,-12,,,70,69,68,69,276
T5,,Mickelson Phil,-11,,,67,71,70,69,277
T5,,Moore Ryan,-11,,,70,69,70,68,277
T5,,Petrovic Tim,-11,,,69,66,68,74,277
T8,,Cink Stewart,-10,,,70,67,71,70,278
T8,,Kuchar Matt,-10,,,71,68,69,70,278
T10,,Furyk Jim,-9,,,68,67,72,72,279
T10,,McIlroy Rory,-9,,,72,68,68,71,279
T12,,de Jonge Brendon,-8,,,71,69,65,75,280
T12,,O'Hair Sean,-8,,,68,71,68,73,280
T12,,Overton Jeff,-8,,,69,70,68,73,280
T12,,Sabbatini Rory,-8,,,67,73,70,70,280
T12,,Singh Vijay,-8,,,71,72,66,71,280
T17,,Perry Kenny,-7,,,71,68,68,74,281
T17,,Stricker Steve,-7,,,69,70,71,71,281
T19,,Jaidee Thongchai,-6,,,71,70,69,72,282
T19,,Marino Steve,-6,,,68,71,71,72,282
T19,,Perez Pat,-6,,,71,70,71,70,282
T19,,Woods Tiger,-6,,,72,69,69,72,282
T23,,Collins Chad,-4,,,73,72,68,71,284
T23,,Molder Bryce,-4,,,74,71,71,68,284
T23,,Points D.A.,-4,,,73,71,68,72,284
T23,,Romero Andres,-4,,,67,75,70,72,284
T23,,Yang Y.E.,-4,,,70,74,67,73,284
T28,,Cejka Alex,-3,,,71,67,74,73,285
T28,,Curtis Ben,-3,,,73,72,69,71,285
T28,,Holmes J.B.,-3,,,68,74,71,72,285
T28,,Pettersson Carl,-3,,,69,70,76,70,285
T28,,Villegas Camilo,-3,,,77,68,70,70,285
T33,,Day Jason,-2,,,67,69,72,78,286
T33,,Johnson Dustin,-2,,,72,69,73,72,286
T33,,Levin Spencer,-2,,,68,68,71,79,286
T33,,"Pernice, Jr. Tom",-2,,,72,67,70,77,286
T33,,Scott Adam,-2,,,70,70,75,71,286
T33,,Senden John,-2,,,73,72,73,68,286
T33,,Streelman Kevin,-2,,,70,73,74,69,286
T33,,Watson Bubba,-2,,,69,73,74,70,286
T41,,Gillis Tom,-1,,,71,72,71,73,287
T41,,Green Nathan,-1,,,72,72,67,76,287
T41,,Haas Bill,-1,,,73,70,71,73,287
T41,,Hanson Peter,-1,,,71,71,74,71,287
T41,,Lehman Tom,-1,,,70,73,70,74,287
T41,,Ogilvy Geoff,-1,,,65,77,69,76,287
T47,,Austin Woody,E,,,71,73,72,72,288
T47,,Baddeley Aaron,E,,,71,71,71,75,288
T47,,Chalmers Greg,E,,,74,70,70,74,288
T47,,Johnson Zach,E,,,73,68,73,74,288
T47,,Kelly Jerry,E,,,72,70,72,74,288
T52,,Choi K.J.,1,,,69,74,71,75,289
T52,,Jacobson Fredrik,1,,,68,75,73,73,289
T52,,Love III Davis,1,,,72,72,69,76,289
T55,,Hayes J.P.,2,,,72,70,72,76,290
T55,,Herron Tim,2,,,71,73,74,72,290
T55,,Quigley Brett,2,,,70,70,75,75,290
T55,,Stadler Kevin,2,,,69,75,72,74,290
T55,,Sutherland Kevin,2,,,72,72,72,74,290
T60,,Laird Martin,3,,,72,71,73,75,291
T60,,Stenson Henrik,3,,,73,70,72,76,291
