POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,-,"Kuchar, Matt",-12,F,-4,68,70,70,68,276
2,-,"Chappell, Kevin",-10,F,-4,71,71,68,68,278
3,1,"Stanley, Kyle",-7,F,-1,67,70,73,71,281
T4,-,"Haas, Bill",-6,F,-1,68,67,76,71,282
T4,16,"Stallings, Scott",-6,F,-5,70,70,75,67,282
T6,8,"Henley, Russell",-5,F,-3,67,77,70,69,283
T6,2,"Jones, Matt",-5,F,E,69,72,70,72,283
T8,6,"Davis, Brian",-4,F,-2,75,70,69,70,284
T8,3,"Perez, Pat",-4,F,-1,72,69,72,71,284
T8,4,"Rose, Justin",-4,F,1,70,70,71,73,284

T8,1,"Schwartzel, Charl",-4,F,E,65,71,76,72,284
T8,12,"Thompson, Michael",-4,F,-3,69,76,70,69,284
T13,32,"Driscoll, James *",-3,F,-5,70,75,73,67,285
T13,7,"Moore, Ryan",-3,F,-2,70,72,73,70,285
T13,6,"Scott, Adam",-3,F,1,73,70,69,73,285
T16,11,"Duke, Ken",-2,F,-2,75,69,72,70,286
T16,11,"Mahan, Hunter",-2,F,-2,73,68,75,70,286
T16,9,"Piercy, Scott",-2,F,2,66,75,71,74,286
T16,11,"Tringale, Cameron",-2,F,-2,71,71,74,70,286
T16,5,"Woodland, Gary",-2,F,1,70,73,70,73,286
T21,6,"Castro, Roberto",-1,F,-1,71,70,75,71,287
T21,6,"Choi, K.J.",-1,F,-1,72,74,70,71,287
T21,6,"Delaet, Graham",-1,F,-1,70,72,74,71,287
T21,18,"Donald, Luke *",-1,F,-2,73,73,71,70,287
T21,7,"Furyk, Jim",-1,F,1,75,70,69,73,287
T21,6,"Hearn, David",-1,F,-1,71,71,74,71,287
T21,1,"Howell III, Charles",-1,F,E,72,70,73,72,287
T21,7,"Van Pelt, Bo",-1,F,1,73,69,72,73,287
T29,16,"Cink, Stewart *",E,F,-2,70,72,76,70,288
T29,22,"Henry, J.J.",E,F,4,72,72,68,76,288
T29,15,"Love III, Davis",E,F,2,73,69,72,74,288
T29,9,"Pettersson, Carl",E,F,1,71,71,73,73,288
T29,18,"Watson, Bubba",E,F,3,71,67,75,75,288
T34,23,"Cauley, Bud *",1,F,-3,71,73,76,69,289
T34,7,"Karlsson, Robert",1,F,1,69,71,76,73,289
T34,16,"Leonard, Justin *",1,F,-2,70,76,73,70,289
T37,2,"Els, Ernie",2,F,1,73,70,74,73,290
T37,13,"Fowler, Rickie *",2,F,-1,72,71,76,71,290
T37,10,"Immelman, Trevor",2,F,2,70,72,74,74,290
T37,2,"McGirt, William *",2,F,1,73,73,71,73,290
T41,14,"Curtis, Ben",3,F,3,73,70,73,75,291
T41,9,"Day, Jason *",3,F,E,72,75,72,72,291
T41,18,"Horschel, Billy *",3,F,-2,70,75,76,70,291
T41,25,"Jobe, Brandt *",3,F,-4,70,75,78,68,291
T41,14,"Lee, Richard H.",3,F,3,73,71,72,75,291
T41,25,"Leishman, Marc *",3,F,-4,74,72,77,68,291
T41,14,"McNeill, George",3,F,3,74,71,71,75,291
T41,9,"Stenson, Henrik *",3,F,E,71,73,75,72,291
T41,9,"Villegas, Camilo *",3,F,E,72,71,76,72,291
T50,7,"Bradley, Keegan *",4,F,E,71,74,75,72,292

T50,30,"Couples, Fred",4,F,5,70,75,70,77,292
T50,5,"Guthrie, Luke *",4,F,2,72,74,72,74,292
T53,3,"Allenby, Robert *",5,F,2,74,73,72,74,293
T53,14,"Laird, Martin *",5,F,4,71,75,71,76,293
T53,33,"Stroud, Chris",5,F,6,69,77,69,78,293
T53,11,"Weir, Mike *",5,F,-1,75,72,75,71,293
T57,2,"Ernst, Derek *",6,F,1,70,73,78,73,294
T57,2,"Ishikawa, Ryo *",6,F,1,74,73,74,73,294
T57,18,"Lingmerth, David *",6,F,5,75,70,72,77,294
T57,7,"McIlroy, Rory *",6,F,E,78,69,75,72,294
T57,7,"Senden, John *",6,F,3,71,72,76,75,294
T57,2,"Teater, Josh *",6,F,1,67,79,75,73,294
T63,49,"Hoffman, Charley",7,F,9,73,69,72,81,295
T63,9,"Spieth, Jordan *",7,F,-4,72,73,82,68,295
T65,26,"Coetzee, George *",8,F,7,70,75,72,79,296
T65,20,"Wi, Charlie *",8,F,6,67,74,77,78,296
T65,4,"Woods, Tiger *",8,F,E,71,74,79,72,296
68,2,"F-Castano, Gonzalo *",9,F,2,72,74,77,74,297
T69,24,"Gillis, Tom *",11,F,9,73,70,75,81,299
T69,10,"Gomez, Fabian *",11,F,6,76,68,77,78,299
71,-,"Johnson, Zach *",13,F,3,73,72,81,75,301
72,-,"Hicks, Justin *",15,F,4,73,73,81,76,303
73,4,"Walker, Jimmy *",16,F,8,72,75,77,80,304

CUT,-,"Brown, Scott *",4,,,75,73,,,148
CUT,-,"Huh, John *",4,,,72,76,,,148
CUT,-,"Kirk, Chris",4,,,74,74,,,148
CUT,-,"Singh, Vijay *",4,,,74,74,,,148
CUT,-,"Barnes, Ricky *",5,,,74,75,,,149
CUT,-,"Chalmers, Greg",5,,,78,71,,,149
CUT,-,"Johnson, Dustin",5,,,73,76,,,149
CUT,-,"Stadler, Kevin *",5,,,79,70,,,149
CUT,-,"Stuard, Brian *",5,,,72,77,,,149
CUT,-,"Wilson, Mark",5,,,74,75,,,149
CUT,-,"Compton, Erik",6,,,74,76,,,150
CUT,-,"de Jonge, Brendon",6,,,75,75,,,150
CUT,-,"Glover, Lucas *",6,,,78,72,,,150
CUT,-,"Perry, Kenny",6,,,76,74,,,150
CUT,-,"Potter Jr., Ted *",6,,,74,76,,,150
CUT,-,"Summerhays, Daniel *",6,,,74,76,,,150
CUT,-,"Gainey, Tommy",7,,,71,80,,,151
CUT,-,"Harman, Brian",7,,,74,77,,,151
