POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,1,"Johnson, Dustin",-13,F,-4,65,69,67,66,267
2,1,"Spieth, Jordan",-13,F,-1,69,65,64,69,267
T3,-,"Rahm, Jon",-9,F,-2,68,68,67,68,271
T3,7,"Vegas, Jhonattan",-9,F,-5,69,65,72,65,271
5,2,"Casey, Paul",-6,F,1,69,68,66,71,274
T6,2,"Chappell, Kevin",-5,F,E,68,73,64,70,275
T6,16,"Day, Jason",-5,F,-3,69,71,68,67,275
T6,28,"Simpson, Webb",-5,F,-5,73,66,71,65,275
T6,4,"Thomas, Justin",-5,F,-1,68,69,69,69,275
T10,-,"Cantlay, Patrick",-4,F,E,67,70,69,70,276

T10,7,"Kuchar, Matt",-4,F,3,71,64,68,73,276
T10,7,"Oosthuizen, Louis",-4,F,-1,67,72,68,69,276
T10,-,"Reavie, Chez",-4,F,E,69,68,69,70,276
T10,2,"Rose, Justin",-4,F,1,68,68,69,71,276
T10,7,"Streb, Robert",-4,F,-1,71,70,66,69,276
T10,-,"Watson, Bubba",-4,F,E,67,68,71,70,276
T17,35,"Hoffman, Charley",-3,F,-5,72,70,70,65,277
T17,11,"Schauffele, Xander",-3,F,-2,71,66,72,68,277
T17,5,"Stenson, Henrik",-3,F,-1,69,72,67,69,277
T20,10,"Dufner, Jason",-2,F,2,69,69,68,72,278
T20,2,"Fowler, Rickie",-2,F,E,68,66,74,70,278
T20,3,"Laird, Martin",-2,F,1,69,69,69,71,278
T20,17,"Reed, Patrick",-2,F,5,70,67,66,75,278
T20,2,"Varner III, Harold",-2,F,E,67,70,71,70,278
T25,8,"Brown, Scott",-1,F,2,66,74,67,72,279
T25,15,"Henley, Russell",-1,F,3,64,72,70,73,279
T25,9,"Kokrak, Jason",-1,F,-1,71,69,70,69,279
T25,32,"Stanley, Kyle",-1,F,-4,70,71,72,66,279
T29,23,"Grillo, Emiliano",E,F,-2,69,73,70,68,280
T29,12,"Lingmerth, David",E,F,3,71,68,68,73,280
T29,10,"Na, Kevin",E,F,-1,71,71,69,69,280
T29,10,"Schwartzel, Charl",E,F,-1,70,70,71,69,280
33,5,"Berger, Daniel",1,F,2,69,68,72,72,281
T34,6,"Flores, Martin",2,F,3,67,73,69,73,282
T34,12,"Kim, Meen-Whee",2,F,4,69,69,70,74,282
T34,28,"List, Luke",2,F,-2,70,70,74,68,282
T34,-,"McIlroy, Rory",2,F,2,73,68,69,72,282
T34,6,"Perez, Pat",2,F,3,70,68,71,73,282
T34,6,"Villegas, Camilo",2,F,3,66,71,72,73,282
T40,12,"Glover, Lucas",3,F,1,69,71,72,71,283
T40,6,"Kirk, Chris",3,F,3,66,73,71,73,283
