POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,3,"Thomas, Justin",-8,F,-3,73,66,69,68,276
T2,5,"Molinari, Francesco",-6,F,-4,73,64,74,67,278
T2,2,"Oosthuizen, Louis",-6,F,-1,70,67,71,70,278
T2,5,"Reed, Patrick",-6,F,-4,69,73,69,67,278
T5,7,"Fowler, Rickie",-5,F,-4,69,70,73,67,279
T5,3,"Matsuyama, Hideki",-5,F,1,70,64,73,72,279
T7,-,"Delaet, Graham",-4,F,-2,70,73,68,69,280
T7,6,"Kisner, Kevin",-4,F,3,67,67,72,74,280
T9,7,"Day, Jason",-1,F,-1,70,66,77,70,283
T9,17,"Kuchar, Matt",-1,F,-3,71,74,70,68,283

T9,17,"Smith, Jordan",-1,F,-3,70,75,70,68,283
T9,7,"Stroud, Chris",-1,F,5,68,68,71,76,283
T13,6,"Brown, Scott",E,F,2,73,68,70,73,284
T13,3,"Casey, Paul",E,F,E,69,70,74,71,284
T13,5,"Hahn, James",E,F,-1,73,70,71,70,284
T13,13,"Harman, Brian",E,F,-2,69,75,71,69,284
T13,34,"Johnson, Dustin",E,F,-4,70,74,73,67,284
T13,13,"Koepka, Brooks",E,F,-2,68,73,74,69,284
T13,34,"Leishman, Marc",E,F,-4,75,71,71,67,284
T13,13,"Moore, Ryan",E,F,-2,71,71,73,69,284
T13,5,"Stenson, Henrik",E,F,-1,74,70,70,70,284
T22,25,"McIlroy, Rory",1,F,-3,72,72,73,68,285
T22,16,"Murray, Grayson",1,F,4,68,73,69,75,285
T22,15,"Poulter, Ian",1,F,-2,74,71,71,69,285
T22,10,"Reavie, Chez",1,F,2,72,70,70,73,285
T22,4,"Streb, Robert",1,F,E,74,70,70,71,285
T22,15,"Woodland, Gary",1,F,3,68,74,69,74,285
T28,10,"An, Byeong Hun",2,F,1,71,69,74,72,286
T28,10,"Holmes, J.B.",2,F,1,74,73,67,72,286
T28,2,"Perez, Pat",2,F,E,70,76,69,71,286
T28,9,"Spieth, Jordan",2,F,-1,72,73,71,70,286
T28,2,"Sterne, Richard",2,F,E,73,72,70,71,286
T33,14,"Bradley, Keegan",3,F,-1,74,70,73,70,287
T33,7,"Cantlay, Patrick",3,F,1,72,71,72,72,287
T33,14,"Cauley, Bud",3,F,-1,69,74,74,70,287
T33,4,"Chappell, Kevin",3,F,E,72,75,69,71,287
T33,4,"DeChambeau, Bryson",3,F,E,73,71,72,71,287
T33,14,"Glover, Lucas",3,F,-1,75,70,72,70,287
T33,14,"Kokrak, Jason",3,F,-1,75,70,72,70,287
T33,14,"Lovemark, Jamie",3,F,-1,74,71,72,70,287
T33,4,"O'Hair, Sean",3,F,E,71,75,70,71,287
T33,26,"Simpson, Webb",3,F,-2,76,70,72,69,287
T33,15,"Wood, Chris",3,F,2,72,72,70,73,287
T44,26,"Finau, Tony",4,F,3,69,74,71,74,288
T44,7,"Herman, Jim",4,F,1,69,75,72,72,288
T44,32,"Kang, Sunghoon",4,F,5,70,71,71,76,288
T44,7,"Olesen, Thorbjorn",4,F,1,67,78,71,72,288
T48,15,"Hoffman, Charley",5,F,-1,75,71,73,70,289
T48,22,"Horschel, Billy",5,F,3,76,70,69,74,289
T48,22,"Johnson, Zach",5,F,3,71,73,71,74,289

T48,30,"Kodaira, Satoshi",5,F,4,71,76,67,75,289
T48,1,"Lowry, Shane",5,F,1,74,69,74,72,289
T48,11,"Schwartzel, Charl",5,F,2,74,70,72,73,289
T54,42,"Fox, Ryan",6,F,7,75,66,71,78,290
T54,7,"Haas, Bill",6,F,2,75,69,73,73,290
T54,28,"Points, D.A.",6,F,4,68,73,74,75,290
T54,7,"Stricker, Steve",6,F,2,75,70,72,73,290
T58,1,"Dufner, Jason",7,F,2,74,72,72,73,291
T58,11,"Kraft, Kelly",7,F,3,73,73,71,74,291
T58,21,"Rahm, Jon",7,F,4,70,75,71,75,291
T61,2,"Fleetwood, Tommy",8,F,3,70,75,73,74,292
T61,7,"Scott, Adam",8,F,E,71,76,74,71,292
T63,5,"Frittelli, Dylan",9,F,1,73,71,77,72,293
T63,5,"Gribble, Cody",9,F,1,72,75,74,72,293
T63,26,"Lingmerth, David",9,F,6,72,73,71,77,293
