Name,TourneyNames,Wins,Top 5,Top 10,Top 15,Top 20,Top 30,Top 30 Percentage,Entered,Missed Cuts,Cut Percentage,Notes,Score Index,Top 5 Percentage,Top 10 Percentage,Top 15 Percentage,Top 20 Percentage,Weighted Index
Ernie Els,players,0,0,0,0,0,0,0,6,3,0.5,players - (2016 - Pos 64) (2015 - Pos 66) (2014 - MDF) (2013 - CUT) (2012 - CUT) (2011 - CUT),-0.855,0,0,0,0,-0.855
David Lynn,players,0,0,0,0,0,1,1,1,0,0,players - (2013 - Top 30),0.595,0,0,0,0,0.595
Brian Harman,players,0,0,1,0,0,0,0.2,5,2,0.4,players - (2016 - Pos 54) (2015 - Top 10) (2014 - CUT) (2013 - CUT) (2012 - Pos 51),1.175,0,0.2,0.2,0.2,1.675
Seung-Yul Noh,players,0,0,0,0,0,0,0,3,1,0.33333334,players - (2015 - CUT) (2014 - MDF) (2013 - Pos 66),-0.375,0,0,0,0,-0.375
Harrison Frazar,players,0,0,0,0,0,0,0,1,0,0,players - (2012 - Pos 46),0.21,0,0,0,0,0.21
Thongchai Jaidee,players,0,0,0,0,0,0,0,2,2,1,players - (2015 - CUT) (2014 - CUT),-1.7,0,0,0,0,-1.7
Branden Grace,players,0,0,0,0,0,0,0,3,0,0,players - (2016 - Pos 57) (2015 - Pos 42) (2013 - Pos 48),0.91,0,0,0,0,0.91
David Hearn,players,0,0,1,0,0,2,0.6,5,0,0,players - (2016 - Top 30) (2015 - Pos 42) (2014 - Top 10) (2013 - Top 30) (2012 - Pos 68),3.85,0,0.2,0.2,0.2,4.35
Andy Sullivan,players,0,0,0,0,0,0,0,1,1,1,players - (2016 - CUT),-1,0,0,0,0,-1
Jeff Overton,players,0,0,0,0,0,2,0.33333334,6,3,0.5,players - (2016 - CUT) (2015 - CUT) (2014 - MDF) (2013 - Top 30) (2012 - CUT) (2011 - Top 30),-1.2,0,0,0,0,-1.2
Michael Bradley,players,0,0,0,0,0,0,0,2,2,1,players - (2012 - CUT) (2011 - CUT),-1.1,0,0,0,0,-1.1
Colt Knost,players,0,1,0,0,0,0,0.33333334,3,1,0.33333334,players - (2016 - Top 5) (2013 - WD) (2012 - CUT),2.075,0.33333334,0.33333334,0.33333334,0.33333334,2.575
Adam Hadwin,players,0,0,0,0,0,0,0,2,1,0.5,players - (2016 - Pos 39) (2015 - CUT),-0.55,0,0,0,0,-0.55
Stephen Gallacher,players,0,0,0,0,0,0,0,2,1,0.5,players - (2015 - Pos 38) (2014 - CUT),-0.485,0,0,0,0,-0.485
Andres Romero,players,0,0,0,0,0,0,0,5,3,0.6,players - (2015 - CUT) (2014 - CUT) (2013 - Pos 37) (2012 - CUT) (2011 - Pos 39),-1.88,0,0,0,0,-1.88
Jhonattan Vegas,players,0,0,1,0,0,0,0.25,4,1,0.25,players - (2016 - Pos 57) (2015 - Pos 42) (2012 - Top 10) (2011 - CUT),1.575,0,0.25,0.25,0.25,2.075
Chesson Hadley,players,0,0,0,0,0,1,0.33333334,3,2,0.6666667,players - (2016 - CUT) (2015 - Top 30) (2014 - CUT),-1.035,0,0,0,0,-1.035
Nick Taylor,players,0,0,0,0,0,0,0,2,1,0.5,players - (2016 - CUT) (2015 - Pos 73),-0.685,0,0,0,0,-0.685
