POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,6,"Stanley, Kyle",-7,F,-4,70,70,67,66,273
2,5,"Howell III, Charles",-7,F,-4,71,69,67,66,273
T3,15,"Fowler, Rickie",-5,F,-5,70,72,68,65,275
T3,6,"Laird, Martin",-5,F,-3,67,72,69,67,275
T5,7,"Bradley, Keegan",-4,F,-3,71,68,70,67,276
T5,1,"Kang, Sunghoon",-4,F,E,66,69,71,70,276
T5,13,"Leishman, Marc",-4,F,-4,66,72,72,66,276
T5,2,"Levin, Spencer",-4,F,1,70,70,65,71,276
T5,4,"Lingmerth, David",-4,F,3,65,65,73,73,276
T5,1,"Luck, Curtis",-4,F,E,68,71,67,70,276

T5,25,"Martin, Ben",-4,F,-5,68,73,70,65,276
T5,4,"Wagner, Johnson",-4,F,-2,66,71,71,68,276
T13,5,"Gore, Jason",-3,F,-3,69,74,67,67,277
T13,5,"Haas, Bill",-3,F,-3,69,70,71,67,277
T13,9,"Ogilvy, Geoff",-3,F,1,67,65,74,71,277
T13,27,"Watney, Nick",-3,F,-6,72,70,71,64,277
T17,5,"Barnes, Ricky",-2,F,-1,68,68,73,69,278
T17,18,"DeChambeau, Bryson",-2,F,-4,67,71,74,66,278
T17,13,"Reed, Patrick",-2,F,-3,67,72,72,67,278
T17,5,"Streelman, Kevin",-2,F,-1,68,72,69,69,278
T17,15,"Summerhays, Daniel",-2,F,4,66,68,70,74,278
T22,10,"English, Harris",-1,F,E,70,67,72,70,279
T22,4,"Lee, Danny",-1,F,-1,70,68,72,69,279
T22,13,"Na, Kevin",-1,F,-3,75,69,68,67,279
T22,4,"Rodgers, Patrick",-1,F,-1,71,73,66,69,279
T26,14,"Horschel, Billy",E,F,-3,70,73,70,67,280
T26,4,"Kokrak, Jason",E,F,-1,72,68,71,69,280
T26,9,"van Aswegen, Tyrone",E,F,-2,72,66,74,68,280
T29,11,"An, Byeong Hun",1,F,1,70,74,66,71,281
T29,11,"Blair, Zac",1,F,1,67,74,69,71,281
T29,11,"Finau, Tony",1,F,-2,69,75,69,68,281
T29,1,"Garrigus, Robert",1,F,E,71,71,69,70,281
T29,11,"Randolph, Jonathan",1,F,-2,70,73,70,68,281
T29,17,"Taylor, Nick",1,F,2,66,70,73,72,281
T35,23,"Kim, Michael",2,F,3,69,69,71,73,282
T35,26,"Loupe, Andrew",2,F,4,70,69,69,74,282
T35,15,"Schauffele, Xander",2,F,-2,71,73,70,68,282
T38,16,"Crane, Ben",3,F,-2,73,70,72,68,283
T38,2,"Jones, Matt",3,F,E,68,74,71,70,283
T38,8,"Malnati, Peter",3,F,2,72,67,72,72,283
T38,20,"Power, Seamus",3,F,3,72,69,69,73,283
T38,2,"Stallings, Scott",3,F,E,72,71,70,70,283
T43,25,"Gay, Brian",4,F,4,70,71,69,74,284
T43,17,"Glover, Lucas",4,F,-2,68,76,72,68,284
T43,11,"Kraft, Kelly",4,F,-1,71,71,73,69,284
T46,4,"Bryan, Wesley",5,F,1,75,68,71,71,285
T46,6,"Hahn, James",5,F,2,67,73,73,72,285
T46,21,"Henley, Russell",5,F,-3,67,77,74,67,285
T46,11,"Mullinax, Trey",5,F,3,71,70,71,73,285
T46,8,"Percy, Cameron",5,F,E,70,70,75,70,285

T51,11,"Clark, Wyndham",6,F,3,72,70,71,73,286
T51,11,"Hughes, Mackenzie",6,F,3,68,74,71,73,286
T51,33,"Reifers, Kyle",6,F,6,70,68,72,76,286
T51,16,"Swafford, Hudson",6,F,-2,74,70,74,68,286
T55,37,"Atwal, Arjun",7,F,7,68,67,75,77,287
T55,5,"Blaum, Ryan",7,F,3,72,71,71,73,287
T55,1,"Flores, Martin",7,F,2,68,75,72,72,287
