This Week,Last week,End 2017,Ctry,Name,Average Points,Total Points,Events Played (Divisor),Points Lost (2018),Points Gained (2018),Events Played (Actual)
1,1,1,,Dustin Johnson,9.8934,445.20,45,-124.11,100.91,45
2,2,3,,Justin Thomas,9.5540,487.25,51,-85.24,137.74,51
3,3,4,,Jon Rahm,8.0825,355.63,44,-57.34,90.80,44
4,4,2,,Jordan Spieth,8.0731,395.58,49,-97.41,51.02,49
5,5,6,,Justin Rose,7.5215,338.47,45,-62.07,47.83,45
6,6,5,,Hideki Matsuyama,6.7735,318.35,47,-92.35,22.64,47
7,7,11,,Rory McIlroy,6.4919,266.17,41,-70.46,111.09,41
8,8,7,,Rickie Fowler,6.0860,292.13,48,-62.88,28.85,48
9,9,10,,Sergio Garcia,5.6961,256.32,45,-61.26,68.33,45
10,10,8,,Brooks Koepka,5.6807,238.59,42,-61.15,2.30,42
11,12,13,,Jason Day,5.4920,219.68,40,-72.56,80.43,40
12,11,17,,Tommy Fleetwood,5.4466,283.23,52,-43.60,89.85,57
13,13,14,,Paul Casey,5.4268,255.06,47,-54.95,80.23,47
14,15,9,,Henrik Stenson,5.0764,228.44,45,-72.11,40.90,45
15,14,18,,Alex Noren,5.0317,251.58,50,-50.54,95.07,50
16,16,12,,Marc Leishman,4.8138,250.32,52,-49.21,33.49,53
17,17,16,,Tyrrell Hatton,4.6726,238.30,51,-50.84,57.60,51
18,18,37,,Phil Mickelson,4.4016,211.28,48,-38.10,124.15,48
19,21,89,,Bubba Watson,4.2371,194.91,46,-26.51,150.09,46
20,20,15,,Matt Kuchar,4.2138,219.12,52,-59.08,34.55,58
21,19,19,,Pat Perez,4.2049,168.20,40,-30.14,27.52,38
22,22,20,,Rafael Cabrera Bello,3.9289,204.30,52,-50.68,42.77,60
23,23,27,,Brian Harman,3.9168,203.67,52,-33.39,64.09,58
24,24,24,,Patrick Reed,3.7385,194.40,52,-52.11,53.12,66
25,25,26,,Kevin Kisner,3.7178,193.32,52,-35.14,54.53,53
26,26,25,,Xander Schauffele,3.4398,178.87,52,-28.55,28.05,59
27,27,21,,Francesco Molinari,3.3441,163.86,49,-42.98,14.60,49
28,28,22,,Charley Hoffman,3.3241,172.85,52,-40.70,18.27,58
29,51,54,,Ian Poulter,3.3126,159.00,48,-19.93,71.53,48
30,29,49,,Kiradech Aphibarnrat,3.2582,169.43,52,-20.55,67.91,60
31,32,23,,Louis Oosthuizen,3.1790,139.88,44,-42.84,17.82,44
32,30,55,,Gary Woodland,3.1633,164.49,52,-30.85,79.12,54
33,31,30,,Branden Grace,3.1518,163.90,52,-40.30,44.69,54
34,34,40,,Tony Finau,3.0456,158.37,52,-29.59,53.73,56
35,33,38,,Patrick Cantlay,3.0390,121.56,40,-15.77,32.81,20
36,35,32,,Ross Fisher,2.9827,149.13,50,-29.47,36.90,50
37,37,28,,Daniel Berger,2.9759,151.77,51,-40.67,29.57,51
38,36,29,,Matthew Fitzpatrick,2.9255,152.13,52,-36.05,23.56,56
39,38,34,,Kevin Chappell,2.8233,146.81,52,-41.67,38.34,54
40,39,45,,Brendan Steele,2.6699,128.15,48,-27.57,38.83,48
41,40,43,,Webb Simpson,2.6239,133.82,51,-27.48,37.91,51
42,41,58,,Haotong Li,2.6217,136.33,52,-21.36,50.45,52
43,42,60,,Adam Hadwin,2.6042,135.42,52,-25.30,50.06,54
44,43,48,,Kyle Stanley,2.5539,132.80,52,-22.77,32.80,55
45,44,61,,Cameron Smith,2.5337,131.75,52,-17.53,39.75,55
46,45,36,,Thomas Pieters,2.5013,117.56,47,-31.52,22.47,47
47,48,95,,Chez Reavie,2.4464,127.21,52,-16.95,66.23,56
48,46,51,,Satoshi Kodaira,2.4430,127.03,52,-20.91,26.40,59
49,49,41,,Jason Dufner,2.4217,116.24,48,-30.41,20.76,48
50,47,53,,Dylan Frittelli,2.3890,124.23,52,-21.25,28.98,67
51,50,42,,Siwoo Kim,2.3298,121.15,52,-32.43,18.41,63
52,53,121,,Patton Kizzire,2.3129,120.27,52,-13.38,67.48,55
53,56,46,,Russell Henley,2.3017,117.39,51,-25.69,21.80,51
54,52,44,,Jhonattan Vegas,2.2887,119.01,52,-30.83,20.25,59
