POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,8,"Berger, Daniel",-10,F,-4,70,68,66,66,270
T2,7,"Kim, Meen-Whee",-9,F,-3,69,66,69,67,271
T2,11,"Schwartzel, Charl",-9,F,-4,65,66,74,66,271
T4,3,"Cabrera Bello, Rafa",-8,F,1,70,66,65,71,272
T4,2,"Chappell, Kevin",-8,F,-1,68,67,68,69,272
T4,33,"Horschel, Billy",-8,F,-6,72,66,70,64,272
T4,2,"Reavie, Chez",-8,F,-1,66,65,72,69,272
T4,28,"Thornberry, Braden (a)",-8,F,-5,71,69,67,65,272
9,4,"Mickelson, Phil",-7,F,-2,69,67,69,68,273
T10,3,"Bozzelli, Dominic",-6,F,-1,69,67,69,69,274

T10,6,"Campbell, Chad",-6,F,2,67,69,66,72,274
T10,9,"Cink, Stewart",-6,F,3,64,68,69,73,274
T10,9,"Crane, Ben",-6,F,3,68,65,68,73,274
T10,35,"English, Harris",-6,F,-5,67,72,70,65,274
T10,1,"Hearn, David",-6,F,E,70,67,67,70,274
T10,12,"Scott, Adam",-6,F,-2,71,64,71,68,274
T10,12,"Wheatcroft, Steve",-6,F,-2,68,69,69,68,274
T18,5,"Dahmen, Joel",-5,F,E,70,66,69,70,275
T18,5,"Gomez, Fabian",-5,F,E,69,69,67,70,275
T18,12,"Jones, Matt",-5,F,2,65,69,69,72,275
T18,14,"List, Luke",-5,F,3,70,66,66,73,275
T18,4,"Mullinax, Trey",-5,F,-1,68,66,72,69,275
T18,19,"Murray, Grayson",-5,F,-3,67,72,69,67,275
T24,21,"Etulain, Julian",-4,F,-3,74,67,68,67,276
T24,11,"Fathauer, Derek",-4,F,1,70,65,70,71,276
T24,2,"Molinari, Francesco",-4,F,E,72,66,68,70,276
T27,14,"Every, Matt",-3,F,2,64,70,71,72,277
T27,18,"McDowell, Graeme",-3,F,-2,69,69,71,68,277
T27,5,"Power, Seamus",-3,F,1,69,65,72,71,277
T27,14,"Stanley, Kyle",-3,F,2,72,66,67,72,277
T31,1,"Hagy, Brandon",-2,F,1,69,68,70,71,278
T31,1,"Poulter, Ian",-2,F,1,69,70,68,71,278
T31,14,"Reifers, Kyle",-2,F,-1,68,68,73,69,278
T31,9,"Streb, Robert",-2,F,2,72,67,67,72,278
T31,9,"Tway, Kevin",-2,F,2,69,69,68,72,278
T31,18,"van Aswegen, Tyrone",-2,F,3,73,67,65,73,278
T37,24,"Brehm, Ryan",-1,F,-2,70,71,70,68,279
T37,-,"Campbell, Brian",-1,F,1,68,72,68,71,279
T37,14,"Gonzales, Andres",-1,F,-1,72,69,69,69,279
T37,31,"Knox, Russell",-1,F,-3,71,69,72,67,279
T37,15,"Koepka, Brooks",-1,F,3,69,66,71,73,279
T37,24,"Levin, Spencer",-1,F,-2,68,69,74,68,279
T37,-,"Noh, Seung-Yul",-1,F,1,73,67,68,71,279
T37,14,"Putnam, Michael",-1,F,-1,73,66,71,69,279
T37,15,"Stallings, Scott",-1,F,3,68,73,65,73,279
T37,5,"Tringale, Cameron",-1,F,2,69,69,69,72,279
T47,4,"Armour, Ryan",E,F,E,73,67,70,70,280
T47,14,"Choi, K.J.",E,F,-1,72,69,70,69,280
T47,38,"Goosen, Retief",E,F,6,66,68,70,76,280
T47,4,"Hubbard, Mark",E,F,E,68,72,70,70,280

T47,4,"Lee, Danny",E,F,E,71,70,69,70,280
T52,9,"Blair, Zac",1,F,E,74,67,70,70,281
T52,7,"Brown, Scott",1,F,2,64,72,73,72,281
T52,1,"Cejka, Alex",1,F,1,69,70,71,71,281
T52,7,"Holmes, J.B.",1,F,2,74,64,71,72,281
T52,9,"MacKenzie, Will",1,F,E,74,66,71,70,281
T52,16,"Owen, Greg",1,F,-1,71,68,73,69,281
T52,15,"Schauffele, Xander",1,F,3,69,69,70,73,281
T52,15,"Wilcox, Will",1,F,3,71,68,69,73,281
T60,23,"Drewitt, Brett",2,F,4,71,65,72,74,282
T60,1,"Els, Ernie",2,F,1,68,69,74,71,282
T60,1,"Martin, Ben",2,F,1,70,71,70,71,282
T60,38,"Munoz, Sebastian",2,F,6,64,67,75,76,282
T60,9,"Thompson, Michael",2,F,2,70,70,70,72,282
