POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,1,"Choi, K.J.",-13,F,-2,70,68,67,70,275
2,-,"Toms, David",-13,F,-2,66,68,71,70,275
3,7,"Goydos, Paul",-11,F,-3,69,70,69,69,277
T4,-,"Donald, Luke",-10,F,-1,69,67,71,71,278
T4,-,"Watney, Nick",-10,F,-1,64,71,72,71,278
T6,2,"Baddeley, Aaron",-9,F,E,70,67,70,72,279
T6,18,"Day, Jason",-9,F,-4,69,70,72,68,279
T6,2,"Dufner, Jason",-9,F,E,69,70,68,72,279
T6,10,"Holmes, J.B.",-9,F,-3,68,69,73,69,279
T6,10,"Mahan, Hunter",-9,F,-3,70,67,73,69,279

T6,4,"Quiros, Alvaro",-9,F,-1,67,73,68,71,279
T12,39,"Garcia, Sergio *",-8,F,-7,74,68,73,65,280
T12,12,"Gay, Brian",-8,F,-3,71,69,71,69,280
T12,32,"Johnson, Zach *",-8,F,-6,74,70,70,66,280
T12,-,"Levin, Spencer",-8,F,-1,72,69,68,71,280
T12,8,"Love III, Davis",-8,F,1,68,69,70,73,280
T12,8,"Stricker, Steve",-8,F,1,69,67,71,73,280
T12,22,"Stroud, Chris",-8,F,-4,71,67,74,68,280
T19,5,"Cink, Stewart",-7,F,-2,70,72,69,70,281
T19,3,"Hanson, Peter",-7,F,-1,72,72,66,71,281
T19,19,"Jones, Matt",-7,F,-4,72,72,69,68,281
T19,7,"Kaymer, Martin",-7,F,E,67,72,70,72,281
T19,5,"Marino, Steve",-7,F,-2,70,72,69,70,281
T19,7,"O'Hair, Sean",-7,F,E,71,71,67,72,281
T19,25,"Streelman, Kevin *",-7,F,-5,70,69,75,67,281
T26,12,"Campbell, Chad *",-6,F,-3,73,71,69,69,282
T26,2,"Davis, Brian",-6,F,-1,69,69,73,71,282
T26,2,"Hoffman, Charley",-6,F,-1,72,71,68,71,282
T26,10,"Karlsson, Robert",-6,F,E,71,67,72,72,282
T26,12,"Overton, Jeff *",-6,F,-3,69,71,73,69,282
T26,14,"Sabbatini, Rory",-6,F,1,67,71,71,73,282
T26,18,"Schwartzel, Charl *",-6,F,-4,72,71,71,68,282
T33,5,"Immelman, Trevor *",-5,F,-2,70,73,70,70,283
T33,32,"McDowell, Graeme",-5,F,7,67,69,68,79,283
T33,9,"Mickelson, Phil",-5,F,E,71,71,69,72,283
T33,17,"Molder, Bryce",-5,F,1,70,73,67,73,283
T33,9,"Moore, Ryan",-5,F,E,71,69,71,72,283
T33,18,"Pettersson, Carl *",-5,F,-4,73,71,71,68,283
T39,15,"Perry, Kenny",-4,F,1,72,71,68,73,284
T39,23,"Romero, Andres",-4,F,2,72,69,69,74,284
T41,19,"Byrd, Jonathan *",-3,F,-3,71,73,72,69,285
T41,7,"Cabrera, Angel",-3,F,1,70,74,68,73,285
T41,7,"Chalmers, Greg",-3,F,1,73,65,74,73,285
T41,25,"Wi, Charlie",-3,F,3,70,72,68,75,285
T45,6,"Crane, Ben *",-2,F,-1,68,76,71,71,286
T45,6,"Pavin, Corey *",-2,F,-1,72,69,74,71,286
T45,7,"Rose, Justin *",-2,F,1,70,69,74,73,286
T45,22,"Watson, Bubba *",-2,F,-4,76,66,76,68,286
T45,7,"Willis, Garrett",-2,F,1,70,74,69,73,286
T50,26,"Allenby, Robert",-1,F,4,69,74,68,76,287

T50,6,"Couch, Chris *",-1,F,1,71,72,71,73,287
T50,6,"Curtis, Ben *",-1,F,1,71,73,70,73,287
