POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,-,"Thomas, Justin",-22,F,-4,67,67,67,69,270
2,-,"Matsuyama, Hideki",-19,F,-3,69,68,66,70,273
T3,-,"Moore, Ryan",-16,F,-2,67,67,71,71,276
T3,10,"Perez, Pat",-16,F,-6,69,71,69,67,276
T3,16,"Spieth, Jordan",-16,F,-8,72,69,70,65,276
T6,2,"Johnson, Dustin",-15,F,-4,69,70,69,69,277
T6,1,"Reed, Patrick",-15,F,-3,70,65,72,70,277
T6,-,"Steele, Brendan",-15,F,-2,72,67,67,71,277
T9,1,"Finau, Tony",-14,F,-3,70,68,70,70,278
T9,6,"McGirt, William",-14,F,E,70,69,66,73,278
T9,6,"Walker, Jimmy",-14,F,E,65,70,70,73,278
T12,1,"Day, Jason",-13,F,-3,70,69,70,70,279
T12,5,"Herman, Jim",-13,F,-4,67,71,72,69,279
T14,6,"Berger, Daniel",-12,F,-1,68,70,70,72,280
T14,3,"Gribble, Cody",-12,F,-3,69,72,69,70,280
T14,1,"Snedeker, Brandt",-12,F,-2,70,70,69,71,280
T17,3,"Hoffman, Charley",-11,F,-4,71,70,71,69,281
T17,9,"Knox, Russell",-11,F,E,71,69,68,73,281
T17,3,"Pampling, Rod",-11,F,-4,69,71,72,69,281
20,7,"Gomez, Fabian",-10,F,E,70,68,71,73,282
21,13,"Dufner, Jason",-9,F,2,68,68,72,75,283
T22,2,"Hahn, James",-8,F,-1,74,70,68,72,284
T22,2,"Stuard, Brian",-8,F,-2,72,71,70,71,284
24,4,"Taylor, Vaughn",-7,F,E,72,71,69,73,285
T25,3,"Baddeley, Aaron",-6,F,-4,70,73,74,69,286
T25,4,"Hughes, Mackenzie",-6,F,-5,73,72,73,68,286
T25,2,"Watson, Bubba",-6,F,-2,72,72,71,71,286
28,4,"Chalmers, Greg",-5,F,1,71,72,70,74,287
29,3,"Hurley III, Billy",-1,F,-1,74,73,72,72,291
T30,4,"Kim, Si-Woo",E,F,5,75,70,69,78,292
T30,1,"Vegas, Jhonattan",E,F,1,72,76,70,74,292
32,3,"Grace, Branden",1,F,2,73,74,71,75,293
