POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,-,"Thomas, Justin",-27,F,-5,59,64,65,65,253
2,1,"Rose, Justin",-20,F,-6,66,64,66,64,260
3,6,"Spieth, Jordan",-19,F,-7,65,67,66,63,261
T4,2,"Kisner, Kevin",-18,F,-5,70,67,60,65,262
T4,2,"Lovemark, Jamie",-18,F,-5,64,68,65,65,262
T6,4,"Johnson, Zach",-17,F,-2,69,61,65,68,263
T6,3,"Woodland, Gary",-17,F,-3,64,64,68,67,263
T8,2,"Howell III, Charles",-16,F,-5,65,66,68,65,264
T8,40,"Reavie, Chez *",-16,F,-9,67,67,69,61,264
10,6,"Herman, Jim",-15,F,-5,66,67,67,65,265
T11,5,"Knox, Russell",-14,F,-1,64,67,66,69,266
T11,27,"O'Hair, Sean *",-14,F,-6,66,69,67,64,266
T13,3,"Gay, Brian",-13,F,-3,69,64,67,67,267
T13,3,"Grace, Branden",-13,F,-3,67,68,65,67,267
T13,3,"Haas, Bill",-13,F,-3,67,66,67,67,267
T13,3,"Henley, Russell",-13,F,-2,64,67,68,68,267
T13,3,"List, Luke",-13,F,-3,67,64,69,67,267
T13,3,"Simpson, Webb",-13,F,-3,66,65,69,67,267
T13,10,"Swafford, Hudson",-13,F,1,62,68,66,71,267
T20,10,"Finau, Tony",-12,F,-1,64,67,68,69,268
T20,10,"Harman, Brian",-12,F,-1,66,67,66,69,268
T20,4,"Hurley III, Billy",-12,F,-2,64,68,68,68,268
T20,18,"Kim, Michael",-12,F,-4,67,67,68,66,268
T20,4,"Leishman, Marc",-12,F,-2,68,66,66,68,268
T20,4,"Norlander, Henrik",-12,F,-2,67,65,68,68,268
T20,38,"Thompson, Michael *",-12,F,-7,65,68,72,63,268
T27,1,"Hughes, Mackenzie",-11,F,-2,68,65,68,68,269
T27,39,"Huh, John *",-11,F,-7,68,69,69,63,269
T27,1,"Kraft, Kelly",-11,F,-2,69,67,65,68,269
T27,27,"Malnati, Peter *",-11,F,-5,69,66,69,65,269
T27,11,"Matsuyama, Hideki",-11,F,-1,66,67,67,69,269
T27,17,"Schniederjans, Ollie",-11,F,E,66,67,66,70,269
T27,1,"Smith, Cameron",-11,F,-2,64,68,69,68,269
