POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,1,"Schauffele, Xander",-12,F,-2,69,66,65,68,268
2,2,"Thomas, Justin",-11,F,-4,67,66,70,66,269
T3,6,"Henley, Russell",-10,F,-5,67,71,67,65,270
T3,1,"Kisner, Kevin",-10,F,E,68,68,64,70,270
5,4,"Casey, Paul",-9,F,3,66,67,65,73,271
6,2,"Koepka, Brooks",-8,F,-1,66,69,68,69,272
T7,8,"Finau, Tony",-7,F,-4,68,71,68,66,273
T7,-,"Rahm, Jon",-7,F,-1,67,67,70,69,273
T7,6,"Spieth, Jordan",-7,F,-3,67,70,69,67,273
T10,5,"Garcia, Sergio",-6,F,-3,73,66,68,67,274

T10,5,"Kuchar, Matt",-6,F,-3,69,71,67,67,274
T10,1,"Rose, Justin",-6,F,-1,68,66,71,69,274
T13,9,"Reed, Patrick",-5,F,2,69,65,69,72,275
T13,4,"Simpson, Webb",-5,F,E,66,67,72,70,275
15,4,"Berger, Daniel",-4,F,-2,66,70,72,68,276
16,3,"Perez, Pat",-3,F,-1,68,68,72,69,277
T17,10,"Day, Jason",-2,F,4,69,67,68,74,278
T17,4,"Johnson, Dustin",-2,F,2,68,69,69,72,278
19,10,"Woodland, Gary",-1,F,4,67,67,71,74,279
T20,2,"Cantlay, Patrick",E,F,-1,74,66,71,69,280
T20,1,"Dufner, Jason",E,F,2,68,67,73,72,280
T20,5,"Stanley, Kyle",E,F,3,64,73,70,73,280
23,1,"Hadwin, Adam",1,F,E,71,67,73,70,281
T24,1,"Harman, Brian",3,F,E,72,70,71,70,283
T24,2,"Leishman, Marc",3,F,2,71,71,69,72,283
T26,2,"Fowler, Rickie",6,F,-1,73,74,70,69,286
T26,-,"Matsuyama, Hideki",6,F,E,75,68,73,70,286
T28,2,"Chappell, Kevin",9,F,-1,76,72,72,69,289
T28,-,"Hoffman, Charley",9,F,2,73,73,71,72,289
30,4,"Vegas, Jhonattan",10,F,4,72,74,70,74,290
