POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,-,"Spieth, Jordan",-12,F,E,63,69,66,70,268
2,1,"Berger, Daniel",-12,F,-3,68,67,66,67,268
T3,7,"Hoffman, Charley",-10,F,-4,69,67,68,66,270
T3,4,"Lee, Danny",-10,F,-3,68,67,68,67,270
T5,1,"Casey, Paul",-9,F,-1,68,68,66,69,271
T5,10,"Reed, Patrick",-9,F,-4,67,66,72,66,271
T5,3,"Weekley, Boo",-9,F,2,66,68,65,72,271
T8,1,"Bradley, Keegan",-8,F,-1,67,70,66,69,272
T8,1,"Hearn, David",-8,F,-1,67,70,66,69,272
T8,13,"Merritt, Troy",-8,F,-4,65,68,73,66,272

T8,4,"Pan, Cheng Tsung",-8,F,E,70,68,64,70,272
T8,2,"Simpson, Webb",-8,F,-2,70,68,66,68,272
T8,34,"Streelman, Kevin",-8,F,-6,69,70,69,64,272
T14,7,"Schauffele, Xander",-7,F,-3,66,70,70,67,273
T14,38,"Snedeker, Brandt",-7,F,-6,70,67,72,64,273
T14,1,"Steele, Brendan",-7,F,-2,68,68,69,68,273
T17,11,"Finau, Tony",-6,F,-3,70,67,70,67,274
T17,4,"Harrington, Padraig",-6,F,-2,66,69,71,68,274
T17,25,"Hughes, Mackenzie",-6,F,-4,67,70,71,66,274
T17,11,"Lahiri, Anirban",-6,F,-3,73,63,71,67,274
T17,4,"Lamb, Rick",-6,F,-2,69,69,68,68,274
T17,2,"Leishman, Marc",-6,F,-1,69,68,68,69,274
T17,11,"MacKenzie, Will",-6,F,-3,69,68,70,67,274
T17,11,"Mahan, Hunter",-6,F,-3,68,71,68,67,274
T17,43,"McIlroy, Rory",-6,F,-6,67,73,70,64,274
T26,11,"DeChambeau, Bryson",-5,F,E,67,72,66,70,275
T26,2,"Delaet, Graham",-5,F,-2,65,70,72,68,275
T26,2,"Furyk, Jim",-5,F,-2,67,68,72,68,275
T26,5,"Hoffmann, Morgan",-5,F,-1,67,70,69,69,275
T26,16,"Kokrak, Jason",-5,F,1,71,67,66,71,275
T26,22,"Lingmerth, David",-5,F,3,67,70,65,73,275
T26,5,"Molder, Bryce",-5,F,-1,70,70,66,69,275
T26,2,"Murray, Grayson",-5,F,-2,69,71,67,68,275
T26,2,"Stegmaier, Brett",-5,F,-2,64,72,71,68,275
T35,7,"Barnes, Ricky",-4,F,-2,70,70,68,68,276
T35,20,"Brehm, Ryan",-4,F,1,68,68,69,71,276
T35,7,"Cauley, Bud",-4,F,-2,70,68,70,68,276
T35,7,"Every, Matt",-4,F,-1,66,72,69,69,276
T35,20,"Harman, Brian",-4,F,1,66,70,69,71,276
T35,17,"Hoge, Tom",-4,F,-3,66,72,71,67,276
T35,7,"Kaufman, Smylie",-4,F,-1,68,67,72,69,276
T35,25,"Rodgers, Patrick",-4,F,2,70,65,69,72,276
T43,9,"Fritsch, Brad",-3,F,-2,70,67,72,68,277
T43,17,"Grillo, Emiliano",-3,F,-3,69,70,71,67,277
T43,1,"Hubbard, Mark",-3,F,-1,66,73,69,69,277
T43,9,"McGirt, William",-3,F,-2,68,70,71,68,277
T43,33,"Reavie, Chez",-3,F,3,69,66,69,73,277
T43,22,"Seiffert, Chase",-3,F,1,68,66,72,71,277
T43,15,"Summerhays, Daniel",-3,F,E,66,68,73,70,277
T43,24,"Tway, Kevin",-3,F,-4,73,67,71,66,277

T43,15,"Wagner, Johnson",-3,F,E,64,72,71,70,277
T43,17,"Wilkinson, Tim",-3,F,-3,72,66,72,67,277
T53,11,"Gomez, Fabian",-2,F,E,66,70,72,70,278
T53,25,"Hossler, Beau",-2,F,1,66,69,72,71,278
T53,11,"Kizzire, Patton",-2,F,E,73,67,68,70,278
T53,11,"Palmer, Ryan",-2,F,E,69,71,68,70,278
T57,15,"Hadwin, Adam",-1,F,1,70,70,68,71,279
T57,5,"Na, Kevin",-1,F,E,66,71,72,70,279
T57,10,"Stanley, Kyle",-1,F,-2,70,67,74,68,279
T57,10,"Streb, Robert",-1,F,-2,67,73,71,68,279
T57,5,"Taylor, Vaughn",-1,F,E,68,69,72,70,279
T62,5,"Blixt, Jonas",E,F,-1,71,67,73,69,280
T62,5,"Dahmen, Joel",E,F,-1,69,71,71,69,280
T62,2,"Goosen, Retief",E,F,E,70,69,71,70,280
T62,34,"Knox, Russell",E,F,3,69,70,68,73,280
T66,24,"An, Byeong Hun",1,F,3,67,72,69,73,281
T66,1,"Chalmers, Greg",1,F,E,69,68,74,70,281
T66,1,"Swafford, Hudson",1,F,E,66,71,74,70,281
T69,9,"Henry, J.J.",2,F,2,68,71,71,72,282
T69,17,"Kim, Michael",2,F,3,67,72,70,73,282
T69,2,"Ogilvy, Geoff",2,F,1,73,65,73,71,282
T69,9,"Pampling, Rod",2,F,2,67,72,71,72,282
73,13,"Watney, Nick",3,F,3,69,69,72,73,283
74,22,"Bryan, Wesley",5,F,6,67,67,75,76,285
MDF,-,"Etulain, Julian",2,,,71,68,73,,212
MDF,-,"Kang, Sunghoon",2,,,70,70,72,,212
MDF,-,"Lovemark, Jamie",2,,,72,68,72,,212
MDF,-,"Malnati, Peter",2,,,72,68,72,,212
MDF,-,"Munoz, Sebastian",2,,,67,70,75,,212
MDF,-,"Percy, Cameron",2,,,67,73,72,,212
MDF,-,"Choi, K.J.",3,,,69,71,73,,213
MDF,-,"Levin, Spencer",3,,,68,72,73,,213
MDF,-,"Wheatcroft, Steve",4,,,67,72,75,,214
MDF,-,"Cejka, Alex",5,,,69,70,76,,215
MDF,-,"Piercy, Scott",11,,,66,74,81,,221

CUT,-,"Anderson, Mark",1,,,72,69,,,141
CUT,-,"Donald, Luke",1,,,73,68,,,141
CUT,-,"Garrigus, Robert",1,,,69,72,,,141
CUT,-,"Gonzales, Andres",1,,,70,71,,,141
CUT,-,"Kraft, Kelly",1,,,70,71,,,141
CUT,-,"Mullinax, Trey",1,,,72,69,,,141
CUT,-,"Collins, Chad",2,,,71,71,,,142
CUT,-,"Day, Jason",2,,,72,70,,,142
CUT,-,"English, Harris",2,,,67,75,,,142
CUT,-,"F-Castano, Gonzalo",2,,,69,73,,,142
CUT,-,"Hagy, Brandon",2,,,70,72,,,142
CUT,-,"Herman, Jim",2,,,72,70,,,142
CUT,-,"Hurley III, Billy",2,,,69,73,,,142
CUT,-,"Laird, Martin",2,,,72,70,,,142
CUT,-,"Noh, Seung-Yul",2,,,69,73,,,142
CUT,-,"Peterson, John",2,,,68,74,,,142
CUT,-,"Ridings, Tag",2,,,68,74,,,142
CUT,-,"Singh, Vijay",2,,,72,70,,,142
CUT,-,"van Aswegen, Tyrone",2,,,69,73,,,142
CUT,-,"Varner III, Harold",2,,,70,72,,,142
CUT,-,"Watson, Bubba",2,,,75,67,,,142
CUT,-,"Campbell, Chad",3,,,70,73,,,143
CUT,-,"Carballo, Miguel Angel",3,,,72,71,,,143
CUT,-,"Coletta, Brett",3,,,74,69,,,143
CUT,-,"Duke, Ken",3,,,69,74,,,143
CUT,-,"Glover, Lucas",3,,,72,71,,,143
CUT,-,"Gribble, Cody",3,,,74,69,,,143
CUT,-,"Huh, John",3,,,71,72,,,143
CUT,-,"Kelly, Troy",3,,,73,70,,,143
CUT,-,"Kim, Meen-Whee",3,,,70,73,,,143
CUT,-,"Power, Seamus",3,,,72,71,,,143
CUT,-,"Reifers, Kyle",3,,,69,74,,,143
CUT,-,"Stallings, Scott",3,,,69,74,,,143
CUT,-,"Sucher, Zack",3,,,74,69,,,143
CUT,-,"Campbell, Brian",4,,,71,73,,,144
CUT,-,"Gay, Brian",4,,,72,72,,,144
CUT,-,"Johnson, Zach",4,,,75,69,,,144
CUT,-,"Poston, JT",4,,,75,69,,,144
CUT,-,"Vegas, Jhonattan",4,,,71,73,,,144
CUT,-,"Armour, Ryan",5,,,71,74,,,145
CUT,-,"Fathauer, Derek",5,,,71,74,,,145
CUT,-,"Flores, Martin",5,,,73,72,,,145
CUT,-,"Sabbatini, Rory",5,,,74,71,,,145
CUT,-,"Thomas, Justin",5,,,73,72,,,145
CUT,-,"Wyatt, Bobby",5,,,69,76,,,145
CUT,-,"Bozzelli, Dominic",6,,,70,76,,,146
CUT,-,"Taylor, Nick",6,,,71,75,,,146
CUT,-,"Zaback, Zach",6,,,76,70,,,146
CUT,-,"Alker, Steven",7,,,73,74,,,147
CUT,-,"Crane, Ben",7,,,72,75,,,147
CUT,-,"Randolph, Jonathan",7,,,69,78,,,147
CUT,-,"Stefani, Shawn",7,,,73,74,,,147
CUT,-,"Thompson, Michael",7,,,75,72,,,147
CUT,-,"Blaum, Ryan",8,,,76,72,,,148
CUT,-,"Johnson, Neil",8,,,78,70,,,148
CUT,-,"Lindheim, Nicholas",8,,,75,73,,,148
CUT,-,"Werenski, Richy",8,,,71,77,,,148
CUT,-,"Blair, Zac",9,,,73,76,,,149
CUT,-,"Ruffels, Ryan",9,,,71,78,,,149
CUT,-,"Stuard, Brian",9,,,71,78,,,149
CUT,-,"Bohn, Jason",10,,,73,77,,,150
CUT,-,"Loupe, Andrew",10,,,81,69,,,150
CUT,-,"Pettersson, Carl",11,,,71,80,,,151
CUT,-,"Wilson, Mark",11,,,74,77,,,151
CUT,-,"Clark, Wyndham",12,,,78,74,,,152
CUT,-,"Gates, Bobby",12,,,80,72,,,152
