Name,TourneyNames,Wins,Top 5,Top 10,Top 15,Top 20,Top 30,Top 30 Percentage,Entered,Missed Cuts,Cut Percentage,Notes,Score Index,Top 5 Percentage,Top 10 Percentage,Top 15 Percentage,Top 20 Percentage,Weighted Index
Ernie Els,usopen,0,2,1,0,0,0,0.42857143,7,2,0.2857143,usopen - (2016 - CUT) (2015 - Pos 54) (2014 - Pos 35) (2013 - Top 5) (2012 - Top 10) (2011 - CUT) (2010 - Top 5),3.64,0.2857143,0.42857143,0.42857143,0.42857143,5.14
Marc Warren,usopen,0,0,0,0,0,1,0.5,2,0,0,usopen - (2015 - Top 30) (2012 - Pos 65),0.975,0,0,0,0,0.975
Jean-Francois Lucquin,usopen,0,0,0,0,0,0,0,1,1,1,usopen - (2010 - CUT),-0.4,0,0,0,0,-0.4
Edward Loar,usopen,0,0,0,0,0,0,0,2,1,0.5,usopen - (2013 - Pos 32) (2012 - CUT),-0.355,0,0,0,0,-0.355
Morten Orum Madsen,usopen,0,0,0,0,0,1,1,1,0,0,usopen - (2013 - Top 30),0.595,0,0,0,0,0.595
Michael Barbosa,usopen,0,0,0,0,0,0,0,1,1,1,usopen - (2011 - CUT),-0.5,0,0,0,0,-0.5
Seung-Yul Noh,usopen,0,0,0,0,0,1,0.33333334,3,0,0,usopen - (2014 - Pos 52) (2011 - Top 30) (2010 - Pos 40),0.845,0,0,0,0,0.845
Brian Harman,usopen,0,0,0,0,0,0,0,2,2,1,usopen - (2015 - CUT) (2012 - CUT),-1.5,0,0,0,0,-1.5
Peter Lawrie,usopen,0,0,0,0,0,0,0,1,1,1,usopen - (2012 - CUT),-0.6,0,0,0,0,-0.6
Nick Mason,usopen,0,0,0,0,0,0,0,1,1,1,usopen - (2014 - CUT),-0.8,0,0,0,0,-0.8
Matthew Baldwin,usopen,0,0,0,0,0,0,0,2,1,0.5,usopen - (2016 - CUT) (2012 - Pos 59),-0.79,0,0,0,0,-0.79
Nick Sherwood,usopen,0,0,0,0,0,0,0,1,1,1,usopen - (2012 - CUT),-0.6,0,0,0,0,-0.6
David Hearn,usopen,0,0,0,0,0,1,0.5,2,1,0.5,usopen - (2015 - CUT) (2013 - Top 30),-0.305,0,0,0,0,-0.305
Jason Palmer,usopen,0,0,0,0,0,0,0,1,1,1,usopen - (2015 - CUT),-0.9,0,0,0,0,-0.9
Mark Silvers,usopen,0,0,0,0,0,0,0,2,1,0.5,usopen - (2015 - Pos 54) (2010 - CUT),-0.085,0,0,0,0,-0.085
Brian Rowell,usopen,0,0,0,0,0,0,0,1,1,1,usopen - (2012 - CUT),-0.6,0,0,0,0,-0.6
Andy Sullivan,usopen,0,0,0,0,0,1,0.5,2,1,0.5,usopen - (2016 - Top 30) (2015 - CUT),-0.05,0,0,0,0,-0.05
Yui Ueda,usopen,0,0,0,0,0,0,0,1,1,1,usopen - (2013 - CUT),-0.7,0,0,0,0,-0.7
Jae-Bum Park,usopen,0,0,0,0,0,0,0,1,0,0,usopen - (2012 - Pos 59),0.21,0,0,0,0,0.21
Brian Campbell,usopen,0,0,0,0,0,1,0.5,2,1,0.5,usopen - (2015 - Top 30) (2014 - CUT),-0.035,0,0,0,0,-0.035
Brady Watt,usopen,0,0,0,0,0,0,0,1,1,1,usopen - (2014 - CUT),-0.8,0,0,0,0,-0.8
Andres Romero,usopen,0,0,0,1,0,0,1,1,0,0,usopen - (2015 - Top 15),1.665,0,0,1,0,2.165
Ty Tryon,usopen,0,0,0,0,0,0,0,2,1,0.5,usopen - (2011 - CUT) (2010 - Pos 80),-0.36,0,0,0,0,-0.36
Pablo Martin,usopen,0,0,0,0,0,0,0,1,0,0,usopen - (2010 - Pos 82),0.14,0,0,0,0,0.14
Russell Knox,usopen,0,0,0,0,0,1,0.5,2,0,0,usopen - (2016 - Top 30) (2013 - Pos 45),1.095,0,0,0,0,1.095
Martin Laird,usopen,0,0,0,0,0,1,0.33333334,3,2,0.6666667,usopen - (2013 - Top 30) (2012 - CUT) (2011 - CUT),-0.505,0,0,0,0,-0.505
Patrick Reed,usopen,0,0,0,1,0,0,0.33333334,3,1,0.33333334,usopen - (2016 - CUT) (2015 - Top 15) (2014 - Pos 35),0.945,0,0,0.33333334,0,1.445
Sam Osborne,usopen,0,0,0,0,0,0,0,1,1,1,usopen - (2012 - CUT),-0.6,0,0,0,0,-0.6
Cliff Kresge,usopen,0,0,0,0,0,0,0,1,1,1,usopen - (2013 - CUT),-0.7,0,0,0,0,-0.7
Rafael Cabrera-Bello,usopen,0,0,0,0,0,0,0,2,1,0.5,usopen - (2012 - CUT) (2010 - Pos 47),-0.46,0,0,0,0,-0.46
Shane Bertsch,usopen,0,0,0,0,0,0,0,1,1,1,usopen - (2012 - CUT),-0.6,0,0,0,0,-0.6
Rickie Fowler,usopen,0,1,1,0,0,0,0.33333334,6,3,0.5,usopen - (2016 - CUT) (2015 - CUT) (2014 - Top 5) (2013 - Top 10) (2012 - Pos 41) (2011 - CUT),1.735,0.16666667,0.33333334,0.33333334,0.33333334,2.735
Kevin Phelan,usopen,0,0,0,0,0,0,0,2,1,0.5,usopen - (2013 - Pos 62) (2010 - CUT),-0.155,0,0,0,0,-0.155
Tim Petrovic,usopen,0,0,0,0,0,0,0,1,0,0,usopen - (2011 - WD),-0.125,0,0,0,0,-0.125
Jason Gore,usopen,0,0,0,0,0,0,0,1,0,0,usopen - (2010 - Pos 47),0.14,0,0,0,0,0.14
Soren Hansen,usopen,0,0,0,0,0,0,0,2,2,1,usopen - (2016 - CUT) (2010 - CUT),-1.4,0,0,0,0,-1.4
Peter Hedblom,usopen,0,0,0,0,0,0,0,1,0,0,usopen - (2013 - Pos 65),0.245,0,0,0,0,0.245
Cheng-Tsung Pan,usopen,0,0,0,0,0,0,0,3,1,0.33333334,usopen - (2015 - Pos 64) (2013 - Pos 45) (2011 - CUT),0.06,0,0,0,0,0.06
Thomas Levet,usopen,0,0,0,0,0,0,0,1,1,1,usopen - (2011 - CUT),-0.5,0,0,0,0,-0.5
Davis Riley,usopen,0,0,0,0,0,0,0,1,1,1,usopen - (2015 - CUT),-0.9,0,0,0,0,-0.9
Martin Kaymer,usopen,1,0,1,1,0,0,0.42857143,7,1,0.14285715,usopen - (2016 - Pos 37) (2015 - CUT) (2014 - Win) (2013 - Pos 59) (2012 - Top 15) (2011 - Pos 39) (2010 - Top 10),4.6,0.14285715,0.2857143,0.42857143,0.2857143,5.6
Tim O'Neal,usopen,0,0,0,0,0,0,0,1,1,1,usopen - (2015 - CUT),-0.9,0,0,0,0,-0.9
Kevin Foley,usopen,0,0,0,0,0,0,0,1,1,1,usopen - (2016 - CUT),-1,0,0,0,0,-1
Hiroyuki Fujita,usopen,0,0,0,0,0,0,0,5,3,0.6,usopen - (2015 - CUT) (2013 - CUT) (2012 - Pos 51) (2011 - CUT) (2010 - Pos 58),-1.75,0,0,0,0,-1.75
David Frost,usopen,0,0,0,0,0,0,0,1,1,1,usopen - (2010 - CUT),-0.4,0,0,0,0,-0.4
Chad Campbell,usopen,0,0,0,0,0,0,0,1,1,1,usopen - (2011 - CUT),-0.5,0,0,0,0,-0.5
Heath Slocum,usopen,0,0,0,1,0,0,0.5,2,1,0.5,usopen - (2011 - Top 15) (2010 - CUT),0.525,0,0,0.5,0,0.525
Yuta Ikeda,usopen,0,0,0,0,0,0,0,2,1,0.5,usopen - (2016 - CUT) (2010 - Pos 58),-0.86,0,0,0,0,-0.86
Brian Locke,usopen,0,0,0,0,0,0,0,1,1,1,usopen - (2011 - CUT),-0.5,0,0,0,0,-0.5
