POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,4,"Rose, Justin",1,F,E,71,69,71,70,281
T2,6,"Day, Jason",3,F,1,70,74,68,71,283
T2,1,"Mickelson, Phil",3,F,4,67,72,70,74,283
T4,21,"Dufner, Jason",5,F,-3,74,71,73,67,285
T4,12,"Els, Ernie",5,F,-1,71,72,73,69,285
T4,1,"Horschel, Billy",5,F,4,72,67,72,74,285
T4,2,"Mahan, Hunter",5,F,5,72,69,69,75,285
T8,3,"Donald, Luke",6,F,5,68,72,71,75,286
T8,6,"Stricker, Steve",6,F,6,71,69,70,76,286
T10,1,"Colsaerts, Nicolas",7,F,2,69,72,74,72,287
T10,1,"F-Castano, Gonzalo",7,F,2,71,72,72,72,287
T10,1,"Fowler, Rickie",7,F,4,70,76,67,74,287
T10,29,"Matsuyama, Hideki",7,F,-3,71,75,74,67,287
14,12,"Schwartzel, Charl",8,F,8,70,71,69,78,288
T15,4,"Senden, John",9,F,4,70,71,74,74,289
T15,1,"Westwood, Lee",9,F,3,70,77,69,73,289
T17,14,"Huh, John",10,F,1,71,73,75,71,290
T17,7,"Kim, Michael (a)",10,F,6,73,70,71,76,290
T17,1,"Lingmerth, David",10,F,4,74,71,71,74,290
T17,8,"Snedeker, Brandt",10,F,2,74,74,70,72,290
T21,4,"Goggin, Mathew",11,F,3,68,74,76,73,291
T21,10,"Harrington, Padraig",11,F,2,73,71,75,72,291
T21,18,"Hearn, David",11,F,1,78,69,73,71,291
T21,34,"Laird, Martin",11,F,-2,74,73,76,68,291
T21,10,"Poulter, Ian",11,F,6,71,71,73,76,291
T21,10,"Stenson, Henrik",11,F,6,74,68,73,76,291
T21,5,"Van Pelt, Bo",11,F,5,73,71,72,75,291
T28,3,"Kuchar, Matt",12,F,3,74,73,72,73,292
T28,3,"Orum Madsen, Morten",12,F,4,74,74,70,74,292
T28,3,"Parry, John",12,F,3,76,71,72,73,292
T28,27,"Weir, Mike",12,F,-1,72,76,75,69,292
T32,20,"Chappell, Kevin",13,F,1,72,76,74,71,293
T32,12,"Choi, K.J.",13,F,2,70,76,75,72,293
T32,1,"Donaldson, Jamie",13,F,4,73,73,73,74,293
T32,16,"Lawrie, Paul",13,F,7,76,71,69,77,293
T32,9,"Loar, Edward",13,F,6,73,71,73,76,293
T32,12,"Ogilvy, Geoff",13,F,2,74,70,77,72,293
T32,12,"Simpson, Webb",13,F,2,71,75,75,72,293
T32,9,"Watson, Bubba",13,F,6,71,76,70,76,293
T32,1,"Woods, Tiger",13,F,4,73,70,76,74,293
T41,16,"Kelly, Jerry",14,F,6,70,73,75,76,294
T41,2,"Langley, Scott",14,F,4,75,70,75,74,294
T41,16,"McIlroy, Rory",14,F,6,73,70,75,76,294
T41,3,"Pettersson, Carl",14,F,3,72,75,74,73,294
T45,10,"Alker, Steven",15,F,2,73,75,75,72,295
T45,29,"Casey, Paul",15,F,9,73,72,71,79,295
T45,1,"Garcia, Sergio",15,F,4,73,73,75,74,295
T45,29,"Hoffman, Charley",15,F,9,71,73,72,79,295
T45,6,"Kim, Bio",15,F,5,72,75,73,75,295
T45,1,"Knox, Russell",15,F,4,69,75,77,74,295
T45,14,"Pan, Cheng-Tsung (a)",15,F,6,72,72,75,76,295
T45,6,"Scott, Adam",15,F,5,72,75,73,75,295
T53,22,"Bettencourt, Matt",16,F,7,72,71,76,77,296
T53,2,"Stallings, Scott",16,F,3,71,76,76,73,296
55,-,"Johnson, Dustin",17,F,4,71,77,75,74,297
T56,12,"Coetzee, George",18,F,7,71,73,77,77,298
T56,4,"Teater, Josh",18,F,6,74,74,74,76,298
T56,4,"Thompson, Nicholas",18,F,6,72,76,74,76,298
T59,4,"Kaymer, Martin",19,F,4,76,72,77,74,299
T59,15,"Siem, Marcel",19,F,8,73,71,77,78,299
T59,10,"Stefani, Shawn",19,F,-1,72,73,85,69,299
