POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,10,"Casey, Paul",-10,F,-6,70,68,71,65,274
T2,3,"Reed, Patrick",-9,F,-3,71,69,67,68,275
T2,-,"Woods, Tiger",-9,F,-1,70,68,67,70,275
4,21,"Garcia, Sergio",-8,F,-6,70,72,69,65,276
T5,3,"Rose, Justin",-7,F,1,70,69,66,72,277
T5,2,"Sabbatini, Rory",-7,F,-2,70,71,67,69,277
7,21,"Furyk, Jim",-6,F,-5,70,73,69,66,278
T8,3,"Grace, Branden",-5,F,-1,73,68,68,70,279
T8,17,"Kokrak, Jason",-5,F,-3,72,67,72,68,279
T8,3,"Mullinax, Trey",-5,F,-1,72,68,69,70,279

T8,3,"Simpson, Webb",-5,F,-1,71,68,70,70,279
T12,7,"Burns, Sam",-4,F,2,71,69,67,73,280
T12,16,"Hadwin, Adam",-4,F,-3,71,70,71,68,280
T12,6,"O'Hair, Sean",-4,F,-1,71,68,71,70,280
T12,13,"Stricker, Steve",-4,F,-2,70,71,70,69,280
T16,12,"Ancer, Abraham",-3,F,-2,72,73,67,69,281
T16,2,"Barber, Blayne",-3,F,E,70,70,70,71,281
T16,12,"Blaum, Ryan",-3,F,-2,73,69,70,69,281
T16,15,"Conners, Corey",-3,F,6,67,69,68,77,281
T16,2,"Johnson, Zach",-3,F,E,73,68,69,71,281
T16,5,"Knox, Russell",-3,F,1,69,74,66,72,281
T16,2,"List, Luke",-3,F,E,70,71,69,71,281
T16,24,"Lovemark, Jamie",-3,F,-3,72,73,68,68,281
T16,2,"McGirt, William",-3,F,E,71,70,69,71,281
T16,5,"Oosthuizen, Louis",-3,F,1,71,69,69,72,281
T16,5,"Scott, Adam",-3,F,1,70,73,66,72,281
T16,12,"Vogel, T.J.",-3,F,-2,73,70,69,69,281
T28,21,"Palmer, Ryan",-2,F,3,72,66,70,74,282
T28,21,"van Aswegen, Tyrone",-2,F,3,75,65,68,74,282
T28,-,"Walker, Jimmy",-2,F,-1,69,71,72,70,282
T31,3,"Bozzelli, Dominic",-1,F,E,70,73,69,71,283
T31,3,"Bradley, Keegan",-1,F,E,69,70,73,71,283
T31,14,"Campbell, Chad",-1,F,-2,72,72,70,69,283
T31,34,"Cink, Stewart",-1,F,-5,70,72,75,66,283
T31,3,"Garnett, Brice",-1,F,E,73,69,70,71,283
T31,9,"Garrigus, Robert",-1,F,-1,76,68,69,70,283
T31,24,"Kraft, Kelly",-1,F,4,68,70,70,75,283
T31,29,"Snedeker, Brandt",-1,F,7,70,68,67,78,283
T31,13,"Stallings, Scott",-1,F,2,72,73,65,73,283
T40,10,"Armour, Ryan",E,F,-2,73,71,71,69,284
T40,20,"Cejka, Alex",E,F,-3,73,72,71,68,284
T40,12,"Cook, Austin",E,F,1,73,70,69,72,284
T40,10,"Howell III, Charles",E,F,-2,75,70,70,69,284
T40,10,"Kuchar, Matt",E,F,-2,71,72,72,69,284
T40,-,"McDowell, Graeme",E,F,E,73,72,68,71,284
T46,18,"Holmes, J.B.",1,F,2,71,74,67,73,285
T46,19,"Martin, Ben",1,F,-3,75,69,73,68,285
T46,18,"Smith, Cameron",1,F,2,71,72,69,73,285
