POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,3,"Matsuyama, Hideki",-16,F,-9,69,67,67,61,264
2,1,"Johnson, Zach",-11,F,-2,69,67,65,68,269
3,2,"Hoffman, Charley",-10,F,-4,68,69,67,66,270
4,3,"Pieters, Thomas",-8,F,1,65,70,66,71,272
T5,4,"Casey, Paul",-7,F,-3,70,69,67,67,273
T5,-,"Hadwin, Adam",-7,F,-1,68,69,67,69,273
T5,3,"Knox, Russell",-7,F,-2,66,71,68,68,273
T5,-,"McIlroy, Rory",-7,F,-1,67,69,68,69,273
9,7,"Fowler, Rickie",-6,F,-4,70,71,67,66,274
T10,7,"Hend, Scott",-5,F,3,70,69,63,73,275

T10,15,"Olesen, Thorbjorn",-5,F,-5,73,70,67,65,275
T10,12,"Swafford, Hudson",-5,F,-4,70,69,70,66,275
T13,3,"Chappell, Kevin",-4,F,-1,72,67,68,69,276
T13,3,"Schauffele, Xander",-4,F,-2,70,69,69,68,276
T13,3,"Scott, Adam",-4,F,-2,68,71,69,68,276
T13,3,"Spieth, Jordan",-4,F,-2,67,70,71,68,276
T17,7,"Berger, Daniel",-3,F,E,71,68,68,70,277
T17,13,"Johnson, Dustin",-3,F,-4,68,75,68,66,277
T17,7,"Koepka, Brooks",-3,F,E,71,69,67,70,277
T17,5,"Kuchar, Matt",-3,F,-2,71,72,66,68,277
T17,8,"Stenson, Henrik",-3,F,-3,72,70,68,67,277
T17,1,"Vegas, Jhonattan",-3,F,-1,69,71,68,69,277
T17,7,"Watson, Bubba",-3,F,E,67,74,66,70,277
T24,14,"Day, Jason",-2,F,1,71,66,70,71,278
T24,14,"Molinari, Francesco",-2,F,-5,71,73,69,65,278
T24,2,"Schwartzel, Charl",-2,F,-1,70,69,70,69,278
T24,1,"Steele, Brendan",-2,F,-2,73,68,69,68,278
T28,12,"Fleetwood, Tommy",-1,F,1,70,68,70,71,279
T28,2,"Grace, Branden",-1,F,-2,71,69,71,68,279
T28,10,"Kisner, Kevin",-1,F,-4,67,73,73,66,279
T28,3,"Moore, Ryan",-1,F,-1,73,69,68,69,279
T28,2,"Noren, Alexander",-1,F,-2,69,68,74,68,279
T28,2,"Rahm, Jon",-1,F,-2,67,77,67,68,279
T28,6,"Thomas, Justin",-1,F,-3,73,70,69,67,279
T28,18,"Walker, Jimmy",-1,F,2,68,65,74,72,279
T36,2,"Haas, Bill",1,F,-1,70,70,72,69,281
T36,2,"Hatton, Tyrrell",1,F,-1,72,71,69,69,281
T36,2,"Reed, Patrick",1,F,-2,75,70,68,68,281
T39,10,"Garcia, Sergio",2,F,-3,72,71,72,67,282
T39,10,"Mickelson, Phil",2,F,-3,71,72,72,67,282
T41,4,"Leishman, Marc",3,F,-1,73,71,70,69,283
T41,4,"Stanley, Kyle",3,F,-1,69,74,71,69,283
T41,4,"Wiesberger, Bernd",3,F,-1,70,72,72,69,283
T44,17,"Bryan, Wesley",4,F,-3,72,72,73,67,284
T44,19,"Fisher, Ross",4,F,4,67,72,71,74,284
T44,6,"Paratore, Renato",4,F,1,71,68,74,71,284
T47,2,"Brazel, Sam",5,F,E,74,70,71,70,285
T47,2,"Kodaira, Satoshi",5,F,E,73,71,71,70,285
T47,16,"Westwood, Lee",5,F,-3,72,78,68,67,285
T50,11,"Dufner, Jason",6,F,-1,76,68,73,69,286

T50,1,"Fitzpatrick, Matthew",6,F,1,73,71,71,71,286
T50,8,"Grillo, Emiliano",6,F,E,72,71,73,70,286
T50,12,"Harman, Brian",6,F,3,70,74,69,73,286
T50,12,"Kim, Si-Woo",6,F,3,73,69,71,73,286
T50,12,"Oosthuizen, Louis",6,F,3,74,72,67,73,286
T50,13,"Sullivan, Andy",6,F,-2,72,75,71,68,286
T50,8,"Tanihara, Hideto",6,F,E,74,71,71,70,286
T50,16,"Varner III, Harold",6,F,4,70,69,73,74,286
T50,5,"Zanotti, Fabrizio",6,F,2,74,69,71,72,286
T60,11,"DeChambeau, Bryson",7,F,2,75,69,71,72,287
T60,7,"Holmes, J.B.",7,F,-3,69,73,78,67,287
T60,2,"Lawrie, Paul",7,F,1,69,74,73,71,287
T63,14,"Jaidee, Thongchai",8,F,3,71,68,76,73,288
T63,14,"Rose, Justin",8,F,3,72,69,74,73,288
T63,6,"Woodland, Gary",8,F,-3,74,77,70,67,288
T66,3,"Henley, Russell",9,F,1,75,74,69,71,289
T66,3,"Hughes, Mackenzie",9,F,-2,74,74,73,68,289
T66,1,"Wang, Jeung-Hun",9,F,-1,74,73,73,69,289
69,3,"Perez, Pat",10,F,-2,72,75,75,68,290
70,21,"Romero, Andres",11,F,6,68,73,74,76,291
71,2,"Norris, Shaun",12,F,1,71,77,73,71,292
72,1,"Cabrera Bello, Rafa",14,F,E,76,73,75,70,294
73,2,"Wood, Chris",17,F,2,75,74,76,72,297
T74,2,"Horschel, Billy",19,F,-2,76,78,77,68,299
T74,8,"Pampling, Rod",19,F,10,73,70,76,80,299
76,3,"Willett, Danny",21,F,7,76,74,74,77,301
DNS,-,"Kaymer, Martin",E,,,,,,,
DNS,-,"Snedeker, Brandt",E
