POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,2,"McIlroy, Rory",-15,F,-4,69,64,66,66,265
2,-,"Garcia, Sergio",-13,F,1,68,61,67,71,267
3,1,"Leishman, Marc",-12,F,-3,64,69,68,67,268
T4,1,"Bradley, Keegan",-9,F,-1,68,67,67,69,271
T4,7,"Reed, Patrick",-9,F,-5,67,68,71,65,271
T4,1,"Rose, Justin",-9,F,-1,65,67,70,69,271
T4,15,"Schwartzel, Charl",-9,F,-6,65,69,73,64,271
T8,3,"Fowler, Rickie",-7,F,-3,67,67,72,67,273
T8,11,"McDowell, Graeme",-7,F,-4,71,70,66,66,273
T8,3,"Moore, Ryan",-7,F,-3,65,73,68,67,273
T8,3,"Scott, Adam",-7,F,1,69,68,65,71,273
T12,15,"Kuchar, Matt",-6,F,-5,71,66,72,65,274
T12,1,"Matsuyama, Hideki",-6,F,-2,70,71,65,68,274
T12,4,"Snedeker, Brandt",-6,F,E,68,68,68,70,274
T15,4,"Bjorn, Thomas",-5,F,-1,69,68,69,69,275
T15,4,"Furyk, Jim",-5,F,-1,69,68,69,69,275
T15,4,"Mahan, Hunter",-5,F,-2,71,65,71,68,275
T15,30,"Mickelson, Phil",-5,F,-8,71,73,69,62,275
T19,-,"Stadler, Kevin",-4,F,-1,71,70,66,69,276
T19,10,"Stenson, Henrik",-4,F,1,71,66,68,71,276
T19,26,"Westwood, Lee",-4,F,-7,72,71,70,63,276
T19,8,"Woodland, Gary",-4,F,E,70,68,68,70,276
T23,4,"Grace, Branden",-3,F,E,69,71,67,70,277
T23,2,"Johnson, Zach",-3,F,-1,70,70,68,69,277
T23,10,"Na, Kevin",-3,F,-3,71,73,66,67,277
T26,7,"Els, Ernie",-2,F,-2,71,69,70,68,278
T26,17,"Holmes, J.B.",-2,F,3,69,69,67,73,278
T26,7,"Senden, John",-2,F,1,74,66,67,71,278
T26,1,"Walker, Jimmy",-2,F,-1,69,70,70,69,278
T26,1,"Zanotti, Fabrizio",-2,F,-1,70,71,68,69,278
T31,6,"Cabrera, Angel",-1,F,-2,73,68,70,68,279
T31,6,"Dubuisson, Victor",-1,F,-2,72,70,69,68,279
T31,20,"English, Harris",-1,F,3,69,69,68,73,279
T31,4,"Jones, Matt",-1,F,E,70,70,69,70,279
T31,2,"Molinari, Francesco",-1,F,-1,67,70,73,69,279
T31,6,"Simpson, Webb",-1,F,-2,72,69,70,68,279
T37,-,"de Jonge, Brendon",E,F,-1,72,69,70,69,280
T37,10,"Donaldson, Jamie",E,F,1,68,70,71,71,280
T37,12,"Noh, Seung-Yul",E,F,2,69,69,70,72,280
T37,6,"Watson, Bubba",E,F,-2,69,70,73,68,280
T41,14,"Haas, Bill",1,F,2,71,69,69,72,281
T41,4,"Henley, Russell",1,F,-2,72,70,71,68,281
T41,9,"Kirk, Chris",1,F,-3,69,73,72,67,281
44,1,"Bowditch, Steven",2,F,-1,69,71,73,69,282
T45,12,"Jimenez, Miguel Angel",3,F,3,69,69,72,73,283
T45,-,"Todd, Brendon",3,F,E,74,70,69,70,283
T47,6,"Every, Matt",4,F,-1,74,68,73,69,284
T47,3,"Gallacher, Stephen",4,F,E,74,71,69,70,284
49,1,"Spieth, Jordan",5,F,1,71,70,73,71,285
T50,3,"Clark, Tim",6,F,1,72,73,70,71,286
T50,3,"Donald, Luke",6,F,1,73,70,72,71,286
T52,15,"Howell, David",7,F,6,69,71,71,76,287
T52,1,"Jaidee, Thongchai",7,F,2,70,74,71,72,287
T52,7,"Poulter, Ian",7,F,1,73,73,70,71,287
T52,1,"Stallings, Scott",7,F,2,72,75,68,72,287
T56,5,"Kaymer, Martin",8,F,1,77,68,72,71,288
T56,5,"Luiten, Joost",8,F,1,73,73,71,71,288
T58,1,"Blixt, Jonas",9,F,3,75,72,69,73,289
T58,11,"Levy, Alexander",9,F,-1,72,71,77,69,289
T58,8,"Sterne, Richard",9,F,1,75,70,73,71,289
61,8,"Oosthuizen, Louis",10,F,5,75,73,67,75,290
62,1,"F-Castano, Gonzalo",11,F,4,79,71,67,74,291
T63,7,"Larrazabal, Pablo",12,F,E,71,74,77,70,292
T63,4,"Stricker, Steve",12,F,3,74,73,72,73,292
65,4,"Harman, Brian",13,F,6,72,70,75,76,293
T66,5,"Dufner, Jason",14,F,7,70,74,73,77,294
T66,4,"Ilonen, Mikko",14,F,2,75,74,73,72,294
68,1,"Maruyama, Daisuke",17,F,8,73,73,73,78,297
T69,3,"Lynn, David",18,F,5,76,72,75,75,298
T69,3,"Takeya, Yoshitaka",18,F,5,74,75,74,75,298
71,4,"Streelman, Kevin",20,F,3,78,71,78,73,300
72,2,"Goya, Tano",22,F,8,76,77,71,78,302
WD,-,"Delaet, Graham",2,,,67,69,76,,212
WD,-,"Crane, Ben",3,,,73,70,,,143
WD,-,"Woods, Tiger",4,,,68,71,72,,211
WD,-,"Day, Jason *",6,,,74,71,9,,154
