POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,-,"Stenson, Henrik",-22,F,-6,62,66,66,64,258
2,-,"Schniederjans, Ollie",-21,F,-6,66,63,66,64,259
3,1,"Simpson, Webb",-18,F,-3,63,64,68,67,262
T4,7,"Armour, Ryan",-17,F,-6,66,61,72,64,263
T4,2,"Na, Kevin",-17,F,-2,67,63,65,68,263
T4,7,"Sabbatini, Rory",-17,F,-6,65,68,66,64,263
T7,16,"Flores, Martin",-15,F,-7,64,70,68,63,265
T7,2,"Lowry, Shane",-15,F,-3,67,64,67,67,265
T7,16,"Smith, Cameron",-15,F,-7,63,69,70,63,265
T10,4,"Love III, Davis",-14,F,-1,64,66,67,69,266

T10,4,"Varner III, Harold",-14,F,-1,63,68,66,69,266
T10,4,"Werenski, Richy",-14,F,-1,67,66,64,69,266
13,5,"Every, Matt",-13,F,-4,61,72,68,66,267
T14,1,"Dufner, Jason",-12,F,-2,67,66,67,68,268
T14,4,"Wilkinson, Tim",-12,F,-3,63,70,68,67,268
T16,27,"Barnes, Ricky",-11,F,-5,69,67,68,65,269
T16,7,"Henry, J.J.",-11,F,-3,66,70,66,67,269
T16,7,"Kjeldsen, Soren",-11,F,1,69,63,66,71,269
T16,1,"Kokrak, Jason",-11,F,-1,68,69,63,69,269
T16,5,"Mahan, Hunter",-11,F,E,65,65,69,70,269
T16,7,"Ogilvy, Geoff",-11,F,-3,70,66,66,67,269
T16,40,"Spaun, J.J.",-11,F,-7,71,66,69,63,269
T16,2,"Villegas, Camilo",-11,F,-2,68,68,65,68,269
T24,1,"Hubbard, Mark",-10,F,-2,67,67,68,68,270
T24,6,"Kizzire, Patton",-10,F,-1,67,70,64,69,270
T24,9,"Moore, Ryan",-10,F,E,67,65,68,70,270
T24,19,"Wagner, Johnson",-10,F,4,67,64,65,74,270
T28,22,"Castro, Roberto",-9,F,-4,69,68,68,66,271
T28,22,"Choi, K.J.",-9,F,-4,68,67,70,66,271
T28,5,"Etulain, Julian",-9,F,-2,68,66,69,68,271
T28,5,"Glover, Lucas",-9,F,-1,65,69,68,69,271
T28,5,"Knox, Russell",-9,F,-2,66,66,71,68,271
T28,17,"Lahiri, Anirban",-9,F,2,65,66,68,72,271
T28,15,"Lamb, Rick",-9,F,-3,64,68,72,67,271
T28,5,"Merritt, Troy",-9,F,-1,67,70,65,69,271
T28,5,"van Aswegen, Tyrone",-9,F,-1,71,66,65,69,271
T37,19,"Byrd, Jonathan",-8,F,-4,68,68,70,66,272
T37,13,"Crane, Ben",-8,F,-3,69,64,72,67,272
T37,6,"Hoffmann, Morgan",-8,F,-2,66,70,68,68,272
T37,19,"Reavie, Chez",-8,F,1,66,70,65,71,272
T37,4,"Saunders, Sam",-8,F,-1,63,68,72,69,272
T42,9,"Bradley, Keegan",-7,F,E,68,68,67,70,273
T42,19,"Campbell, Chad",-7,F,1,67,67,68,71,273
T42,9,"Cauley, Bud",-7,F,E,67,68,68,70,273
T42,20,"Dahmen, Joel",-7,F,-4,67,68,72,66,273
T42,14,"Gonzales, Andres",-7,F,-3,70,66,70,67,273
T42,19,"Goosen, Retief",-7,F,1,72,65,65,71,273
T42,9,"Ishikawa, Ryo",-7,F,E,66,71,66,70,273
T42,1,"Kisner, Kevin",-7,F,-1,69,67,68,69,273
T50,7,"Alker, Steven",-6,F,E,68,65,71,70,274

T50,12,"Brehm, Ryan",-6,F,-3,68,69,70,67,274
T50,20,"English, Harris",-6,F,-3,68,67,72,67,274
T50,17,"Fritsch, Brad",-6,F,1,67,66,70,71,274
T50,17,"Gay, Brian",-6,F,1,71,65,67,71,274
T50,-,"Malnati, Peter",-6,F,-1,71,65,69,69,274
T50,17,"Poston, JT",-6,F,1,67,69,67,71,274
T50,-,"Pride, Dicky",-6,F,-1,66,70,69,69,274
T50,7,"Taylor, Nick",-6,F,E,68,68,68,70,274
T50,17,"Taylor, Vaughn",-6,F,1,63,66,74,71,274
T60,4,"Horschel, Billy",-5,F,-1,67,70,69,69,275
T60,10,"Huh, John",-5,F,E,68,67,70,70,275
T60,10,"Levin, Spencer",-5,F,-3,68,68,72,67,275
63,7,"Pan, Cheng Tsung",-4,F,E,67,70,69,70,276
T64,2,"Barber, Blayne",-3,F,E,69,67,71,70,277
T64,2,"Bowditch, Steven",-3,F,E,68,66,73,70,277
T64,6,"Hearn, David",-3,F,-1,67,68,73,69,277
