POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4,TOT
1,1,"Horschel, Billy",-20,F,-8,67,71,66,64,268
2,-,"Points, D.A.",-19,F,-7,66,68,70,65,269
3,1,"Stanley, Kyle",-17,F,-5,72,67,65,67,271
T4,7,"Gates, Bobby",-15,F,-6,67,70,70,66,273
T4,3,"Glover, Lucas",-15,F,-1,65,67,70,71,273
T6,5,"English, Harris",-14,F,-5,68,70,69,67,274
T6,1,"Weekley, Boo",-14,F,-4,65,68,73,68,274
T8,9,"Colsaerts, Nicolas",-13,F,-5,70,68,70,67,275
T8,3,"Guthrie, Luke",-13,F,-4,67,71,69,68,275
T8,9,"Lee, D.H.",-13,F,-5,70,70,68,67,275
T8,9,"Peterson, John",-13,F,-5,71,67,70,67,275
T8,2,"Stadler, Kevin",-13,F,-2,68,72,65,70,275
T8,6,"Walker, Jimmy",-13,F,-1,67,71,66,71,275
T8,29,"Watkins, Aaron *",-13,F,-7,71,69,70,65,275
T15,2,"Els, Ernie",-12,F,-4,67,69,72,68,276
T15,8,"Norlander, Henrik",-12,F,-2,71,70,65,70,276
T15,4,"Rose, Justin",-12,F,-3,68,69,70,69,276
T15,2,"Tomasulo, Peter",-12,F,-4,73,67,68,68,276
T15,4,"Watney, Nick",-12,F,-3,69,69,69,69,276
T15,22,"Watson, Bubba *",-12,F,-6,73,65,72,66,276
T21,10,"Duke, Ken",-11,F,-2,70,69,68,70,277
T21,9,"Goosen, Retief",-11,F,-4,71,70,68,68,277
T21,4,"Hearn, David",-11,F,-3,71,69,68,69,277
T21,4,"Hoffmann, Morgan",-11,F,-3,66,69,73,69,277
T21,9,"Jobe, Brandt",-11,F,-4,70,70,69,68,277
T21,4,"Kirk, Chris",-11,F,-3,67,72,69,69,277
T21,16,"Lebrun, Steve *",-11,F,-5,70,68,72,67,277
T21,4,"Lee, Richard H.",-11,F,-3,70,69,69,69,277
T21,14,"Looper, Ken",-11,F,-1,73,66,67,71,277
T21,25,"Snyder III, Joey *",-11,F,-6,72,67,72,66,277
31,1,"List, Luke",-10,F,-3,71,70,68,69,278
T32,15,"Ames, Stephen",-9,F,-1,67,72,69,71,279
T32,5,"Davis, Brian *",-9,F,-3,68,69,73,69,279
T32,14,"Every, Matt *",-9,F,-4,68,72,71,68,279
T32,14,"Fowler, Rickie *",-9,F,-4,67,73,71,68,279
T32,25,"Gainey, Tommy *",-9,F,-5,68,71,73,67,279
T32,2,"Gomez, Fabian",-9,F,-2,71,70,68,70,279
T32,14,"Jones, Matt *",-9,F,-4,67,71,73,68,279
T32,5,"LaBelle II, Doug *",-9,F,-3,70,67,73,69,279
T32,2,"Palmer, Ryan",-9,F,-2,70,70,69,70,279
T32,14,"Steele, Brendan *",-9,F,-4,70,71,70,68,279
T42,35,"Barnes, Ricky",-8,F,2,64,76,66,74,280
T42,15,"Brown, Scott *",-8,F,-4,69,71,72,68,280
T42,25,"Dufner, Jason",-8,F,E,70,71,67,72,280
T42,5,"Overton, Jeff *",-8,F,-2,73,68,69,70,280
T42,25,"Pampling, Rod",-8,F,E,71,70,67,72,280
T47,1,"Appleby, Stuart *",-7,F,-2,70,70,71,70,281
T47,10,"Bohn, Jason *",-7,F,-3,68,71,73,69,281
T47,17,"Castro, Roberto",-7,F,E,71,70,68,72,281
T47,18,"Delaet, Graham *",-7,F,-4,68,71,74,68,281
T47,10,"Ernst, Derek *",-7,F,-1,73,67,70,71,281
T47,1,"Haas, Hunter *",-7,F,-2,72,69,70,70,281
T47,30,"Kelly, Jerry",-7,F,1,70,67,71,73,281
T47,10,"Letzig, Michael *",-7,F,-3,72,68,72,69,281
T47,1,"McNeill, George *",-7,F,-2,74,67,70,70,281
T47,10,"O'Hair, Sean *",-7,F,-1,70,70,70,71,281
T47,17,"Svoboda, Andrew",-7,F,E,70,70,69,72,281
T47,18,"Toms, David *",-7,F,-4,72,68,73,68,281
T59,13,"Campbell, Chad *",-6,F,-1,68,71,72,71,282
T59,6,"DiMarco, Chris *",-6,F,-3,68,70,75,69,282
T59,2,"Kokrak, Jason *",-6,F,-2,68,71,73,70,282
62,5,"Henry, J.J. *",-5,F,-1,68,72,72,71,283
63,26,"Maggert, Jeff *",-4,F,2,70,67,73,74,284
64,18,"Woodland, Gary *",-3,F,2,68,70,73,74,285
T65,19,"Bowditch, Steven *",-2,F,3,73,67,71,75,286
T65,8,"Chalmers, Greg *",-2,F,2,70,71,71,74,286
T65,8,"Immelman, Trevor *",-2,F,2,68,73,71,74,286
68,-,"Williams, Lee *",-1,F,1,70,71,73,73,287
69,1,"Knost, Colt *",E,F,2,72,68,74,74,288
70,2,"Blixt, Jonas *",1,F,3,71,69,74,75,289
