Name,TourneyNames,Wins,Top 5,Top 10,Top 15,Top 20,Top 30,Top 30 Percentage,Entered,Missed Cuts,Cut Percentage,Notes,Score Index,Top 5 Percentage,Top 10 Percentage,Top 15 Percentage,Top 20 Percentage,Weighted Index
"Peter Malnati",Valero Texas Open,0,0,0,1,0,0,0.33333334,3,1,0.33333334,"Valero Texas Open - (2016 - Top 15) (2017 - CUT) (2018 - Pos 64)",0.9300000000000002,0.0,0.0,0.33333334,0.0,0.9300000000000002
"Cody Gribble",Valero Texas Open,0,0,0,0,0,0,0.0,2,2,1.0,"Valero Texas Open - (2017 - CUT) (2018 - CUT)",-1.9,0.0,0.0,0.0,0.0,-1.9
"K.J. Choi",Valero Texas Open,0,0,0,1,0,0,0.25,4,1,0.25,"Valero Texas Open - (2015 - Top 15) (2016 - Pos 51) (2017 - CUT) (2018 - Pos 45)",1.0249999999999997,0.0,0.0,0.25,0.0,1.0249999999999997
"Sangmoon Bae",Valero Texas Open,0,0,0,0,0,0,0.0,2,2,1.0,"Valero Texas Open - (2015 - CUT) (2018 - CUT)",-1.7,0.0,0.0,0.0,0.0,-1.7
"Ken Duke",Valero Texas Open,0,0,0,0,0,0,0.0,2,1,0.5,"Valero Texas Open - (2015 - CUT) (2017 - Pos 58)",-0.38499999999999995,0.0,0.0,0.0,0.0,-0.38499999999999995
"Dawie van der Walt",Valero Texas Open,0,0,0,0,0,0,0.0,1,1,1.0,"Valero Texas Open - (2016 - CUT)",-0.8,0.0,0.0,0.0,0.0,-0.8
"Blake Adams",Valero Texas Open,0,0,0,0,0,0,0.0,1,0,0.0,"Valero Texas Open - (2015 - Pos 58)",0.24499999999999997,0.0,0.0,0.0,0.0,0.24499999999999997
"Grayson Murray",Valero Texas Open,0,0,0,0,1,0,1.0,1,0,0.0,"Valero Texas Open - (2018 - Top 20)",1.35,0.0,0.0,0.0,1.0,1.35
"Andrew Putnam",Valero Texas Open,0,0,1,0,0,0,0.5,2,0,0.0,"Valero Texas Open - (2015 - Pos 72) (2018 - Top 10)",2.595,0.0,0.5,0.5,0.5,3.095
"Bryson DeChambeau",Valero Texas Open,0,0,0,0,0,0,0.0,2,2,1.0,"Valero Texas Open - (2016 - CUT) (2017 - CUT)",-1.7000000000000002,0.0,0.0,0.0,0.0,-1.7000000000000002
"Aaron Wise",Valero Texas Open,0,0,0,0,0,0,0.0,1,1,1.0,"Valero Texas Open - (2018 - CUT)",-1.0,0.0,0.0,0.0,0.0,-1.0
"Matt Jones",Valero Texas Open,0,0,0,1,0,1,0.5,4,1,0.25,"Valero Texas Open - (2015 - Top 30) (2016 - Pos 60) (2017 - Top 15) (2018 - CUT)",1.54,0.0,0.0,0.25,0.0,2.04
"Jim Furyk",Valero Texas Open,0,0,0,0,0,1,0.5,2,0,0.0,"Valero Texas Open - (2015 - Pos 58) (2018 - Top 30)",1.095,0.0,0.0,0.0,0.0,1.095
"Sam Ryder",Valero Texas Open,0,0,0,0,0,0,0.0,1,0,0.0,"Valero Texas Open - (2018 - Pos 36)",0.35,0.0,0.0,0.0,0.0,0.35
"Brian Stuard",Valero Texas Open,0,0,0,0,0,0,0.0,4,1,0.25,"Valero Texas Open - (2015 - Pos 64) (2016 - Pos 55) (2017 - CUT) (2018 - Pos 36)",-0.025000000000000105,0.0,0.0,0.0,0.0,-0.025000000000000105
"Scott Stallings",Valero Texas Open,0,0,0,1,0,0,0.33333334,3,2,0.6666667,"Valero Texas Open - (2015 - CUT) (2016 - Top 15) (2017 - CUT)",-0.11999999999999988,0.0,0.0,0.33333334,0.0,-0.11999999999999988
"Julian Etulain",Valero Texas Open,0,0,0,0,0,0,0.0,1,0,0.0,"Valero Texas Open - (2017 - Pos 75)",0.315,0.0,0.0,0.0,0.0,0.315
"Robby Shelton",Valero Texas Open,0,0,0,0,1,0,1.0,1,0,0.0,"Valero Texas Open - (2017 - Top 20)",1.215,0.0,0.0,0.0,1.0,1.215
"Richy Werenski",Valero Texas Open,0,0,0,1,0,0,0.5,2,1,0.5,"Valero Texas Open - (2017 - CUT) (2018 - Top 15)",0.9500000000000001,0.0,0.0,0.5,0.0,1.4500000000000002
"Jeff Overton",Valero Texas Open,0,0,0,0,0,0,0.0,2,1,0.5,"Valero Texas Open - (2015 - Pos 50) (2016 - CUT)",-0.555,0.0,0.0,0.0,0.0,-0.555
"Adam Hadwin",Valero Texas Open,0,0,0,0,0,0,0.0,2,1,0.5,"Valero Texas Open - (2015 - CUT) (2017 - Pos 72)",-0.38499999999999995,0.0,0.0,0.0,0.0,-0.38499999999999995
"Joaquin Niemann",Valero Texas Open,0,0,1,0,0,0,1.0,1,0,0.0,"Valero Texas Open - (2018 - Top 10)",2.35,0.0,1.0,1.0,1.0,2.85
"Tom Gillis",Valero Texas Open,0,0,0,0,0,0,0.0,1,0,0.0,"Valero Texas Open - (2016 - Pos 65)",0.27999999999999997,0.0,0.0,0.0,0.0,0.27999999999999997
"Brendon Todd",Valero Texas Open,0,0,0,0,0,1,0.5,2,1,0.5,"Valero Texas Open - (2015 - Top 30) (2016 - CUT)",-0.20500000000000007,0.0,0.0,0.0,0.0,-0.20500000000000007
"Stephan Jaeger",Valero Texas Open,0,0,0,0,0,0,0.0,1,1,1.0,"Valero Texas Open - (2018 - CUT)",-1.0,0.0,0.0,0.0,0.0,-1.0
"Nick Taylor",Valero Texas Open,0,0,0,0,0,2,0.6666667,3,1,0.33333334,"Valero Texas Open - (2016 - Top 30) (2017 - Top 30) (2018 - CUT)",0.44499999999999995,0.0,0.0,0.0,0.0,0.44499999999999995
"Sergio Garcia",Valero Texas Open,0,0,0,0,0,0,0.0,1,1,1.0,"Valero Texas Open - (2018 - CUT)",-1.0,0.0,0.0,0.0,0.0,-1.0
"Justin Leonard",Valero Texas Open,0,0,0,0,0,0,0.0,3,1,0.33333334,"Valero Texas Open - (2015 - CUT) (2016 - Pos 55) (2017 - Pos 58)",-0.10499999999999998,0.0,0.0,0.0,0.0,-0.10499999999999998
"Chris Paisley",Valero Texas Open,0,0,0,0,0,0,0.0,1,1,1.0,"Valero Texas Open - (2018 - CUT)",-1.0,0.0,0.0,0.0,0.0,-1.0
"Steven Bowditch",Valero Texas Open,0,0,0,0,0,0,0.0,3,3,1.0,"Valero Texas Open - (2015 - CUT) (2017 - CUT) (2018 - CUT)",-2.5999999999999996,0.0,0.0,0.0,0.0,-2.5999999999999996
"Tim Wilkinson",Valero Texas Open,0,0,0,0,0,1,0.33333334,3,2,0.6666667,"Valero Texas Open - (2015 - CUT) (2016 - Top 30) (2017 - CUT)",-0.92,0.0,0.0,0.0,0.0,-0.92
"Frank Lickliter II",Valero Texas Open,0,0,0,0,0,0,0.0,1,1,1.0,"Valero Texas Open - (2016 - CUT)",-0.8,0.0,0.0,0.0,0.0,-0.8
"Jordan Niebrugge",Valero Texas Open,0,0,0,0,0,0,0.0,1,1,1.0,"Valero Texas Open - (2017 - CUT)",-0.9,0.0,0.0,0.0,0.0,-0.9
"Mark Wilson",Valero Texas Open,0,0,0,0,0,1,0.5,2,1,0.5,"Valero Texas Open - (2015 - CUT) (2016 - Top 30)",-0.020000000000000018,0.0,0.0,0.0,0.0,-0.020000000000000018
"Dylan Frittelli",Valero Texas Open,0,0,0,0,1,0,1.0,1,0,0.0,"Valero Texas Open - (2018 - Top 20)",1.35,0.0,0.0,0.0,1.0,1.35
"Kyle Thompson",Valero Texas Open,0,0,0,0,0,0,0.0,1,1,1.0,"Valero Texas Open - (2018 - CUT)",-1.0,0.0,0.0,0.0,0.0,-1.0
"John Huh",Valero Texas Open,0,0,0,0,0,1,0.25,4,2,0.5,"Valero Texas Open - (2015 - Pos 35) (2016 - CUT) (2017 - Top 30) (2018 - CUT)",-0.7900000000000001,0.0,0.0,0.0,0.0,-0.7900000000000001
"Branden Grace",Valero Texas Open,0,0,2,0,0,1,1.0,3,0,0.0,"Valero Texas Open - (2015 - Top 30) (2016 - Top 10) (2017 - Top 10)",4.59,0.0,0.6666667,0.6666667,0.6666667,5.59
"Abraham Ancer",Valero Texas Open,0,0,0,0,0,0,0.0,2,0,0.0,"Valero Texas Open - (2016 - Pos 42) (2018 - Pos 58)",0.6299999999999999,0.0,0.0,0.0,0.0,0.6299999999999999
"Robert Allenby",Valero Texas Open,0,0,0,0,0,0,0.0,1,1,1.0,"Valero Texas Open - (2015 - CUT)",-0.7,0.0,0.0,0.0,0.0,-0.7
