Position,ID,Name,Overall,Total,Rd1,Rd2,Rd3,Rd4,Tourney Name,Tourney Id,Course Name,Year
1,21528,Henrik Stenson,-22,258,62,66,66,64,Wyndham Championship,013,Sedgefield Country Club,2017
2,46501,Ollie Schniederjans,-21,259,66,63,66,64,Wyndham Championship,013,Sedgefield Country Club,2017
3,29221,Webb Simpson,-18,262,63,64,68,67,Wyndham Championship,013,Sedgefield Country Club,2017
T4,19803,Ryan Armour,-17,263,66,61,72,64,Wyndham Championship,013,Sedgefield Country Club,2017
T4,23621,Rory Sabbatini,-17,263,65,68,66,64,Wyndham Championship,013,Sedgefield Country Club,2017
T4,25396,Kevin Na,-17,263,67,63,65,68,Wyndham Championship,013,Sedgefield Country Club,2017
T7,28500,Martin Flores,-15,265,64,70,68,63,Wyndham Championship,013,Sedgefield Country Club,2017
T7,35891,Cameron Smith,-15,265,63,69,70,63,Wyndham Championship,013,Sedgefield Country Club,2017
T7,33204,Shane Lowry,-15,265,67,64,67,67,Wyndham Championship,013,Sedgefield Country Club,2017
T10,37189,Harold Varner III,-14,266,63,68,66,69,Wyndham Championship,013,Sedgefield Country Club,2017
T10,01706,Davis Love III,-14,266,64,66,67,69,Wyndham Championship,013,Sedgefield Country Club,2017
T10,47128,Richy Werenski,-14,266,67,66,64,69,Wyndham Championship,013,Sedgefield Country Club,2017
13,28307,Matt Every,-13,267,61,72,68,66,Wyndham Championship,013,Sedgefield Country Club,2017
T14,25349,Tim Wilkinson,-12,268,63,70,68,67,Wyndham Championship,013,Sedgefield Country Club,2017
T14,25686,Jason Dufner,-12,268,67,66,67,68,Wyndham Championship,013,Sedgefield Country Club,2017
T16,39324,J.J. Spaun,-11,269,71,66,69,63,Wyndham Championship,013,Sedgefield Country Club,2017
T16,24846,Ricky Barnes,-11,269,69,67,68,65,Wyndham Championship,013,Sedgefield Country Club,2017
T16,22046,Geoff Ogilvy,-11,269,70,66,66,67,Wyndham Championship,013,Sedgefield Country Club,2017
T16,23353,J.J. Henry,-11,269,66,70,66,67,Wyndham Championship,013,Sedgefield Country Club,2017
T16,27770,Camilo Villegas,-11,269,68,68,65,68,Wyndham Championship,013,Sedgefield Country Club,2017
T16,30944,Jason Kokrak,-11,269,68,69,63,69,Wyndham Championship,013,Sedgefield Country Club,2017
T16,24781,Hunter Mahan,-11,269,65,65,69,70,Wyndham Championship,013,Sedgefield Country Club,2017
T16,22986,Søren Kjeldsen,-11,269,69,63,66,71,Wyndham Championship,013,Sedgefield Country Club,2017
T24,36801,Mark Hubbard,-10,270,67,67,68,68,Wyndham Championship,013,Sedgefield Country Club,2017
T24,26596,Ryan Moore,-10,270,67,65,68,70,Wyndham Championship,013,Sedgefield Country Club,2017
T24,32757,Patton Kizzire,-10,270,67,70,64,69,Wyndham Championship,013,Sedgefield Country Club,2017
T24,26951,Johnson Wagner,-10,270,67,64,65,74,Wyndham Championship,013,Sedgefield Country Club,2017
T28,24357,K.J. Choi,-9,271,68,67,70,66,Wyndham Championship,013,Sedgefield Country Club,2017
T28,46732,Rick Lamb,-9,271,64,68,72,67,Wyndham Championship,013,Sedgefield Country Club,2017
T28,32200,Roberto Castro,-9,271,69,68,68,66,Wyndham Championship,013,Sedgefield Country Club,2017
T28,33122,Russell Knox,-9,271,66,66,71,68,Wyndham Championship,013,Sedgefield Country Club,2017
T28,30191,Julián Etulain,-9,271,68,66,69,68,Wyndham Championship,013,Sedgefield Country Club,2017
T28,25900,Lucas Glover,-9,271,65,69,68,69,Wyndham Championship,013,Sedgefield Country Club,2017
T28,28132,Tyrone Van Aswegen,-9,271,71,66,65,69,Wyndham Championship,013,Sedgefield Country Club,2017
T28,32640,Troy Merritt,-9,271,67,70,65,69,Wyndham Championship,013,Sedgefield Country Club,2017
T28,31420,Anirban Lahiri,-9,271,65,66,68,72,Wyndham Championship,013,Sedgefield Country Club,2017
T37,24925,Jonathan Byrd,-8,272,68,68,70,66,Wyndham Championship,013,Sedgefield Country Club,2017
T37,23541,Ben Crane,-8,272,69,64,72,67,Wyndham Championship,013,Sedgefield Country Club,2017
T37,33461,Morgan Hoffmann,-8,272,66,70,68,68,Wyndham Championship,013,Sedgefield Country Club,2017
T37,29223,Sam Saunders,-8,272,63,68,72,69,Wyndham Championship,013,Sedgefield Country Club,2017
T37,26476,Chez Reavie,-8,272,66,70,65,71,Wyndham Championship,013,Sedgefield Country Club,2017
T42,34076,Joel Dahmen,-7,273,67,68,72,66,Wyndham Championship,013,Sedgefield Country Club,2017
T42,29720,Andres Gonzales,-7,273,70,66,70,67,Wyndham Championship,013,Sedgefield Country Club,2017
T42,29478,Kevin Kisner,-7,273,69,67,68,69,Wyndham Championship,013,Sedgefield Country Club,2017
T42,34021,Bud Cauley,-7,273,67,68,68,70,Wyndham Championship,013,Sedgefield Country Club,2017
T42,33141,Keegan Bradley,-7,273,68,68,67,70,Wyndham Championship,013,Sedgefield Country Club,2017
T42,30852,Ryo Ishikawa,-7,273,66,71,66,70,Wyndham Championship,013,Sedgefield Country Club,2017
T42,12510,Chad Campbell,-7,273,67,67,68,71,Wyndham Championship,013,Sedgefield Country Club,2017
T42,20157,Retief Goosen,-7,273,72,65,65,71,Wyndham Championship,013,Sedgefield Country Club,2017
T50,34099,Harris English,-6,274,68,67,72,67,Wyndham Championship,013,Sedgefield Country Club,2017
T50,28420,Ryan Brehm,-6,274,68,69,70,67,Wyndham Championship,013,Sedgefield Country Club,2017
T50,34466,Peter Malnati,-6,274,71,65,69,69,Wyndham Championship,013,Sedgefield Country Club,2017
